question=['bad' 'worse' 'big' 'bigger'], predicted=bigger
question=['deep' 'deeper' 'fast' 'faster'], predicted=faster
question=['deep' 'deeper' 'great' 'greater'], predicted=greater
question=['deep' 'deeper' 'hard' 'harder'], predicted=harder
question=['deep' 'deeper' 'high' 'higher'], predicted=higher
question=['deep' 'deeper' 'large' 'larger'], predicted=larger
question=['deep' 'deeper' 'safe' 'safer'], predicted=safer
question=['deep' 'deeper' 'short' 'shorter'], predicted=shorter
question=['deep' 'deeper' 'simple' 'simpler'], predicted=simpler
question=['deep' 'deeper' 'slow' 'slower'], predicted=slower
question=['deep' 'deeper' 'small' 'smaller'], predicted=smaller
question=['deep' 'deeper' 'tall' 'taller'], predicted=taller
question=['deep' 'deeper' 'wide' 'wider'], predicted=wider
question=['deep' 'deeper' 'bright' 'brighter'], predicted=brighter
question=['deep' 'deeper' 'cheap' 'cheaper'], predicted=cheaper
question=['easy' 'easier' 'hard' 'harder'], predicted=harder
question=['easy' 'easier' 'high' 'higher'], predicted=higher
question=['easy' 'easier' 'large' 'larger'], predicted=larger
question=['easy' 'easier' 'safe' 'safer'], predicted=safer
question=['easy' 'easier' 'short' 'shorter'], predicted=shorter
question=['easy' 'easier' 'simple' 'simpler'], predicted=simpler
question=['easy' 'easier' 'slow' 'slower'], predicted=slower
question=['easy' 'easier' 'small' 'smaller'], predicted=smaller
question=['easy' 'easier' 'strong' 'stronger'], predicted=stronger
question=['easy' 'easier' 'tall' 'taller'], predicted=taller
question=['easy' 'easier' 'warm' 'warmer'], predicted=warmer
question=['easy' 'easier' 'wide' 'wider'], predicted=wider
question=['easy' 'easier' 'young' 'younger'], predicted=younger
question=['easy' 'easier' 'bad' 'worse'], predicted=worse
question=['easy' 'easier' 'big' 'bigger'], predicted=bigger
question=['easy' 'easier' 'bright' 'brighter'], predicted=brighter
question=['easy' 'easier' 'cheap' 'cheaper'], predicted=cheaper
question=['easy' 'easier' 'deep' 'deeper'], predicted=deeper
question=['fast' 'faster' 'good' 'better'], predicted=better
question=['fast' 'faster' 'great' 'greater'], predicted=greater
question=['fast' 'faster' 'hard' 'harder'], predicted=harder
question=['fast' 'faster' 'high' 'higher'], predicted=higher
question=['fast' 'faster' 'large' 'larger'], predicted=larger
question=['fast' 'faster' 'old' 'older'], predicted=older
question=['fast' 'faster' 'short' 'shorter'], predicted=shorter
question=['fast' 'faster' 'simple' 'simpler'], predicted=simpler
question=['fast' 'faster' 'slow' 'slower'], predicted=slower
question=['fast' 'faster' 'warm' 'warmer'], predicted=warmer
question=['fast' 'faster' 'wide' 'wider'], predicted=wider
question=['fast' 'faster' 'bright' 'brighter'], predicted=brighter
question=['fast' 'faster' 'cheap' 'cheaper'], predicted=cheaper
question=['fast' 'faster' 'deep' 'deeper'], predicted=deeper
question=['fast' 'faster' 'easy' 'easier'], predicted=easier
question=['good' 'better' 'hard' 'harder'], predicted=harder
question=['good' 'better' 'high' 'higher'], predicted=higher
question=['good' 'better' 'hot' 'hotter'], predicted=hotter
question=['good' 'better' 'large' 'larger'], predicted=larger
question=['good' 'better' 'long' 'longer'], predicted=longer
question=['good' 'better' 'old' 'older'], predicted=older
question=['good' 'better' 'short' 'shorter'], predicted=shorter
question=['good' 'better' 'warm' 'warmer'], predicted=warmer
question=['good' 'better' 'young' 'younger'], predicted=younger
question=['good' 'better' 'big' 'bigger'], predicted=bigger
question=['good' 'better' 'bright' 'brighter'], predicted=brighter
question=['good' 'better' 'deep' 'deeper'], predicted=deeper
question=['good' 'better' 'easy' 'easier'], predicted=easier
question=['good' 'better' 'fast' 'faster'], predicted=faster
question=['great' 'greater' 'high' 'higher'], predicted=higher
question=['great' 'greater' 'large' 'larger'], predicted=larger
question=['great' 'greater' 'long' 'longer'], predicted=longer
question=['great' 'greater' 'slow' 'slower'], predicted=slower
question=['great' 'greater' 'strong' 'stronger'], predicted=stronger
question=['great' 'greater' 'warm' 'warmer'], predicted=warmer
question=['great' 'greater' 'weak' 'weaker'], predicted=weaker
question=['great' 'greater' 'wide' 'wider'], predicted=wider
question=['great' 'greater' 'bright' 'brighter'], predicted=brighter
question=['great' 'greater' 'cheap' 'cheaper'], predicted=cheaper
question=['great' 'greater' 'cool' 'cooler'], predicted=cooler
question=['great' 'greater' 'deep' 'deeper'], predicted=deeper
question=['great' 'greater' 'easy' 'easier'], predicted=easier
question=['great' 'greater' 'fast' 'faster'], predicted=faster
question=['great' 'greater' 'good' 'better'], predicted=better
question=['hard' 'harder' 'quick' 'quicker'], predicted=quicker
question=['hard' 'harder' 'short' 'shorter'], predicted=shorter
question=['hard' 'harder' 'simple' 'simpler'], predicted=simpler
question=['hard' 'harder' 'slow' 'slower'], predicted=slower
question=['hard' 'harder' 'small' 'smaller'], predicted=smaller
question=['hard' 'harder' 'strong' 'stronger'], predicted=stronger
question=['hard' 'harder' 'young' 'younger'], predicted=younger
question=['hard' 'harder' 'bad' 'worse'], predicted=worse
question=['hard' 'harder' 'bright' 'brighter'], predicted=brighter
question=['hard' 'harder' 'cheap' 'cheaper'], predicted=cheaper
question=['hard' 'harder' 'cold' 'colder'], predicted=colder
question=['hard' 'harder' 'deep' 'deeper'], predicted=deeper
question=['hard' 'harder' 'easy' 'easier'], predicted=easier
question=['hard' 'harder' 'fast' 'faster'], predicted=faster
question=['hard' 'harder' 'good' 'better'], predicted=better
question=['hard' 'harder' 'great' 'greater'], predicted=greater
question=['heavy' 'heavier' 'high' 'higher'], predicted=higher
question=['heavy' 'heavier' 'hot' 'hotter'], predicted=hotter
question=['heavy' 'heavier' 'safe' 'safer'], predicted=safer
question=['heavy' 'heavier' 'short' 'shorter'], predicted=shorter
question=['heavy' 'heavier' 'simple' 'simpler'], predicted=simpler
question=['heavy' 'heavier' 'small' 'smaller'], predicted=smaller
question=['heavy' 'heavier' 'smart' 'smarter'], predicted=smarter
question=['heavy' 'heavier' 'strong' 'stronger'], predicted=stronger
question=['heavy' 'heavier' 'tall' 'taller'], predicted=taller
question=['heavy' 'heavier' 'warm' 'warmer'], predicted=warmer
question=['heavy' 'heavier' 'young' 'younger'], predicted=younger
question=['heavy' 'heavier' 'bright' 'brighter'], predicted=brighter
question=['heavy' 'heavier' 'easy' 'easier'], predicted=easier
question=['heavy' 'heavier' 'fast' 'faster'], predicted=faster
question=['heavy' 'heavier' 'good' 'better'], predicted=better
question=['heavy' 'heavier' 'hard' 'harder'], predicted=harder
question=['high' 'higher' 'large' 'larger'], predicted=larger
question=['high' 'higher' 'low' 'lower'], predicted=lower
question=['high' 'higher' 'old' 'older'], predicted=older
question=['high' 'higher' 'short' 'shorter'], predicted=shorter
question=['high' 'higher' 'simple' 'simpler'], predicted=simpler
question=['high' 'higher' 'small' 'smaller'], predicted=smaller
question=['high' 'higher' 'strong' 'stronger'], predicted=stronger
question=['high' 'higher' 'tall' 'taller'], predicted=taller
question=['high' 'higher' 'warm' 'warmer'], predicted=warmer
question=['high' 'higher' 'young' 'younger'], predicted=younger
question=['high' 'higher' 'big' 'bigger'], predicted=bigger
question=['high' 'higher' 'bright' 'brighter'], predicted=brighter
question=['high' 'higher' 'deep' 'deeper'], predicted=deeper
question=['high' 'higher' 'easy' 'easier'], predicted=easier
question=['high' 'higher' 'fast' 'faster'], predicted=faster
question=['high' 'higher' 'good' 'better'], predicted=better
question=['high' 'higher' 'great' 'greater'], predicted=greater
question=['high' 'higher' 'hard' 'harder'], predicted=harder
question=['high' 'higher' 'heavy' 'heavier'], predicted=heavier
question=['hot' 'hotter' 'large' 'larger'], predicted=larger
question=['hot' 'hotter' 'short' 'shorter'], predicted=shorter
question=['hot' 'hotter' 'slow' 'slower'], predicted=slower
question=['hot' 'hotter' 'tall' 'taller'], predicted=taller
question=['hot' 'hotter' 'weak' 'weaker'], predicted=weaker
question=['hot' 'hotter' 'wide' 'wider'], predicted=wider
question=['hot' 'hotter' 'big' 'bigger'], predicted=bigger
question=['hot' 'hotter' 'bright' 'brighter'], predicted=brighter
question=['hot' 'hotter' 'deep' 'deeper'], predicted=deeper
question=['hot' 'hotter' 'easy' 'easier'], predicted=easier
question=['hot' 'hotter' 'fast' 'faster'], predicted=faster
question=['hot' 'hotter' 'hard' 'harder'], predicted=harder
question=['large' 'larger' 'long' 'longer'], predicted=longer
question=['large' 'larger' 'old' 'older'], predicted=older
question=['large' 'larger' 'safe' 'safer'], predicted=safer
question=['large' 'larger' 'short' 'shorter'], predicted=shorter
question=['large' 'larger' 'simple' 'simpler'], predicted=simpler
question=['large' 'larger' 'slow' 'slower'], predicted=slower
question=['large' 'larger' 'small' 'smaller'], predicted=smaller
question=['large' 'larger' 'strong' 'stronger'], predicted=stronger
question=['large' 'larger' 'warm' 'warmer'], predicted=warmer
question=['large' 'larger' 'wide' 'wider'], predicted=wider
question=['large' 'larger' 'young' 'younger'], predicted=younger
question=['large' 'larger' 'bad' 'worse'], predicted=worse
question=['large' 'larger' 'big' 'bigger'], predicted=bigger
question=['large' 'larger' 'bright' 'brighter'], predicted=brighter
question=['large' 'larger' 'cheap' 'cheaper'], predicted=cheaper
question=['large' 'larger' 'deep' 'deeper'], predicted=deeper
question=['large' 'larger' 'easy' 'easier'], predicted=easier
question=['large' 'larger' 'good' 'better'], predicted=better
question=['large' 'larger' 'great' 'greater'], predicted=greater
question=['large' 'larger' 'hard' 'harder'], predicted=harder
question=['large' 'larger' 'high' 'higher'], predicted=higher
question=['large' 'larger' 'hot' 'hotter'], predicted=hotter
question=['long' 'longer' 'old' 'older'], predicted=older
question=['long' 'longer' 'safe' 'safer'], predicted=safer
question=['long' 'longer' 'short' 'shorter'], predicted=shorter
question=['long' 'longer' 'simple' 'simpler'], predicted=simpler
question=['long' 'longer' 'small' 'smaller'], predicted=smaller
question=['long' 'longer' 'smart' 'smarter'], predicted=smarter
question=['long' 'longer' 'strong' 'stronger'], predicted=stronger
question=['long' 'longer' 'tall' 'taller'], predicted=taller
question=['long' 'longer' 'tight' 'tighter'], predicted=tighter
question=['long' 'longer' 'young' 'younger'], predicted=younger
question=['long' 'longer' 'big' 'bigger'], predicted=bigger
question=['long' 'longer' 'bright' 'brighter'], predicted=brighter
question=['long' 'longer' 'cheap' 'cheaper'], predicted=cheaper
question=['long' 'longer' 'cool' 'cooler'], predicted=cooler
question=['long' 'longer' 'deep' 'deeper'], predicted=deeper
question=['long' 'longer' 'easy' 'easier'], predicted=easier
question=['long' 'longer' 'fast' 'faster'], predicted=faster
question=['long' 'longer' 'good' 'better'], predicted=better
question=['long' 'longer' 'hard' 'harder'], predicted=harder
question=['long' 'longer' 'heavy' 'heavier'], predicted=heavier
question=['long' 'longer' 'high' 'higher'], predicted=higher
question=['long' 'longer' 'large' 'larger'], predicted=larger
question=['loud' 'louder' 'low' 'lower'], predicted=lower
question=['loud' 'louder' 'old' 'older'], predicted=older
question=['loud' 'louder' 'safe' 'safer'], predicted=safer
question=['loud' 'louder' 'small' 'smaller'], predicted=smaller
question=['loud' 'louder' 'tall' 'taller'], predicted=taller
question=['loud' 'louder' 'young' 'younger'], predicted=younger
question=['loud' 'louder' 'bright' 'brighter'], predicted=brighter
question=['loud' 'louder' 'cool' 'cooler'], predicted=cooler
question=['loud' 'louder' 'deep' 'deeper'], predicted=deeper
question=['loud' 'louder' 'easy' 'easier'], predicted=easier
question=['loud' 'louder' 'fast' 'faster'], predicted=faster
question=['loud' 'louder' 'good' 'better'], predicted=better
question=['loud' 'louder' 'hard' 'harder'], predicted=harder
question=['loud' 'louder' 'large' 'larger'], predicted=larger
question=['loud' 'louder' 'long' 'longer'], predicted=longer
question=['low' 'lower' 'simple' 'simpler'], predicted=simpler
question=['low' 'lower' 'tall' 'taller'], predicted=taller
question=['low' 'lower' 'weak' 'weaker'], predicted=weaker
question=['low' 'lower' 'wide' 'wider'], predicted=wider
question=['low' 'lower' 'bad' 'worse'], predicted=worse
question=['low' 'lower' 'bright' 'brighter'], predicted=brighter
question=['low' 'lower' 'easy' 'easier'], predicted=easier
question=['low' 'lower' 'fast' 'faster'], predicted=faster
question=['low' 'lower' 'hard' 'harder'], predicted=harder
question=['low' 'lower' 'high' 'higher'], predicted=higher
question=['low' 'lower' 'large' 'larger'], predicted=larger
question=['new' 'newer' 'old' 'older'], predicted=older
question=['new' 'newer' 'slow' 'slower'], predicted=slower
question=['new' 'newer' 'small' 'smaller'], predicted=smaller
question=['old' 'older' 'slow' 'slower'], predicted=slower
question=['old' 'older' 'small' 'smaller'], predicted=smaller
question=['old' 'older' 'tall' 'taller'], predicted=taller
question=['old' 'older' 'young' 'younger'], predicted=younger
question=['old' 'older' 'bad' 'worse'], predicted=worse
question=['old' 'older' 'bright' 'brighter'], predicted=brighter
question=['old' 'older' 'deep' 'deeper'], predicted=deeper
question=['old' 'older' 'good' 'better'], predicted=better
question=['old' 'older' 'hard' 'harder'], predicted=harder
question=['old' 'older' 'large' 'larger'], predicted=larger
question=['old' 'older' 'new' 'newer'], predicted=newer
question=['quick' 'quicker' 'short' 'shorter'], predicted=shorter
question=['quick' 'quicker' 'simple' 'simpler'], predicted=simpler
question=['quick' 'quicker' 'warm' 'warmer'], predicted=warmer
question=['quick' 'quicker' 'big' 'bigger'], predicted=bigger
question=['quick' 'quicker' 'deep' 'deeper'], predicted=deeper
question=['quick' 'quicker' 'easy' 'easier'], predicted=easier
question=['quick' 'quicker' 'fast' 'faster'], predicted=faster
question=['quick' 'quicker' 'hard' 'harder'], predicted=harder
question=['quick' 'quicker' 'high' 'higher'], predicted=higher
question=['quick' 'quicker' 'large' 'larger'], predicted=larger
question=['safe' 'safer' 'short' 'shorter'], predicted=shorter
question=['safe' 'safer' 'simple' 'simpler'], predicted=simpler
question=['safe' 'safer' 'slow' 'slower'], predicted=slower
question=['safe' 'safer' 'small' 'smaller'], predicted=smaller
question=['safe' 'safer' 'strong' 'stronger'], predicted=stronger
question=['safe' 'safer' 'tall' 'taller'], predicted=taller
question=['safe' 'safer' 'warm' 'warmer'], predicted=warmer
question=['safe' 'safer' 'bright' 'brighter'], predicted=brighter
question=['safe' 'safer' 'deep' 'deeper'], predicted=deeper
question=['safe' 'safer' 'easy' 'easier'], predicted=easier
question=['safe' 'safer' 'fast' 'faster'], predicted=faster
question=['safe' 'safer' 'hard' 'harder'], predicted=harder
question=['safe' 'safer' 'large' 'larger'], predicted=larger
question=['safe' 'safer' 'old' 'older'], predicted=older
question=['sharp' 'sharper' 'bright' 'brighter'], predicted=brighter
question=['sharp' 'sharper' 'deep' 'deeper'], predicted=deeper
question=['sharp' 'sharper' 'easy' 'easier'], predicted=easier
question=['sharp' 'sharper' 'hard' 'harder'], predicted=harder
question=['sharp' 'sharper' 'hot' 'hotter'], predicted=hotter
question=['short' 'shorter' 'simple' 'simpler'], predicted=simpler
question=['short' 'shorter' 'small' 'smaller'], predicted=smaller
question=['short' 'shorter' 'strong' 'stronger'], predicted=stronger
question=['short' 'shorter' 'warm' 'warmer'], predicted=warmer
question=['short' 'shorter' 'wide' 'wider'], predicted=wider
question=['short' 'shorter' 'young' 'younger'], predicted=younger
question=['short' 'shorter' 'big' 'bigger'], predicted=bigger
question=['short' 'shorter' 'bright' 'brighter'], predicted=brighter
question=['short' 'shorter' 'cheap' 'cheaper'], predicted=cheaper
question=['short' 'shorter' 'deep' 'deeper'], predicted=deeper
question=['short' 'shorter' 'easy' 'easier'], predicted=easier
question=['short' 'shorter' 'fast' 'faster'], predicted=faster
question=['short' 'shorter' 'good' 'better'], predicted=better
question=['short' 'shorter' 'great' 'greater'], predicted=greater
question=['short' 'shorter' 'hard' 'harder'], predicted=harder
question=['short' 'shorter' 'high' 'higher'], predicted=higher
question=['short' 'shorter' 'hot' 'hotter'], predicted=hotter
question=['short' 'shorter' 'large' 'larger'], predicted=larger
question=['short' 'shorter' 'long' 'longer'], predicted=longer
question=['short' 'shorter' 'safe' 'safer'], predicted=safer
question=['simple' 'simpler' 'slow' 'slower'], predicted=slower
question=['simple' 'simpler' 'small' 'smaller'], predicted=smaller
question=['simple' 'simpler' 'tall' 'taller'], predicted=taller
question=['simple' 'simpler' 'warm' 'warmer'], predicted=warmer
question=['simple' 'simpler' 'wide' 'wider'], predicted=wider
question=['simple' 'simpler' 'young' 'younger'], predicted=younger
question=['simple' 'simpler' 'big' 'bigger'], predicted=bigger
question=['simple' 'simpler' 'bright' 'brighter'], predicted=brighter
question=['simple' 'simpler' 'cheap' 'cheaper'], predicted=cheaper
question=['simple' 'simpler' 'cold' 'colder'], predicted=colder
question=['simple' 'simpler' 'deep' 'deeper'], predicted=deeper
question=['simple' 'simpler' 'easy' 'easier'], predicted=easier
question=['simple' 'simpler' 'fast' 'faster'], predicted=faster
question=['simple' 'simpler' 'good' 'better'], predicted=better
question=['simple' 'simpler' 'great' 'greater'], predicted=greater
question=['simple' 'simpler' 'hard' 'harder'], predicted=harder
question=['simple' 'simpler' 'heavy' 'heavier'], predicted=heavier
question=['simple' 'simpler' 'hot' 'hotter'], predicted=hotter
question=['simple' 'simpler' 'large' 'larger'], predicted=larger
question=['simple' 'simpler' 'low' 'lower'], predicted=lower
question=['simple' 'simpler' 'old' 'older'], predicted=older
question=['simple' 'simpler' 'safe' 'safer'], predicted=safer
question=['simple' 'simpler' 'short' 'shorter'], predicted=shorter
question=['slow' 'slower' 'strong' 'stronger'], predicted=stronger
question=['slow' 'slower' 'tall' 'taller'], predicted=taller
question=['slow' 'slower' 'warm' 'warmer'], predicted=warmer
question=['slow' 'slower' 'big' 'bigger'], predicted=bigger
question=['slow' 'slower' 'bright' 'brighter'], predicted=brighter
question=['slow' 'slower' 'cheap' 'cheaper'], predicted=cheaper
question=['slow' 'slower' 'deep' 'deeper'], predicted=deeper
question=['slow' 'slower' 'easy' 'easier'], predicted=easier
question=['slow' 'slower' 'fast' 'faster'], predicted=faster
question=['slow' 'slower' 'great' 'greater'], predicted=greater
question=['slow' 'slower' 'hard' 'harder'], predicted=harder
question=['slow' 'slower' 'high' 'higher'], predicted=higher
question=['slow' 'slower' 'large' 'larger'], predicted=larger
question=['slow' 'slower' 'old' 'older'], predicted=older
question=['slow' 'slower' 'safe' 'safer'], predicted=safer
question=['slow' 'slower' 'short' 'shorter'], predicted=shorter
question=['slow' 'slower' 'simple' 'simpler'], predicted=simpler
question=['small' 'smaller' 'strong' 'stronger'], predicted=stronger
question=['small' 'smaller' 'tall' 'taller'], predicted=taller
question=['small' 'smaller' 'warm' 'warmer'], predicted=warmer
question=['small' 'smaller' 'wide' 'wider'], predicted=wider
question=['small' 'smaller' 'young' 'younger'], predicted=younger
question=['small' 'smaller' 'bad' 'worse'], predicted=worse
question=['small' 'smaller' 'big' 'bigger'], predicted=bigger
question=['small' 'smaller' 'bright' 'brighter'], predicted=brighter
question=['small' 'smaller' 'cheap' 'cheaper'], predicted=cheaper
question=['small' 'smaller' 'deep' 'deeper'], predicted=deeper
question=['small' 'smaller' 'easy' 'easier'], predicted=easier
question=['small' 'smaller' 'fast' 'faster'], predicted=faster
question=['small' 'smaller' 'good' 'better'], predicted=better
question=['small' 'smaller' 'great' 'greater'], predicted=greater
question=['small' 'smaller' 'hard' 'harder'], predicted=harder
question=['small' 'smaller' 'high' 'higher'], predicted=higher
question=['small' 'smaller' 'hot' 'hotter'], predicted=hotter
question=['small' 'smaller' 'large' 'larger'], predicted=larger
question=['small' 'smaller' 'old' 'older'], predicted=older
question=['small' 'smaller' 'safe' 'safer'], predicted=safer
question=['small' 'smaller' 'short' 'shorter'], predicted=shorter
question=['small' 'smaller' 'simple' 'simpler'], predicted=simpler
question=['small' 'smaller' 'slow' 'slower'], predicted=slower
question=['smart' 'smarter' 'tight' 'tighter'], predicted=tighter
question=['smart' 'smarter' 'warm' 'warmer'], predicted=warmer
question=['smart' 'smarter' 'wide' 'wider'], predicted=wider
question=['smart' 'smarter' 'bright' 'brighter'], predicted=brighter
question=['smart' 'smarter' 'deep' 'deeper'], predicted=deeper
question=['smart' 'smarter' 'easy' 'easier'], predicted=easier
question=['smart' 'smarter' 'good' 'better'], predicted=better
question=['smart' 'smarter' 'long' 'longer'], predicted=longer
question=['smart' 'smarter' 'low' 'lower'], predicted=lower
question=['smart' 'smarter' 'safe' 'safer'], predicted=safer
question=['smart' 'smarter' 'slow' 'slower'], predicted=slower
question=['strong' 'stronger' 'tall' 'taller'], predicted=taller
question=['strong' 'stronger' 'warm' 'warmer'], predicted=warmer
question=['strong' 'stronger' 'weak' 'weaker'], predicted=weaker
question=['strong' 'stronger' 'bad' 'worse'], predicted=worse
question=['strong' 'stronger' 'big' 'bigger'], predicted=bigger
question=['strong' 'stronger' 'bright' 'brighter'], predicted=brighter
question=['strong' 'stronger' 'cheap' 'cheaper'], predicted=cheaper
question=['strong' 'stronger' 'easy' 'easier'], predicted=easier
question=['strong' 'stronger' 'fast' 'faster'], predicted=faster
question=['strong' 'stronger' 'hard' 'harder'], predicted=harder
question=['strong' 'stronger' 'high' 'higher'], predicted=higher
question=['strong' 'stronger' 'large' 'larger'], predicted=larger
question=['strong' 'stronger' 'safe' 'safer'], predicted=safer
question=['strong' 'stronger' 'short' 'shorter'], predicted=shorter
question=['strong' 'stronger' 'small' 'smaller'], predicted=smaller
question=['tall' 'taller' 'young' 'younger'], predicted=younger
question=['tall' 'taller' 'big' 'bigger'], predicted=bigger
question=['tall' 'taller' 'bright' 'brighter'], predicted=brighter
question=['tall' 'taller' 'cheap' 'cheaper'], predicted=cheaper
question=['tall' 'taller' 'cool' 'cooler'], predicted=cooler
question=['tall' 'taller' 'deep' 'deeper'], predicted=deeper
question=['tall' 'taller' 'easy' 'easier'], predicted=easier
question=['tall' 'taller' 'hard' 'harder'], predicted=harder
question=['tall' 'taller' 'hot' 'hotter'], predicted=hotter
question=['tall' 'taller' 'simple' 'simpler'], predicted=simpler
question=['tall' 'taller' 'slow' 'slower'], predicted=slower
question=['tall' 'taller' 'small' 'smaller'], predicted=smaller
question=['tall' 'taller' 'strong' 'stronger'], predicted=stronger
question=['tight' 'tighter' 'warm' 'warmer'], predicted=warmer
question=['tight' 'tighter' 'young' 'younger'], predicted=younger
question=['tight' 'tighter' 'bright' 'brighter'], predicted=brighter
