question=['bad' 'worst' 'fast' 'fastest'], predicted=fastest
question=['good' 'best' 'simple' 'simplest'], predicted=simplest
question=['good' 'best' 'strong' 'strongest'], predicted=strongest
question=['good' 'best' 'bad' 'worst'], predicted=worst
question=['good' 'best' 'fast' 'fastest'], predicted=fastest
question=['great' 'greatest' 'simple' 'simplest'], predicted=simplest
question=['great' 'greatest' 'weak' 'weakest'], predicted=weakest
question=['great' 'greatest' 'big' 'biggest'], predicted=biggest
question=['great' 'greatest' 'fast' 'fastest'], predicted=fastest
question=['high' 'highest' 'large' 'largest'], predicted=largest
question=['high' 'highest' 'long' 'longest'], predicted=longest
question=['high' 'highest' 'low' 'lowest'], predicted=lowest
question=['high' 'highest' 'old' 'oldest'], predicted=oldest
question=['high' 'highest' 'strong' 'strongest'], predicted=strongest
question=['high' 'highest' 'fast' 'fastest'], predicted=fastest
question=['high' 'highest' 'great' 'greatest'], predicted=greatest
question=['large' 'largest' 'long' 'longest'], predicted=longest
question=['large' 'largest' 'old' 'oldest'], predicted=oldest
question=['large' 'largest' 'strong' 'strongest'], predicted=strongest
question=['large' 'largest' 'tall' 'tallest'], predicted=tallest
question=['large' 'largest' 'young' 'youngest'], predicted=youngest
question=['large' 'largest' 'big' 'biggest'], predicted=biggest
question=['large' 'largest' 'fast' 'fastest'], predicted=fastest
question=['large' 'largest' 'high' 'highest'], predicted=highest
question=['long' 'longest' 'old' 'oldest'], predicted=oldest
question=['long' 'longest' 'simple' 'simplest'], predicted=simplest
question=['long' 'longest' 'short' 'shortest'], predicted=shortest
question=['long' 'longest' 'strong' 'strongest'], predicted=strongest
question=['long' 'longest' 'tall' 'tallest'], predicted=tallest
question=['long' 'longest' 'young' 'youngest'], predicted=youngest
question=['long' 'longest' 'big' 'biggest'], predicted=biggest
question=['long' 'longest' 'fast' 'fastest'], predicted=fastest
question=['long' 'longest' 'great' 'greatest'], predicted=greatest
question=['long' 'longest' 'high' 'highest'], predicted=highest
question=['long' 'longest' 'large' 'largest'], predicted=largest
question=['low' 'lowest' 'old' 'oldest'], predicted=oldest
question=['low' 'lowest' 'simple' 'simplest'], predicted=simplest
question=['low' 'lowest' 'short' 'shortest'], predicted=shortest
question=['low' 'lowest' 'small' 'smallest'], predicted=smallest
question=['low' 'lowest' 'high' 'highest'], predicted=highest
question=['low' 'lowest' 'large' 'largest'], predicted=largest
question=['low' 'lowest' 'long' 'longest'], predicted=longest
question=['old' 'oldest' 'simple' 'simplest'], predicted=simplest
question=['old' 'oldest' 'strong' 'strongest'], predicted=strongest
question=['old' 'oldest' 'tall' 'tallest'], predicted=tallest
question=['old' 'oldest' 'young' 'youngest'], predicted=youngest
question=['old' 'oldest' 'big' 'biggest'], predicted=biggest
question=['old' 'oldest' 'fast' 'fastest'], predicted=fastest
question=['old' 'oldest' 'great' 'greatest'], predicted=greatest
question=['old' 'oldest' 'large' 'largest'], predicted=largest
question=['old' 'oldest' 'long' 'longest'], predicted=longest
question=['quick' 'quickest' 'strong' 'strongest'], predicted=strongest
question=['quick' 'quickest' 'tall' 'tallest'], predicted=tallest
question=['quick' 'quickest' 'great' 'greatest'], predicted=greatest
question=['quick' 'quickest' 'high' 'highest'], predicted=highest
question=['quick' 'quickest' 'low' 'lowest'], predicted=lowest
question=['sharp' 'sharpest' 'wide' 'widest'], predicted=widest
question=['simple' 'simplest' 'strong' 'strongest'], predicted=strongest
question=['simple' 'simplest' 'weak' 'weakest'], predicted=weakest
question=['simple' 'simplest' 'wide' 'widest'], predicted=widest
question=['simple' 'simplest' 'great' 'greatest'], predicted=greatest
question=['simple' 'simplest' 'large' 'largest'], predicted=largest
question=['simple' 'simplest' 'long' 'longest'], predicted=longest
question=['simple' 'simplest' 'old' 'oldest'], predicted=oldest
question=['short' 'shortest' 'small' 'smallest'], predicted=smallest
question=['short' 'shortest' 'young' 'youngest'], predicted=youngest
question=['short' 'shortest' 'fast' 'fastest'], predicted=fastest
question=['short' 'shortest' 'large' 'largest'], predicted=largest
question=['short' 'shortest' 'long' 'longest'], predicted=longest
question=['short' 'shortest' 'low' 'lowest'], predicted=lowest
question=['short' 'shortest' 'old' 'oldest'], predicted=oldest
question=['slow' 'slowest' 'wide' 'widest'], predicted=widest
question=['slow' 'slowest' 'bright' 'brightest'], predicted=brightest
question=['slow' 'slowest' 'good' 'best'], predicted=best
question=['slow' 'slowest' 'high' 'highest'], predicted=highest
question=['slow' 'slowest' 'large' 'largest'], predicted=largest
question=['slow' 'slowest' 'simple' 'simplest'], predicted=simplest
question=['small' 'smallest' 'strong' 'strongest'], predicted=strongest
question=['small' 'smallest' 'weak' 'weakest'], predicted=weakest
question=['small' 'smallest' 'young' 'youngest'], predicted=youngest
question=['small' 'smallest' 'bright' 'brightest'], predicted=brightest
question=['small' 'smallest' 'great' 'greatest'], predicted=greatest
question=['small' 'smallest' 'high' 'highest'], predicted=highest
question=['small' 'smallest' 'large' 'largest'], predicted=largest
question=['small' 'smallest' 'long' 'longest'], predicted=longest
question=['small' 'smallest' 'low' 'lowest'], predicted=lowest
question=['small' 'smallest' 'old' 'oldest'], predicted=oldest
question=['small' 'smallest' 'simple' 'simplest'], predicted=simplest
question=['smart' 'smartest' 'strong' 'strongest'], predicted=strongest
question=['smart' 'smartest' 'fast' 'fastest'], predicted=fastest
question=['smart' 'smartest' 'long' 'longest'], predicted=longest
question=['strong' 'strongest' 'tall' 'tallest'], predicted=tallest
question=['strong' 'strongest' 'weak' 'weakest'], predicted=weakest
question=['strong' 'strongest' 'young' 'youngest'], predicted=youngest
question=['strong' 'strongest' 'fast' 'fastest'], predicted=fastest
question=['strong' 'strongest' 'high' 'highest'], predicted=highest
question=['strong' 'strongest' 'large' 'largest'], predicted=largest
question=['strong' 'strongest' 'long' 'longest'], predicted=longest
question=['strong' 'strongest' 'old' 'oldest'], predicted=oldest
question=['strong' 'strongest' 'simple' 'simplest'], predicted=simplest
question=['tall' 'tallest' 'big' 'biggest'], predicted=biggest
question=['tall' 'tallest' 'large' 'largest'], predicted=largest
question=['tall' 'tallest' 'long' 'longest'], predicted=longest
question=['tall' 'tallest' 'old' 'oldest'], predicted=oldest
question=['tall' 'tallest' 'simple' 'simplest'], predicted=simplest
question=['tall' 'tallest' 'strong' 'strongest'], predicted=strongest
question=['warm' 'warmest' 'high' 'highest'], predicted=highest
question=['weak' 'weakest' 'good' 'best'], predicted=best
question=['weak' 'weakest' 'great' 'greatest'], predicted=greatest
question=['weak' 'weakest' 'simple' 'simplest'], predicted=simplest
question=['wide' 'widest' 'long' 'longest'], predicted=longest
question=['wide' 'widest' 'low' 'lowest'], predicted=lowest
question=['wide' 'widest' 'simple' 'simplest'], predicted=simplest
question=['young' 'youngest' 'fast' 'fastest'], predicted=fastest
question=['young' 'youngest' 'high' 'highest'], predicted=highest
question=['young' 'youngest' 'large' 'largest'], predicted=largest
question=['young' 'youngest' 'long' 'longest'], predicted=longest
question=['young' 'youngest' 'old' 'oldest'], predicted=oldest
question=['young' 'youngest' 'simple' 'simplest'], predicted=simplest
question=['young' 'youngest' 'strong' 'strongest'], predicted=strongest
question=['young' 'youngest' 'tall' 'tallest'], predicted=tallest
