question=['decrease' 'decreases' 'eat' 'eats'], predicted=eats
question=['work' 'works' 'play' 'plays'], predicted=plays
question=['work' 'works' 'provide' 'provides'], predicted=provides
question=['work' 'works' 'sit' 'sits'], predicted=sits
question=['write' 'writes' 'estimate' 'estimates'], predicted=estimates
question=['write' 'writes' 'find' 'finds'], predicted=finds
question=['write' 'writes' 'generate' 'generates'], predicted=generates
question=['write' 'writes' 'go' 'goes'], predicted=goes
question=['write' 'writes' 'increase' 'increases'], predicted=increases
question=['write' 'writes' 'say' 'says'], predicted=says
question=['write' 'writes' 'sit' 'sits'], predicted=sits
question=['write' 'writes' 'speak' 'speaks'], predicted=speaks
question=['write' 'writes' 'work' 'works'], predicted=works
