question=['bad' 'worse' 'big' 'bigger'], predicted=larger
question=['bright' 'brighter' 'deep' 'deeper'], predicted=higher
question=['bright' 'brighter' 'hard' 'harder'], predicted=removable
question=['bright' 'brighter' 'hot' 'hotter'], predicted=contrabass
question=['bright' 'brighter' 'loud' 'louder'], predicted=harmonics
question=['bright' 'brighter' 'low' 'lower'], predicted=higher
question=['bright' 'brighter' 'new' 'newer'], predicted=york
question=['bright' 'brighter' 'old' 'older'], predicted=larger
question=['bright' 'brighter' 'quick' 'quicker'], predicted=slower
question=['bright' 'brighter' 'sharp' 'sharper'], predicted=larger
question=['bright' 'brighter' 'short' 'shorter'], predicted=longer
question=['bright' 'brighter' 'smart' 'smarter'], predicted=eftpos
question=['bright' 'brighter' 'strong' 'stronger'], predicted=greater
question=['bright' 'brighter' 'tight' 'tighter'], predicted=rodman
question=['bright' 'brighter' 'tough' 'tougher'], predicted=flexible
question=['bright' 'brighter' 'warm' 'warmer'], predicted=temperate
question=['bright' 'brighter' 'young' 'younger'], predicted=smaller
question=['bright' 'brighter' 'bad' 'worse'], predicted=good
question=['bright' 'brighter' 'big' 'bigger'], predicted=smaller
question=['cheap' 'cheaper' 'deep' 'deeper'], predicted=shallower
question=['cheap' 'cheaper' 'good' 'better'], predicted=stronger
question=['cheap' 'cheaper' 'great' 'greater'], predicted=much
question=['cheap' 'cheaper' 'heavy' 'heavier'], predicted=metal
question=['cheap' 'cheaper' 'hot' 'hotter'], predicted=cooler
question=['cheap' 'cheaper' 'long' 'longer'], predicted=shorter
question=['cheap' 'cheaper' 'loud' 'louder'], predicted=livelier
question=['cheap' 'cheaper' 'low' 'lower'], predicted=higher
question=['cheap' 'cheaper' 'new' 'newer'], predicted=york
question=['cheap' 'cheaper' 'quick' 'quicker'], predicted=faster
question=['cheap' 'cheaper' 'safe' 'safer'], predicted=stronger
question=['cheap' 'cheaper' 'sharp' 'sharper'], predicted=stronger
question=['cheap' 'cheaper' 'smart' 'smarter'], predicted=automated
question=['cheap' 'cheaper' 'tight' 'tighter'], predicted=stronger
question=['cheap' 'cheaper' 'tough' 'tougher'], predicted=stronger
question=['cheap' 'cheaper' 'warm' 'warmer'], predicted=cooler
question=['cheap' 'cheaper' 'weak' 'weaker'], predicted=stronger
question=['cheap' 'cheaper' 'young' 'younger'], predicted=aged
question=['cheap' 'cheaper' 'bad' 'worse'], predicted=stronger
question=['cheap' 'cheaper' 'big' 'bigger'], predicted=smaller
question=['cheap' 'cheaper' 'bright' 'brighter'], predicted=blue
question=['cold' 'colder' 'fast' 'faster'], predicted=slower
question=['cold' 'colder' 'good' 'better'], predicted=spicier
question=['cold' 'colder' 'heavy' 'heavier'], predicted=lighter
question=['cold' 'colder' 'hot' 'hotter'], predicted=cooler
question=['cold' 'colder' 'long' 'longer'], predicted=shorter
question=['cold' 'colder' 'loud' 'louder'], predicted=brighter
question=['cold' 'colder' 'low' 'lower'], predicted=higher
question=['cold' 'colder' 'new' 'newer'], predicted=more
question=['cold' 'colder' 'quick' 'quicker'], predicted=spicier
question=['cold' 'colder' 'safe' 'safer'], predicted=easier
question=['cold' 'colder' 'sharp' 'sharper'], predicted=brighter
question=['cold' 'colder' 'small' 'smaller'], predicted=larger
question=['cold' 'colder' 'smart' 'smarter'], predicted=stiller
question=['cold' 'colder' 'strong' 'stronger'], predicted=significant
question=['cold' 'colder' 'tight' 'tighter'], predicted=stiller
question=['cold' 'colder' 'tough' 'tougher'], predicted=spicier
question=['cold' 'colder' 'warm' 'warmer'], predicted=cooler
question=['cold' 'colder' 'weak' 'weaker'], predicted=stronger
question=['cold' 'colder' 'bad' 'worse'], predicted=spicier
question=['cold' 'colder' 'big' 'bigger'], predicted=larger
question=['cool' 'cooler' 'good' 'better'], predicted=bad
question=['cool' 'cooler' 'great' 'greater'], predicted=considerable
question=['cool' 'cooler' 'hard' 'harder'], predicted=disk
question=['cool' 'cooler' 'heavy' 'heavier'], predicted=ammunition
question=['cool' 'cooler' 'hot' 'hotter'], predicted=warmer
question=['cool' 'cooler' 'large' 'larger'], predicted=small
question=['cool' 'cooler' 'long' 'longer'], predicted=short
question=['cool' 'cooler' 'loud' 'louder'], predicted=vented
question=['cool' 'cooler' 'low' 'lower'], predicted=high
question=['cool' 'cooler' 'new' 'newer'], predicted=york
question=['cool' 'cooler' 'old' 'older'], predicted=original
question=['cool' 'cooler' 'quick' 'quicker'], predicted=succession
question=['cool' 'cooler' 'safe' 'safer'], predicted=desired
question=['cool' 'cooler' 'sharp' 'sharper'], predicted=accidentals
question=['cool' 'cooler' 'short' 'shorter'], predicted=long
question=['cool' 'cooler' 'simple' 'simpler'], predicted=complex
question=['cool' 'cooler' 'small' 'smaller'], predicted=large
question=['cool' 'cooler' 'smart' 'smarter'], predicted=hellfire
question=['cool' 'cooler' 'strong' 'stronger'], predicted=significant
question=['cool' 'cooler' 'tall' 'taller'], predicted=feet
question=['cool' 'cooler' 'tight' 'tighter'], predicted=defensive
question=['cool' 'cooler' 'tough' 'tougher'], predicted=dismal
question=['cool' 'cooler' 'wide' 'wider'], predicted=range
question=['cool' 'cooler' 'young' 'younger'], predicted=women
question=['cool' 'cooler' 'bad' 'worse'], predicted=bentheim
question=['cool' 'cooler' 'big' 'bigger'], predicted=smaller
question=['cool' 'cooler' 'cold' 'colder'], predicted=warmer
question=['deep' 'deeper' 'fast' 'faster'], predicted=slower
question=['deep' 'deeper' 'good' 'better'], predicted=bad
question=['deep' 'deeper' 'great' 'greater'], predicted=much
question=['deep' 'deeper' 'heavy' 'heavier'], predicted=metal
question=['deep' 'deeper' 'hot' 'hotter'], predicted=picta
question=['deep' 'deeper' 'long' 'longer'], predicted=shorter
question=['deep' 'deeper' 'loud' 'louder'], predicted=voices
question=['deep' 'deeper' 'low' 'lower'], predicted=higher
question=['deep' 'deeper' 'new' 'newer'], predicted=which
question=['deep' 'deeper' 'quick' 'quicker'], predicted=cheaper
question=['deep' 'deeper' 'sharp' 'sharper'], predicted=broader
question=['deep' 'deeper' 'small' 'smaller'], predicted=large
question=['deep' 'deeper' 'smart' 'smarter'], predicted=lewisham
question=['deep' 'deeper' 'strong' 'stronger'], predicted=weak
question=['deep' 'deeper' 'tight' 'tighter'], predicted=defensive
question=['deep' 'deeper' 'tough' 'tougher'], predicted=tyrannical
question=['deep' 'deeper' 'warm' 'warmer'], predicted=colder
question=['deep' 'deeper' 'weak' 'weaker'], predicted=stronger
question=['deep' 'deeper' 'young' 'younger'], predicted=youth
question=['deep' 'deeper' 'big' 'bigger'], predicted=lowski
question=['deep' 'deeper' 'cold' 'colder'], predicted=winters
question=['deep' 'deeper' 'cool' 'cooler'], predicted=summers
question=['easy' 'easier' 'fast' 'faster'], predicted=slower
question=['easy' 'easier' 'great' 'greater'], predicted=considerable
question=['easy' 'easier' 'heavy' 'heavier'], predicted=lighter
question=['easy' 'easier' 'long' 'longer'], predicted=shorter
question=['easy' 'easier' 'loud' 'louder'], predicted=shouting
question=['easy' 'easier' 'low' 'lower'], predicted=higher
question=['easy' 'easier' 'new' 'newer'], predicted=more
question=['easy' 'easier' 'old' 'older'], predicted=earlier
question=['easy' 'easier' 'sharp' 'sharper'], predicted=stronger
question=['easy' 'easier' 'smart' 'smarter'], predicted=more
question=['easy' 'easier' 'tough' 'tougher'], predicted=stronger
question=['easy' 'easier' 'weak' 'weaker'], predicted=stronger
question=['easy' 'easier' 'young' 'younger'], predicted=women
question=['easy' 'easier' 'big' 'bigger'], predicted=smaller
question=['easy' 'easier' 'cold' 'colder'], predicted=warmer
question=['fast' 'faster' 'heavy' 'heavier'], predicted=lighter
question=['fast' 'faster' 'hot' 'hotter'], predicted=warmer
question=['fast' 'faster' 'long' 'longer'], predicted=shorter
question=['fast' 'faster' 'loud' 'louder'], predicted=higher
question=['fast' 'faster' 'low' 'lower'], predicted=higher
question=['fast' 'faster' 'new' 'newer'], predicted=more
question=['fast' 'faster' 'quick' 'quicker'], predicted=cheaper
question=['fast' 'faster' 'safe' 'safer'], predicted=higher
question=['fast' 'faster' 'sharp' 'sharper'], predicted=thinner
question=['fast' 'faster' 'smart' 'smarter'], predicted=cheaper
question=['fast' 'faster' 'strong' 'stronger'], predicted=higher
question=['fast' 'faster' 'tight' 'tighter'], predicted=defensive
question=['fast' 'faster' 'tough' 'tougher'], predicted=thinner
question=['fast' 'faster' 'weak' 'weaker'], predicted=stronger
question=['fast' 'faster' 'young' 'younger'], predicted=higher
question=['fast' 'faster' 'big' 'bigger'], predicted=smaller
question=['fast' 'faster' 'cold' 'colder'], predicted=warmer
question=['fast' 'faster' 'cool' 'cooler'], predicted=warmer
question=['good' 'better' 'heavy' 'heavier'], predicted=lighter
question=['good' 'better' 'loud' 'louder'], predicted=crowd
question=['good' 'better' 'low' 'lower'], predicted=higher
question=['good' 'better' 'new' 'newer'], predicted=york
question=['good' 'better' 'quick' 'quicker'], predicted=faster
question=['good' 'better' 'safe' 'safer'], predicted=faster
question=['good' 'better' 'sharp' 'sharper'], predicted=slower
question=['good' 'better' 'small' 'smaller'], predicted=larger
question=['good' 'better' 'smart' 'smarter'], predicted=faster
question=['good' 'better' 'strong' 'stronger'], predicted=substantial
question=['good' 'better' 'tall' 'taller'], predicted=meters
question=['good' 'better' 'tight' 'tighter'], predicted=defensive
question=['good' 'better' 'tough' 'tougher'], predicted=flexible
question=['good' 'better' 'warm' 'warmer'], predicted=colder
question=['good' 'better' 'weak' 'weaker'], predicted=stronger
question=['good' 'better' 'big' 'bigger'], predicted=larger
question=['good' 'better' 'bright' 'brighter'], predicted=colors
question=['good' 'better' 'cold' 'colder'], predicted=warm
question=['good' 'better' 'cool' 'cooler'], predicted=hotter
question=['great' 'greater' 'hard' 'harder'], predicted=larger
question=['great' 'greater' 'heavy' 'heavier'], predicted=lighter
question=['great' 'greater' 'hot' 'hotter'], predicted=cooler
question=['great' 'greater' 'long' 'longer'], predicted=shorter
question=['great' 'greater' 'loud' 'louder'], predicted=larger
question=['great' 'greater' 'low' 'lower'], predicted=higher
question=['great' 'greater' 'new' 'newer'], predicted=larger
question=['great' 'greater' 'old' 'older'], predicted=larger
question=['great' 'greater' 'quick' 'quicker'], predicted=weaker
question=['great' 'greater' 'sharp' 'sharper'], predicted=larger
question=['great' 'greater' 'simple' 'simpler'], predicted=larger
question=['great' 'greater' 'small' 'smaller'], predicted=larger
question=['great' 'greater' 'smart' 'smarter'], predicted=larger
question=['great' 'greater' 'strong' 'stronger'], predicted=larger
question=['great' 'greater' 'tall' 'taller'], predicted=larger
question=['great' 'greater' 'tough' 'tougher'], predicted=stronger
question=['great' 'greater' 'young' 'younger'], predicted=adult
question=['great' 'greater' 'bad' 'worse'], predicted=weaker
question=['great' 'greater' 'big' 'bigger'], predicted=larger
question=['great' 'greater' 'cold' 'colder'], predicted=temperatures
question=['great' 'greater' 'deep' 'deeper'], predicted=larger
question=['hard' 'harder' 'heavy' 'heavier'], predicted=lighter
question=['hard' 'harder' 'large' 'larger'], predicted=small
question=['hard' 'harder' 'long' 'longer'], predicted=shorter
question=['hard' 'harder' 'loud' 'louder'], predicted=singing
question=['hard' 'harder' 'low' 'lower'], predicted=high
question=['hard' 'harder' 'new' 'newer'], predicted=more
question=['hard' 'harder' 'old' 'older'], predicted=like
question=['hard' 'harder' 'safe' 'safer'], predicted=quicker
question=['hard' 'harder' 'sharp' 'sharper'], predicted=stronger
question=['hard' 'harder' 'simple' 'simpler'], predicted=quicker
question=['hard' 'harder' 'small' 'smaller'], predicted=large
question=['hard' 'harder' 'smart' 'smarter'], predicted=quicker
question=['hard' 'harder' 'tight' 'tighter'], predicted=defensive
question=['hard' 'harder' 'tough' 'tougher'], predicted=stronger
question=['hard' 'harder' 'warm' 'warmer'], predicted=colder
question=['hard' 'harder' 'weak' 'weaker'], predicted=stronger
question=['hard' 'harder' 'young' 'younger'], predicted=aged
question=['hard' 'harder' 'big' 'bigger'], predicted=bang
question=['hard' 'harder' 'cold' 'colder'], predicted=winters
question=['hard' 'harder' 'cool' 'cooler'], predicted=colder
question=['hard' 'harder' 'fast' 'faster'], predicted=slow
question=['heavy' 'heavier' 'hot' 'hotter'], predicted=dry
question=['heavy' 'heavier' 'large' 'larger'], predicted=smaller
question=['heavy' 'heavier' 'long' 'longer'], predicted=shorter
question=['heavy' 'heavier' 'loud' 'louder'], predicted=harmonics
question=['heavy' 'heavier' 'low' 'lower'], predicted=higher
question=['heavy' 'heavier' 'new' 'newer'], predicted=york
question=['heavy' 'heavier' 'old' 'older'], predicted=hundred
question=['heavy' 'heavier' 'quick' 'quicker'], predicted=faster
question=['heavy' 'heavier' 'sharp' 'sharper'], predicted=thinner
question=['heavy' 'heavier' 'slow' 'slower'], predicted=faster
question=['heavy' 'heavier' 'smart' 'smarter'], predicted=folders
question=['heavy' 'heavier' 'tight' 'tighter'], predicted=forelegs
question=['heavy' 'heavier' 'tough' 'tougher'], predicted=thinner
question=['heavy' 'heavier' 'weak' 'weaker'], predicted=stronger
question=['heavy' 'heavier' 'wide' 'wider'], predicted=range
question=['heavy' 'heavier' 'young' 'younger'], predicted=children
question=['heavy' 'heavier' 'bad' 'worse'], predicted=good
question=['heavy' 'heavier' 'big' 'bigger'], predicted=bang
question=['heavy' 'heavier' 'cold' 'colder'], predicted=warm
question=['heavy' 'heavier' 'cool' 'cooler'], predicted=dry
question=['heavy' 'heavier' 'deep' 'deeper'], predicted=thicker
question=['heavy' 'heavier' 'great' 'greater'], predicted=hung
question=['high' 'higher' 'hot' 'hotter'], predicted=faster
question=['high' 'higher' 'long' 'longer'], predicted=shorter
question=['high' 'higher' 'loud' 'louder'], predicted=harmonics
question=['high' 'higher' 'new' 'newer'], predicted=larger
question=['high' 'higher' 'quick' 'quicker'], predicted=faster
question=['high' 'higher' 'safe' 'safer'], predicted=faster
question=['high' 'higher' 'sharp' 'sharper'], predicted=stronger
question=['high' 'higher' 'slow' 'slower'], predicted=faster
question=['high' 'higher' 'small' 'smaller'], predicted=larger
question=['high' 'higher' 'smart' 'smarter'], predicted=faster
question=['high' 'higher' 'tight' 'tighter'], predicted=faster
question=['high' 'higher' 'tough' 'tougher'], predicted=stronger
question=['high' 'higher' 'weak' 'weaker'], predicted=stronger
question=['high' 'higher' 'young' 'younger'], predicted=fewer
question=['high' 'higher' 'bad' 'worse'], predicted=better
question=['high' 'higher' 'big' 'bigger'], predicted=smaller
question=['high' 'higher' 'cold' 'colder'], predicted=warm
question=['high' 'higher' 'cool' 'cooler'], predicted=warm
question=['high' 'higher' 'hard' 'harder'], predicted=faster
question=['hot' 'hotter' 'long' 'longer'], predicted=shorter
question=['hot' 'hotter' 'loud' 'louder'], predicted=squeaking
question=['hot' 'hotter' 'low' 'lower'], predicted=high
question=['hot' 'hotter' 'new' 'newer'], predicted=york
question=['hot' 'hotter' 'old' 'older'], predicted=alexandrian
question=['hot' 'hotter' 'quick' 'quicker'], predicted=extrajudicial
question=['hot' 'hotter' 'safe' 'safer'], predicted=illogical
question=['hot' 'hotter' 'sharp' 'sharper'], predicted=illogical
question=['hot' 'hotter' 'small' 'smaller'], predicted=larger
question=['hot' 'hotter' 'smart' 'smarter'], predicted=concessional
question=['hot' 'hotter' 'strong' 'stronger'], predicted=protestant
question=['hot' 'hotter' 'tight' 'tighter'], predicted=deflect
question=['hot' 'hotter' 'tough' 'tougher'], predicted=stronger
question=['hot' 'hotter' 'warm' 'warmer'], predicted=colder
question=['hot' 'hotter' 'bad' 'worse'], predicted=luck
question=['hot' 'hotter' 'cold' 'colder'], predicted=warm
question=['hot' 'hotter' 'cool' 'cooler'], predicted=colder
question=['hot' 'hotter' 'fast' 'faster'], predicted=slower
question=['hot' 'hotter' 'great' 'greater'], predicted=widukind
question=['hot' 'hotter' 'heavy' 'heavier'], predicted=lighter
question=['hot' 'hotter' 'high' 'higher'], predicted=low
question=['large' 'larger' 'loud' 'louder'], predicted=sounding
question=['large' 'larger' 'low' 'lower'], predicted=higher
question=['large' 'larger' 'new' 'newer'], predicted=york
question=['large' 'larger' 'quick' 'quicker'], predicted=cheaper
question=['large' 'larger' 'sharp' 'sharper'], predicted=stronger
question=['large' 'larger' 'smart' 'smarter'], predicted=cheaper
question=['large' 'larger' 'tight' 'tighter'], predicted=stronger
question=['large' 'larger' 'tough' 'tougher'], predicted=stronger
question=['large' 'larger' 'weak' 'weaker'], predicted=stronger
question=['large' 'larger' 'young' 'younger'], predicted=older
question=['large' 'larger' 'cold' 'colder'], predicted=warmer
question=['large' 'larger' 'cool' 'cooler'], predicted=colder
question=['large' 'larger' 'heavy' 'heavier'], predicted=metal
question=['long' 'longer' 'loud' 'louder'], predicted=quieter
question=['long' 'longer' 'low' 'lower'], predicted=higher
question=['long' 'longer' 'new' 'newer'], predicted=york
question=['long' 'longer' 'quick' 'quicker'], predicted=stronger
question=['long' 'longer' 'sharp' 'sharper'], predicted=stronger
question=['long' 'longer' 'short' 'shorter'], predicted=less
question=['long' 'longer' 'small' 'smaller'], predicted=larger
question=['long' 'longer' 'tough' 'tougher'], predicted=stronger
question=['long' 'longer' 'warm' 'warmer'], predicted=cooler
question=['long' 'longer' 'weak' 'weaker'], predicted=stronger
question=['long' 'longer' 'wide' 'wider'], predicted=larger
question=['long' 'longer' 'bad' 'worse'], predicted=better
question=['long' 'longer' 'cold' 'colder'], predicted=warm
question=['long' 'longer' 'great' 'greater'], predicted=no
question=['long' 'longer' 'hot' 'hotter'], predicted=cooler
question=['loud' 'louder' 'new' 'newer'], predicted=in
question=['loud' 'louder' 'quick' 'quicker'], predicted=efficient
question=['loud' 'louder' 'safe' 'safer'], predicted=efficient
question=['loud' 'louder' 'sharp' 'sharper'], predicted=softer
question=['loud' 'louder' 'simple' 'simpler'], predicted=efficient
question=['loud' 'louder' 'slow' 'slower'], predicted=faster
question=['loud' 'louder' 'small' 'smaller'], predicted=larger
question=['loud' 'louder' 'smart' 'smarter'], predicted=superintendent
question=['loud' 'louder' 'tight' 'tighter'], predicted=defensive
question=['loud' 'louder' 'tough' 'tougher'], predicted=corcoran
question=['loud' 'louder' 'wide' 'wider'], predicted=covers
question=['loud' 'louder' 'bad' 'worse'], predicted=good
question=['loud' 'louder' 'big' 'bigger'], predicted=boogie
question=['loud' 'louder' 'cheap' 'cheaper'], predicted=efficient
question=['loud' 'louder' 'cold' 'colder'], predicted=warmer
question=['loud' 'louder' 'good' 'better'], predicted=bad
question=['loud' 'louder' 'great' 'greater'], predicted=much
question=['loud' 'louder' 'heavy' 'heavier'], predicted=metal
question=['loud' 'louder' 'high' 'higher'], predicted=low
question=['loud' 'louder' 'hot' 'hotter'], predicted=warmer
question=['loud' 'louder' 'long' 'longer'], predicted=short
question=['low' 'lower' 'new' 'newer'], predicted=upper
question=['low' 'lower' 'old' 'older'], predicted=upper
question=['low' 'lower' 'quick' 'quicker'], predicted=upper
question=['low' 'lower' 'safe' 'safer'], predicted=upper
question=['low' 'lower' 'sharp' 'sharper'], predicted=minuscule
question=['low' 'lower' 'slow' 'slower'], predicted=faster
question=['low' 'lower' 'small' 'smaller'], predicted=upper
question=['low' 'lower' 'smart' 'smarter'], predicted=tha
question=['low' 'lower' 'strong' 'stronger'], predicted=upper
question=['low' 'lower' 'tall' 'taller'], predicted=upper
question=['low' 'lower' 'tight' 'tighter'], predicted=defensive
question=['low' 'lower' 'tough' 'tougher'], predicted=thinner
question=['low' 'lower' 'weak' 'weaker'], predicted=upper
question=['low' 'lower' 'wide' 'wider'], predicted=upper
question=['low' 'lower' 'young' 'younger'], predicted=upper
question=['low' 'lower' 'big' 'bigger'], predicted=upper
question=['low' 'lower' 'cold' 'colder'], predicted=upper
question=['low' 'lower' 'cool' 'cooler'], predicted=upper
question=['low' 'lower' 'deep' 'deeper'], predicted=upper
question=['low' 'lower' 'good' 'better'], predicted=bad
question=['low' 'lower' 'great' 'greater'], predicted=upper
question=['low' 'lower' 'hard' 'harder'], predicted=disk
question=['low' 'lower' 'heavy' 'heavier'], predicted=metal
question=['low' 'lower' 'hot' 'hotter'], predicted=upper
question=['low' 'lower' 'long' 'longer'], predicted=upper
question=['low' 'lower' 'loud' 'louder'], predicted=upper
question=['new' 'newer' 'quick' 'quicker'], predicted=efficient
question=['new' 'newer' 'safe' 'safer'], predicted=efficient
question=['new' 'newer' 'sharp' 'sharper'], predicted=teeth
question=['new' 'newer' 'short' 'shorter'], predicted=typically
question=['new' 'newer' 'simple' 'simpler'], predicted=efficient
question=['new' 'newer' 'slow' 'slower'], predicted=efficient
question=['new' 'newer' 'smart' 'smarter'], predicted=efficient
question=['new' 'newer' 'strong' 'stronger'], predicted=weak
question=['new' 'newer' 'tall' 'taller'], predicted=ft
question=['new' 'newer' 'tight' 'tighter'], predicted=linemen
question=['new' 'newer' 'tough' 'tougher'], predicted=flexible
question=['new' 'newer' 'warm' 'warmer'], predicted=dry
question=['new' 'newer' 'weak' 'weaker'], predicted=overly
question=['new' 'newer' 'wide' 'wider'], predicted=broad
question=['new' 'newer' 'young' 'younger'], predicted=older
question=['new' 'newer' 'bad' 'worse'], predicted=good
question=['new' 'newer' 'bright' 'brighter'], predicted=colors
question=['new' 'newer' 'cold' 'colder'], predicted=warm
question=['new' 'newer' 'cool' 'cooler'], predicted=summers
question=['new' 'newer' 'deep' 'deeper'], predicted=inelastic
question=['new' 'newer' 'easy' 'easier'], predicted=efficient
question=['new' 'newer' 'fast' 'faster'], predicted=slow
question=['new' 'newer' 'good' 'better'], predicted=bad
question=['new' 'newer' 'great' 'greater'], predicted=feldberg
question=['new' 'newer' 'hard' 'harder'], predicted=disks
question=['new' 'newer' 'heavy' 'heavier'], predicted=metal
question=['new' 'newer' 'high' 'higher'], predicted=low
question=['new' 'newer' 'hot' 'hotter'], predicted=cold
question=['new' 'newer' 'large' 'larger'], predicted=smaller
question=['new' 'newer' 'long' 'longer'], predicted=typically
question=['new' 'newer' 'loud' 'louder'], predicted=overly
question=['new' 'newer' 'low' 'lower'], predicted=efficient
question=['old' 'older' 'quick' 'quicker'], predicted=macs
question=['old' 'older' 'safe' 'safer'], predicted=comfortable
question=['old' 'older' 'sharp' 'sharper'], predicted=inline
question=['old' 'older' 'short' 'shorter'], predicted=less
question=['old' 'older' 'small' 'smaller'], predicted=larger
question=['old' 'older' 'smart' 'smarter'], predicted=newer
question=['old' 'older' 'strong' 'stronger'], predicted=weak
question=['old' 'older' 'tight' 'tighter'], predicted=linebackers
question=['old' 'older' 'tough' 'tougher'], predicted=stiff
question=['old' 'older' 'warm' 'warmer'], predicted=colder
question=['old' 'older' 'weak' 'weaker'], predicted=strong
question=['old' 'older' 'big' 'bigger'], predicted=bang
question=['old' 'older' 'cold' 'colder'], predicted=warm
question=['old' 'older' 'cool' 'cooler'], predicted=summers
question=['old' 'older' 'easy' 'easier'], predicted=difficult
question=['old' 'older' 'fast' 'faster'], predicted=slower
question=['old' 'older' 'great' 'greater'], predicted=considerable
question=['old' 'older' 'hard' 'harder'], predicted=disks
question=['old' 'older' 'heavy' 'heavier'], predicted=metal
question=['old' 'older' 'high' 'higher'], predicted=low
question=['old' 'older' 'hot' 'hotter'], predicted=cool
question=['old' 'older' 'long' 'longer'], predicted=short
question=['old' 'older' 'loud' 'louder'], predicted=noise
question=['old' 'older' 'low' 'lower'], predicted=higher
question=['quick' 'quicker' 'safe' 'safer'], predicted=unsafe
question=['quick' 'quicker' 'sharp' 'sharper'], predicted=sharply
question=['quick' 'quicker' 'small' 'smaller'], predicted=larger
question=['quick' 'quicker' 'smart' 'smarter'], predicted=repairing
question=['quick' 'quicker' 'strong' 'stronger'], predicted=heavy
question=['quick' 'quicker' 'tall' 'taller'], predicted=ft
question=['quick' 'quicker' 'tight' 'tighter'], predicted=lining
question=['quick' 'quicker' 'tough' 'tougher'], predicted=lighter
question=['quick' 'quicker' 'weak' 'weaker'], predicted=harder
question=['quick' 'quicker' 'young' 'younger'], predicted=adults
question=['quick' 'quicker' 'big' 'bigger'], predicted=bessie
question=['quick' 'quicker' 'cold' 'colder'], predicted=warm
question=['quick' 'quicker' 'cool' 'cooler'], predicted=warm
question=['quick' 'quicker' 'great' 'greater'], predicted=much
question=['quick' 'quicker' 'heavy' 'heavier'], predicted=metal
question=['quick' 'quicker' 'long' 'longer'], predicted=much
question=['quick' 'quicker' 'loud' 'louder'], predicted=chanter
question=['quick' 'quicker' 'low' 'lower'], predicted=higher
question=['quick' 'quicker' 'new' 'newer'], predicted=more
question=['quick' 'quicker' 'old' 'older'], predicted=georgian
question=['safe' 'safer' 'sharp' 'sharper'], predicted=murphey
question=['safe' 'safer' 'small' 'smaller'], predicted=larger
question=['safe' 'safer' 'smart' 'smarter'], predicted=analogues
question=['safe' 'safer' 'strong' 'stronger'], predicted=nederland
question=['safe' 'safer' 'tall' 'taller'], predicted=feet
question=['safe' 'safer' 'tight' 'tighter'], predicted=overbending
question=['safe' 'safer' 'tough' 'tougher'], predicted=nbc
question=['safe' 'safer' 'warm' 'warmer'], predicted=colder
question=['safe' 'safer' 'weak' 'weaker'], predicted=interaction
question=['safe' 'safer' 'wide' 'wider'], predicted=broad
question=['safe' 'safer' 'young' 'younger'], predicted=brigham
question=['safe' 'safer' 'bad' 'worse'], predicted=good
question=['safe' 'safer' 'big' 'bigger'], predicted=eq
question=['safe' 'safer' 'cold' 'colder'], predicted=reagan
question=['safe' 'safer' 'cool' 'cooler'], predicted=summers
question=['safe' 'safer' 'deep' 'deeper'], predicted=puri
