question=['boy' 'girl' 'brothers' 'sisters'], predicted=sisters
question=['grandfather' 'grandmother' 'prince' 'princess'], predicted=princess
question=['grandfather' 'grandmother' 'son' 'daughter'], predicted=daughter
question=['grandfather' 'grandmother' 'sons' 'daughters'], predicted=daughters
question=['grandfather' 'grandmother' 'boy' 'girl'], predicted=girl
question=['grandfather' 'grandmother' 'brother' 'sister'], predicted=sister
question=['grandfather' 'grandmother' 'brothers' 'sisters'], predicted=sisters
question=['grandfather' 'grandmother' 'dad' 'mom'], predicted=mom
question=['grandfather' 'grandmother' 'father' 'mother'], predicted=mother
question=['grandpa' 'grandma' 'husband' 'wife'], predicted=wife
question=['grandpa' 'grandma' 'grandfather' 'grandmother'], predicted=grandmother
question=['grandson' 'granddaughter' 'he' 'she'], predicted=she
question=['grandson' 'granddaughter' 'his' 'her'], predicted=her
question=['grandson' 'granddaughter' 'king' 'queen'], predicted=queen
question=['grandson' 'granddaughter' 'man' 'woman'], predicted=woman
question=['grandson' 'granddaughter' 'prince' 'princess'], predicted=princess
question=['grandson' 'granddaughter' 'son' 'daughter'], predicted=daughter
question=['grandson' 'granddaughter' 'sons' 'daughters'], predicted=daughters
question=['grandson' 'granddaughter' 'uncle' 'aunt'], predicted=aunt
question=['grandson' 'granddaughter' 'boy' 'girl'], predicted=girl
question=['grandson' 'granddaughter' 'brother' 'sister'], predicted=sister
question=['grandson' 'granddaughter' 'brothers' 'sisters'], predicted=sisters
question=['grandson' 'granddaughter' 'father' 'mother'], predicted=mother
question=['groom' 'bride' 'he' 'she'], predicted=she
question=['groom' 'bride' 'his' 'her'], predicted=her
question=['groom' 'bride' 'husband' 'wife'], predicted=wife
question=['groom' 'bride' 'man' 'woman'], predicted=woman
question=['groom' 'bride' 'prince' 'princess'], predicted=princess
question=['groom' 'bride' 'boy' 'girl'], predicted=girl
question=['groom' 'bride' 'father' 'mother'], predicted=mother
question=['he' 'she' 'his' 'her'], predicted=her
question=['he' 'she' 'king' 'queen'], predicted=queen
question=['he' 'she' 'man' 'woman'], predicted=woman
question=['he' 'she' 'prince' 'princess'], predicted=princess
question=['he' 'she' 'son' 'daughter'], predicted=daughter
question=['he' 'she' 'sons' 'daughters'], predicted=daughters
question=['he' 'she' 'boy' 'girl'], predicted=girl
question=['he' 'she' 'brother' 'sister'], predicted=sister
question=['he' 'she' 'brothers' 'sisters'], predicted=sisters
question=['he' 'she' 'father' 'mother'], predicted=mother
question=['he' 'she' 'grandfather' 'grandmother'], predicted=grandmother
question=['his' 'her' 'king' 'queen'], predicted=queen
question=['his' 'her' 'man' 'woman'], predicted=woman
question=['his' 'her' 'prince' 'princess'], predicted=princess
question=['his' 'her' 'son' 'daughter'], predicted=daughter
question=['his' 'her' 'sons' 'daughters'], predicted=daughters
question=['his' 'her' 'uncle' 'aunt'], predicted=aunt
question=['his' 'her' 'boy' 'girl'], predicted=girl
question=['his' 'her' 'brothers' 'sisters'], predicted=sisters
question=['his' 'her' 'dad' 'mom'], predicted=mom
question=['his' 'her' 'father' 'mother'], predicted=mother
question=['his' 'her' 'groom' 'bride'], predicted=bride
question=['his' 'her' 'he' 'she'], predicted=she
question=['husband' 'wife' 'son' 'daughter'], predicted=daughter
question=['husband' 'wife' 'boy' 'girl'], predicted=girl
question=['king' 'queen' 'man' 'woman'], predicted=woman
question=['king' 'queen' 'prince' 'princess'], predicted=princess
question=['king' 'queen' 'son' 'daughter'], predicted=daughter
question=['king' 'queen' 'sons' 'daughters'], predicted=daughters
question=['king' 'queen' 'uncle' 'aunt'], predicted=aunt
question=['king' 'queen' 'boy' 'girl'], predicted=girl
question=['king' 'queen' 'brother' 'sister'], predicted=sister
question=['king' 'queen' 'brothers' 'sisters'], predicted=sisters
question=['king' 'queen' 'father' 'mother'], predicted=mother
question=['king' 'queen' 'grandfather' 'grandmother'], predicted=grandmother
question=['king' 'queen' 'he' 'she'], predicted=she
question=['king' 'queen' 'his' 'her'], predicted=her
question=['man' 'woman' 'prince' 'princess'], predicted=princess
question=['man' 'woman' 'son' 'daughter'], predicted=daughter
question=['man' 'woman' 'sons' 'daughters'], predicted=daughters
question=['man' 'woman' 'boy' 'girl'], predicted=girl
question=['man' 'woman' 'brother' 'sister'], predicted=sister
question=['man' 'woman' 'brothers' 'sisters'], predicted=sisters
question=['man' 'woman' 'father' 'mother'], predicted=mother
question=['man' 'woman' 'grandfather' 'grandmother'], predicted=grandmother
question=['man' 'woman' 'he' 'she'], predicted=she
question=['man' 'woman' 'his' 'her'], predicted=her
question=['man' 'woman' 'husband' 'wife'], predicted=wife
question=['man' 'woman' 'king' 'queen'], predicted=queen
question=['nephew' 'niece' 'son' 'daughter'], predicted=daughter
question=['nephew' 'niece' 'sons' 'daughters'], predicted=daughters
question=['nephew' 'niece' 'boy' 'girl'], predicted=girl
question=['nephew' 'niece' 'brother' 'sister'], predicted=sister
question=['nephew' 'niece' 'brothers' 'sisters'], predicted=sisters
question=['nephew' 'niece' 'dad' 'mom'], predicted=mom
question=['nephew' 'niece' 'father' 'mother'], predicted=mother
question=['nephew' 'niece' 'grandfather' 'grandmother'], predicted=grandmother
question=['nephew' 'niece' 'he' 'she'], predicted=she
question=['nephew' 'niece' 'his' 'her'], predicted=her
question=['nephew' 'niece' 'husband' 'wife'], predicted=wife
question=['nephew' 'niece' 'king' 'queen'], predicted=queen
question=['nephew' 'niece' 'man' 'woman'], predicted=woman
question=['prince' 'princess' 'son' 'daughter'], predicted=daughter
question=['prince' 'princess' 'sons' 'daughters'], predicted=daughters
question=['prince' 'princess' 'boy' 'girl'], predicted=girl
question=['prince' 'princess' 'brothers' 'sisters'], predicted=sisters
question=['prince' 'princess' 'father' 'mother'], predicted=mother
question=['prince' 'princess' 'groom' 'bride'], predicted=bride
question=['prince' 'princess' 'he' 'she'], predicted=she
question=['prince' 'princess' 'his' 'her'], predicted=her
question=['prince' 'princess' 'husband' 'wife'], predicted=wife
question=['prince' 'princess' 'king' 'queen'], predicted=queen
question=['prince' 'princess' 'man' 'woman'], predicted=woman
question=['son' 'daughter' 'sons' 'daughters'], predicted=daughters
question=['son' 'daughter' 'uncle' 'aunt'], predicted=aunt
question=['son' 'daughter' 'boy' 'girl'], predicted=girl
question=['son' 'daughter' 'brother' 'sister'], predicted=sister
question=['son' 'daughter' 'brothers' 'sisters'], predicted=sisters
question=['son' 'daughter' 'father' 'mother'], predicted=mother
question=['son' 'daughter' 'he' 'she'], predicted=she
question=['son' 'daughter' 'his' 'her'], predicted=her
question=['son' 'daughter' 'husband' 'wife'], predicted=wife
question=['son' 'daughter' 'king' 'queen'], predicted=queen
question=['son' 'daughter' 'man' 'woman'], predicted=woman
question=['son' 'daughter' 'prince' 'princess'], predicted=princess
question=['sons' 'daughters' 'uncle' 'aunt'], predicted=aunt
question=['sons' 'daughters' 'boy' 'girl'], predicted=girl
question=['sons' 'daughters' 'brother' 'sister'], predicted=sister
question=['sons' 'daughters' 'brothers' 'sisters'], predicted=sisters
question=['sons' 'daughters' 'dad' 'mom'], predicted=mom
question=['sons' 'daughters' 'father' 'mother'], predicted=mother
question=['sons' 'daughters' 'grandfather' 'grandmother'], predicted=grandmother
question=['sons' 'daughters' 'he' 'she'], predicted=she
question=['sons' 'daughters' 'his' 'her'], predicted=her
question=['sons' 'daughters' 'husband' 'wife'], predicted=wife
question=['sons' 'daughters' 'king' 'queen'], predicted=queen
question=['sons' 'daughters' 'man' 'woman'], predicted=woman
question=['sons' 'daughters' 'prince' 'princess'], predicted=princess
question=['sons' 'daughters' 'son' 'daughter'], predicted=daughter
question=['stepfather' 'stepmother' 'boy' 'girl'], predicted=girl
question=['stepfather' 'stepmother' 'brothers' 'sisters'], predicted=sisters
question=['stepfather' 'stepmother' 'dad' 'mom'], predicted=mom
question=['stepfather' 'stepmother' 'father' 'mother'], predicted=mother
question=['stepfather' 'stepmother' 'he' 'she'], predicted=she
question=['stepfather' 'stepmother' 'husband' 'wife'], predicted=wife
question=['stepson' 'stepdaughter' 'boy' 'girl'], predicted=girl
question=['stepson' 'stepdaughter' 'brothers' 'sisters'], predicted=sisters
question=['stepson' 'stepdaughter' 'husband' 'wife'], predicted=wife
question=['stepson' 'stepdaughter' 'man' 'woman'], predicted=woman
question=['stepson' 'stepdaughter' 'sons' 'daughters'], predicted=daughters
question=['uncle' 'aunt' 'boy' 'girl'], predicted=girl
question=['uncle' 'aunt' 'brother' 'sister'], predicted=sister
question=['uncle' 'aunt' 'brothers' 'sisters'], predicted=sisters
question=['uncle' 'aunt' 'father' 'mother'], predicted=mother
question=['uncle' 'aunt' 'he' 'she'], predicted=she
question=['uncle' 'aunt' 'king' 'queen'], predicted=queen
question=['uncle' 'aunt' 'man' 'woman'], predicted=woman
question=['uncle' 'aunt' 'prince' 'princess'], predicted=princess
question=['uncle' 'aunt' 'son' 'daughter'], predicted=daughter
question=['uncle' 'aunt' 'sons' 'daughters'], predicted=daughters
