question=['chicago' 'illinois' 'philadelphia' 'pennsylvania'], predicted=pennsylvania
question=['philadelphia' 'pennsylvania' 'minneapolis' 'minnesota'], predicted=minnesota
question=['philadelphia' 'pennsylvania' 'wichita' 'kansas'], predicted=kansas
question=['philadelphia' 'pennsylvania' 'honolulu' 'hawaii'], predicted=hawaii
question=['philadelphia' 'pennsylvania' 'cincinnati' 'ohio'], predicted=ohio
question=['philadelphia' 'pennsylvania' 'anchorage' 'alaska'], predicted=alaska
question=['phoenix' 'arizona' 'dallas' 'texas'], predicted=texas
question=['phoenix' 'arizona' 'jacksonville' 'florida'], predicted=florida
question=['phoenix' 'arizona' 'austin' 'texas'], predicted=texas
question=['phoenix' 'arizona' 'detroit' 'michigan'], predicted=michigan
question=['phoenix' 'arizona' 'boston' 'massachusetts'], predicted=massachusetts
question=['phoenix' 'arizona' 'denver' 'colorado'], predicted=colorado
question=['phoenix' 'arizona' 'baltimore' 'maryland'], predicted=maryland
question=['phoenix' 'arizona' 'nashville' 'tennessee'], predicted=tennessee
question=['phoenix' 'arizona' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['phoenix' 'arizona' 'portland' 'oregon'], predicted=oregon
question=['phoenix' 'arizona' 'fresno' 'california'], predicted=california
question=['phoenix' 'arizona' 'sacramento' 'california'], predicted=california
question=['phoenix' 'arizona' 'omaha' 'nebraska'], predicted=nebraska
question=['phoenix' 'arizona' 'miami' 'florida'], predicted=florida
question=['phoenix' 'arizona' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['phoenix' 'arizona' 'oakland' 'california'], predicted=california
question=['phoenix' 'arizona' 'minneapolis' 'minnesota'], predicted=minnesota
question=['phoenix' 'arizona' 'wichita' 'kansas'], predicted=kansas
question=['phoenix' 'arizona' 'arlington' 'texas'], predicted=texas
question=['phoenix' 'arizona' 'bakersfield' 'california'], predicted=california
question=['phoenix' 'arizona' 'tampa' 'florida'], predicted=florida
question=['phoenix' 'arizona' 'anaheim' 'california'], predicted=california
question=['phoenix' 'arizona' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['phoenix' 'arizona' 'stockton' 'california'], predicted=california
question=['phoenix' 'arizona' 'anchorage' 'alaska'], predicted=alaska
question=['dallas' 'texas' 'detroit' 'michigan'], predicted=michigan
question=['dallas' 'texas' 'memphis' 'tennessee'], predicted=tennessee
question=['dallas' 'texas' 'boston' 'massachusetts'], predicted=massachusetts
question=['dallas' 'texas' 'seattle' 'washington'], predicted=washington
question=['dallas' 'texas' 'denver' 'colorado'], predicted=colorado
question=['dallas' 'texas' 'baltimore' 'maryland'], predicted=maryland
question=['dallas' 'texas' 'nashville' 'tennessee'], predicted=tennessee
question=['dallas' 'texas' 'louisville' 'kentucky'], predicted=kentucky
question=['dallas' 'texas' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['dallas' 'texas' 'portland' 'oregon'], predicted=oregon
question=['dallas' 'texas' 'tucson' 'arizona'], predicted=arizona
question=['dallas' 'texas' 'fresno' 'california'], predicted=california
question=['dallas' 'texas' 'sacramento' 'california'], predicted=california
question=['dallas' 'texas' 'atlanta' 'georgia'], predicted=georgia
question=['dallas' 'texas' 'omaha' 'nebraska'], predicted=nebraska
question=['dallas' 'texas' 'miami' 'florida'], predicted=florida
question=['dallas' 'texas' 'oakland' 'california'], predicted=california
question=['dallas' 'texas' 'cleveland' 'ohio'], predicted=ohio
question=['dallas' 'texas' 'minneapolis' 'minnesota'], predicted=minnesota
question=['dallas' 'texas' 'tampa' 'florida'], predicted=florida
question=['dallas' 'texas' 'anaheim' 'california'], predicted=california
question=['dallas' 'texas' 'honolulu' 'hawaii'], predicted=hawaii
question=['dallas' 'texas' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['dallas' 'texas' 'cincinnati' 'ohio'], predicted=ohio
question=['dallas' 'texas' 'anchorage' 'alaska'], predicted=alaska
question=['dallas' 'texas' 'orlando' 'florida'], predicted=florida
question=['jacksonville' 'florida' 'indianapolis' 'indiana'], predicted=indiana
question=['jacksonville' 'florida' 'detroit' 'michigan'], predicted=michigan
question=['jacksonville' 'florida' 'memphis' 'tennessee'], predicted=tennessee
question=['jacksonville' 'florida' 'boston' 'massachusetts'], predicted=massachusetts
question=['jacksonville' 'florida' 'seattle' 'washington'], predicted=washington
question=['jacksonville' 'florida' 'denver' 'colorado'], predicted=colorado
question=['jacksonville' 'florida' 'baltimore' 'maryland'], predicted=maryland
question=['jacksonville' 'florida' 'nashville' 'tennessee'], predicted=tennessee
question=['jacksonville' 'florida' 'louisville' 'kentucky'], predicted=kentucky
question=['jacksonville' 'florida' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['jacksonville' 'florida' 'portland' 'oregon'], predicted=oregon
question=['jacksonville' 'florida' 'tucson' 'arizona'], predicted=arizona
question=['jacksonville' 'florida' 'fresno' 'california'], predicted=california
question=['jacksonville' 'florida' 'atlanta' 'georgia'], predicted=georgia
question=['jacksonville' 'florida' 'omaha' 'nebraska'], predicted=nebraska
question=['jacksonville' 'florida' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['jacksonville' 'florida' 'cleveland' 'ohio'], predicted=ohio
question=['jacksonville' 'florida' 'minneapolis' 'minnesota'], predicted=minnesota
question=['jacksonville' 'florida' 'bakersfield' 'california'], predicted=california
question=['jacksonville' 'florida' 'anaheim' 'california'], predicted=california
question=['jacksonville' 'florida' 'honolulu' 'hawaii'], predicted=hawaii
question=['jacksonville' 'florida' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['jacksonville' 'florida' 'stockton' 'california'], predicted=california
question=['jacksonville' 'florida' 'cincinnati' 'ohio'], predicted=ohio
question=['jacksonville' 'florida' 'anchorage' 'alaska'], predicted=alaska
question=['indianapolis' 'indiana' 'detroit' 'michigan'], predicted=michigan
question=['indianapolis' 'indiana' 'boston' 'massachusetts'], predicted=massachusetts
question=['indianapolis' 'indiana' 'denver' 'colorado'], predicted=colorado
question=['indianapolis' 'indiana' 'baltimore' 'maryland'], predicted=maryland
question=['indianapolis' 'indiana' 'nashville' 'tennessee'], predicted=tennessee
question=['indianapolis' 'indiana' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['indianapolis' 'indiana' 'portland' 'oregon'], predicted=oregon
question=['indianapolis' 'indiana' 'miami' 'florida'], predicted=florida
question=['indianapolis' 'indiana' 'oakland' 'california'], predicted=california
question=['indianapolis' 'indiana' 'cleveland' 'ohio'], predicted=ohio
question=['indianapolis' 'indiana' 'honolulu' 'hawaii'], predicted=hawaii
question=['indianapolis' 'indiana' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['indianapolis' 'indiana' 'cincinnati' 'ohio'], predicted=ohio
question=['indianapolis' 'indiana' 'orlando' 'florida'], predicted=florida
question=['austin' 'texas' 'memphis' 'tennessee'], predicted=tennessee
question=['austin' 'texas' 'boston' 'massachusetts'], predicted=massachusetts
question=['austin' 'texas' 'seattle' 'washington'], predicted=washington
question=['austin' 'texas' 'denver' 'colorado'], predicted=colorado
question=['austin' 'texas' 'nashville' 'tennessee'], predicted=tennessee
question=['austin' 'texas' 'louisville' 'kentucky'], predicted=kentucky
question=['austin' 'texas' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['austin' 'texas' 'tucson' 'arizona'], predicted=arizona
question=['austin' 'texas' 'fresno' 'california'], predicted=california
question=['austin' 'texas' 'sacramento' 'california'], predicted=california
question=['austin' 'texas' 'atlanta' 'georgia'], predicted=georgia
question=['austin' 'texas' 'miami' 'florida'], predicted=florida
question=['austin' 'texas' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['austin' 'texas' 'oakland' 'california'], predicted=california
question=['austin' 'texas' 'minneapolis' 'minnesota'], predicted=minnesota
question=['austin' 'texas' 'tampa' 'florida'], predicted=florida
question=['austin' 'texas' 'anaheim' 'california'], predicted=california
question=['austin' 'texas' 'honolulu' 'hawaii'], predicted=hawaii
question=['austin' 'texas' 'anchorage' 'alaska'], predicted=alaska
question=['austin' 'texas' 'madison' 'wisconsin'], predicted=wisconsin
question=['detroit' 'michigan' 'memphis' 'tennessee'], predicted=tennessee
question=['detroit' 'michigan' 'boston' 'massachusetts'], predicted=massachusetts
question=['detroit' 'michigan' 'seattle' 'washington'], predicted=washington
question=['detroit' 'michigan' 'baltimore' 'maryland'], predicted=maryland
question=['detroit' 'michigan' 'nashville' 'tennessee'], predicted=tennessee
question=['detroit' 'michigan' 'louisville' 'kentucky'], predicted=kentucky
question=['detroit' 'michigan' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['detroit' 'michigan' 'portland' 'oregon'], predicted=oregon
question=['detroit' 'michigan' 'tucson' 'arizona'], predicted=arizona
question=['detroit' 'michigan' 'fresno' 'california'], predicted=california
question=['detroit' 'michigan' 'sacramento' 'california'], predicted=california
question=['detroit' 'michigan' 'omaha' 'nebraska'], predicted=nebraska
question=['detroit' 'michigan' 'miami' 'florida'], predicted=florida
question=['detroit' 'michigan' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['detroit' 'michigan' 'oakland' 'california'], predicted=california
question=['detroit' 'michigan' 'cleveland' 'ohio'], predicted=ohio
question=['detroit' 'michigan' 'minneapolis' 'minnesota'], predicted=minnesota
question=['detroit' 'michigan' 'bakersfield' 'california'], predicted=california
question=['detroit' 'michigan' 'tampa' 'florida'], predicted=florida
question=['detroit' 'michigan' 'anaheim' 'california'], predicted=california
question=['detroit' 'michigan' 'honolulu' 'hawaii'], predicted=hawaii
question=['detroit' 'michigan' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['detroit' 'michigan' 'cincinnati' 'ohio'], predicted=ohio
question=['detroit' 'michigan' 'anchorage' 'alaska'], predicted=alaska
question=['detroit' 'michigan' 'toledo' 'ohio'], predicted=ohio
question=['detroit' 'michigan' 'orlando' 'florida'], predicted=florida
question=['detroit' 'michigan' 'madison' 'wisconsin'], predicted=wisconsin
question=['memphis' 'tennessee' 'boston' 'massachusetts'], predicted=massachusetts
question=['memphis' 'tennessee' 'seattle' 'washington'], predicted=washington
question=['memphis' 'tennessee' 'denver' 'colorado'], predicted=colorado
question=['memphis' 'tennessee' 'baltimore' 'maryland'], predicted=maryland
question=['memphis' 'tennessee' 'louisville' 'kentucky'], predicted=kentucky
question=['memphis' 'tennessee' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['memphis' 'tennessee' 'portland' 'oregon'], predicted=oregon
question=['memphis' 'tennessee' 'atlanta' 'georgia'], predicted=georgia
question=['memphis' 'tennessee' 'omaha' 'nebraska'], predicted=nebraska
question=['memphis' 'tennessee' 'miami' 'florida'], predicted=florida
question=['memphis' 'tennessee' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['memphis' 'tennessee' 'cleveland' 'ohio'], predicted=ohio
question=['memphis' 'tennessee' 'minneapolis' 'minnesota'], predicted=minnesota
question=['memphis' 'tennessee' 'wichita' 'kansas'], predicted=kansas
question=['memphis' 'tennessee' 'tampa' 'florida'], predicted=florida
question=['memphis' 'tennessee' 'honolulu' 'hawaii'], predicted=hawaii
question=['memphis' 'tennessee' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['memphis' 'tennessee' 'lexington' 'kentucky'], predicted=kentucky
question=['memphis' 'tennessee' 'cincinnati' 'ohio'], predicted=ohio
question=['memphis' 'tennessee' 'anchorage' 'alaska'], predicted=alaska
question=['memphis' 'tennessee' 'toledo' 'ohio'], predicted=ohio
question=['memphis' 'tennessee' 'orlando' 'florida'], predicted=florida
question=['memphis' 'tennessee' 'madison' 'wisconsin'], predicted=wisconsin
question=['memphis' 'tennessee' 'lubbock' 'texas'], predicted=texas
question=['boston' 'massachusetts' 'seattle' 'washington'], predicted=washington
question=['boston' 'massachusetts' 'denver' 'colorado'], predicted=colorado
question=['boston' 'massachusetts' 'baltimore' 'maryland'], predicted=maryland
question=['boston' 'massachusetts' 'nashville' 'tennessee'], predicted=tennessee
question=['boston' 'massachusetts' 'louisville' 'kentucky'], predicted=kentucky
question=['boston' 'massachusetts' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['boston' 'massachusetts' 'portland' 'oregon'], predicted=oregon
question=['boston' 'massachusetts' 'tucson' 'arizona'], predicted=arizona
question=['boston' 'massachusetts' 'sacramento' 'california'], predicted=california
question=['boston' 'massachusetts' 'atlanta' 'georgia'], predicted=georgia
question=['boston' 'massachusetts' 'omaha' 'nebraska'], predicted=nebraska
question=['boston' 'massachusetts' 'miami' 'florida'], predicted=florida
question=['boston' 'massachusetts' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['boston' 'massachusetts' 'oakland' 'california'], predicted=california
question=['boston' 'massachusetts' 'cleveland' 'ohio'], predicted=ohio
question=['boston' 'massachusetts' 'minneapolis' 'minnesota'], predicted=minnesota
question=['boston' 'massachusetts' 'anaheim' 'california'], predicted=california
question=['boston' 'massachusetts' 'honolulu' 'hawaii'], predicted=hawaii
question=['boston' 'massachusetts' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['boston' 'massachusetts' 'cincinnati' 'ohio'], predicted=ohio
question=['boston' 'massachusetts' 'anchorage' 'alaska'], predicted=alaska
question=['boston' 'massachusetts' 'madison' 'wisconsin'], predicted=wisconsin
question=['seattle' 'washington' 'denver' 'colorado'], predicted=colorado
question=['seattle' 'washington' 'baltimore' 'maryland'], predicted=maryland
question=['seattle' 'washington' 'nashville' 'tennessee'], predicted=tennessee
question=['seattle' 'washington' 'louisville' 'kentucky'], predicted=kentucky
question=['seattle' 'washington' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['seattle' 'washington' 'portland' 'oregon'], predicted=oregon
question=['seattle' 'washington' 'fresno' 'california'], predicted=california
question=['seattle' 'washington' 'atlanta' 'georgia'], predicted=georgia
question=['seattle' 'washington' 'omaha' 'nebraska'], predicted=nebraska
question=['seattle' 'washington' 'miami' 'florida'], predicted=florida
question=['seattle' 'washington' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['seattle' 'washington' 'honolulu' 'hawaii'], predicted=hawaii
question=['seattle' 'washington' 'cincinnati' 'ohio'], predicted=ohio
question=['seattle' 'washington' 'anchorage' 'alaska'], predicted=alaska
question=['denver' 'colorado' 'baltimore' 'maryland'], predicted=maryland
question=['denver' 'colorado' 'nashville' 'tennessee'], predicted=tennessee
question=['denver' 'colorado' 'louisville' 'kentucky'], predicted=kentucky
question=['denver' 'colorado' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['denver' 'colorado' 'portland' 'oregon'], predicted=oregon
question=['denver' 'colorado' 'tucson' 'arizona'], predicted=arizona
question=['denver' 'colorado' 'fresno' 'california'], predicted=california
question=['denver' 'colorado' 'sacramento' 'california'], predicted=california
question=['denver' 'colorado' 'atlanta' 'georgia'], predicted=georgia
question=['denver' 'colorado' 'omaha' 'nebraska'], predicted=nebraska
question=['denver' 'colorado' 'miami' 'florida'], predicted=florida
question=['denver' 'colorado' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['denver' 'colorado' 'oakland' 'california'], predicted=california
question=['denver' 'colorado' 'cleveland' 'ohio'], predicted=ohio
question=['denver' 'colorado' 'minneapolis' 'minnesota'], predicted=minnesota
question=['denver' 'colorado' 'anaheim' 'california'], predicted=california
question=['denver' 'colorado' 'honolulu' 'hawaii'], predicted=hawaii
question=['denver' 'colorado' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['denver' 'colorado' 'stockton' 'california'], predicted=california
question=['denver' 'colorado' 'cincinnati' 'ohio'], predicted=ohio
question=['denver' 'colorado' 'anchorage' 'alaska'], predicted=alaska
question=['denver' 'colorado' 'toledo' 'ohio'], predicted=ohio
question=['denver' 'colorado' 'madison' 'wisconsin'], predicted=wisconsin
question=['baltimore' 'maryland' 'nashville' 'tennessee'], predicted=tennessee
question=['baltimore' 'maryland' 'louisville' 'kentucky'], predicted=kentucky
question=['baltimore' 'maryland' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['baltimore' 'maryland' 'tucson' 'arizona'], predicted=arizona
question=['baltimore' 'maryland' 'fresno' 'california'], predicted=california
question=['baltimore' 'maryland' 'sacramento' 'california'], predicted=california
question=['baltimore' 'maryland' 'atlanta' 'georgia'], predicted=georgia
question=['baltimore' 'maryland' 'omaha' 'nebraska'], predicted=nebraska
question=['baltimore' 'maryland' 'miami' 'florida'], predicted=florida
question=['baltimore' 'maryland' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['baltimore' 'maryland' 'oakland' 'california'], predicted=california
question=['baltimore' 'maryland' 'cleveland' 'ohio'], predicted=ohio
question=['baltimore' 'maryland' 'anaheim' 'california'], predicted=california
question=['baltimore' 'maryland' 'honolulu' 'hawaii'], predicted=hawaii
question=['baltimore' 'maryland' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['baltimore' 'maryland' 'lexington' 'kentucky'], predicted=kentucky
question=['baltimore' 'maryland' 'cincinnati' 'ohio'], predicted=ohio
question=['baltimore' 'maryland' 'anchorage' 'alaska'], predicted=alaska
question=['nashville' 'tennessee' 'louisville' 'kentucky'], predicted=kentucky
question=['nashville' 'tennessee' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['nashville' 'tennessee' 'portland' 'oregon'], predicted=oregon
question=['nashville' 'tennessee' 'fresno' 'california'], predicted=california
question=['nashville' 'tennessee' 'atlanta' 'georgia'], predicted=georgia
question=['nashville' 'tennessee' 'omaha' 'nebraska'], predicted=nebraska
question=['nashville' 'tennessee' 'miami' 'florida'], predicted=florida
question=['nashville' 'tennessee' 'oakland' 'california'], predicted=california
question=['nashville' 'tennessee' 'cleveland' 'ohio'], predicted=ohio
question=['nashville' 'tennessee' 'minneapolis' 'minnesota'], predicted=minnesota
question=['nashville' 'tennessee' 'tampa' 'florida'], predicted=florida
question=['nashville' 'tennessee' 'anaheim' 'california'], predicted=california
question=['nashville' 'tennessee' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['nashville' 'tennessee' 'cincinnati' 'ohio'], predicted=ohio
question=['nashville' 'tennessee' 'toledo' 'ohio'], predicted=ohio
question=['nashville' 'tennessee' 'orlando' 'florida'], predicted=florida
question=['nashville' 'tennessee' 'madison' 'wisconsin'], predicted=wisconsin
question=['louisville' 'kentucky' 'milwaukee' 'wisconsin'], predicted=wisconsin
question=['louisville' 'kentucky' 'atlanta' 'georgia'], predicted=georgia
question=['louisville' 'kentucky' 'omaha' 'nebraska'], predicted=nebraska
question=['louisville' 'kentucky' 'miami' 'florida'], predicted=florida
question=['louisville' 'kentucky' 'cleveland' 'ohio'], predicted=ohio
question=['louisville' 'kentucky' 'minneapolis' 'minnesota'], predicted=minnesota
question=['louisville' 'kentucky' 'wichita' 'kansas'], predicted=kansas
question=['louisville' 'kentucky' 'honolulu' 'hawaii'], predicted=hawaii
question=['louisville' 'kentucky' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['louisville' 'kentucky' 'cincinnati' 'ohio'], predicted=ohio
question=['louisville' 'kentucky' 'orlando' 'florida'], predicted=florida
question=['milwaukee' 'wisconsin' 'portland' 'oregon'], predicted=oregon
question=['milwaukee' 'wisconsin' 'atlanta' 'georgia'], predicted=georgia
question=['milwaukee' 'wisconsin' 'omaha' 'nebraska'], predicted=nebraska
question=['milwaukee' 'wisconsin' 'miami' 'florida'], predicted=florida
question=['milwaukee' 'wisconsin' 'tampa' 'florida'], predicted=florida
question=['milwaukee' 'wisconsin' 'honolulu' 'hawaii'], predicted=hawaii
question=['milwaukee' 'wisconsin' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['milwaukee' 'wisconsin' 'anchorage' 'alaska'], predicted=alaska
question=['milwaukee' 'wisconsin' 'orlando' 'florida'], predicted=florida
question=['portland' 'oregon' 'tucson' 'arizona'], predicted=arizona
question=['portland' 'oregon' 'fresno' 'california'], predicted=california
question=['portland' 'oregon' 'sacramento' 'california'], predicted=california
question=['portland' 'oregon' 'omaha' 'nebraska'], predicted=nebraska
question=['portland' 'oregon' 'miami' 'florida'], predicted=florida
question=['portland' 'oregon' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['portland' 'oregon' 'oakland' 'california'], predicted=california
question=['portland' 'oregon' 'cleveland' 'ohio'], predicted=ohio
question=['portland' 'oregon' 'wichita' 'kansas'], predicted=kansas
question=['portland' 'oregon' 'bakersfield' 'california'], predicted=california
question=['portland' 'oregon' 'anaheim' 'california'], predicted=california
question=['portland' 'oregon' 'pittsburgh' 'pennsylvania'], predicted=pennsylvania
question=['portland' 'oregon' 'stockton' 'california'], predicted=california
question=['portland' 'oregon' 'cincinnati' 'ohio'], predicted=ohio
question=['portland' 'oregon' 'anchorage' 'alaska'], predicted=alaska
question=['portland' 'oregon' 'toledo' 'ohio'], predicted=ohio
question=['portland' 'oregon' 'scottsdale' 'arizona'], predicted=arizona
question=['portland' 'oregon' 'irvine' 'california'], predicted=california
question=['tucson' 'arizona' 'fresno' 'california'], predicted=california
question=['tucson' 'arizona' 'sacramento' 'california'], predicted=california
question=['tucson' 'arizona' 'omaha' 'nebraska'], predicted=nebraska
question=['tucson' 'arizona' 'miami' 'florida'], predicted=florida
question=['tucson' 'arizona' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['tucson' 'arizona' 'oakland' 'california'], predicted=california
question=['tucson' 'arizona' 'minneapolis' 'minnesota'], predicted=minnesota
question=['tucson' 'arizona' 'wichita' 'kansas'], predicted=kansas
question=['tucson' 'arizona' 'arlington' 'texas'], predicted=texas
question=['tucson' 'arizona' 'anaheim' 'california'], predicted=california
question=['tucson' 'arizona' 'honolulu' 'hawaii'], predicted=hawaii
question=['tucson' 'arizona' 'lexington' 'kentucky'], predicted=kentucky
question=['tucson' 'arizona' 'anchorage' 'alaska'], predicted=alaska
question=['tucson' 'arizona' 'toledo' 'ohio'], predicted=ohio
question=['tucson' 'arizona' 'orlando' 'florida'], predicted=florida
question=['tucson' 'arizona' 'laredo' 'texas'], predicted=texas
question=['tucson' 'arizona' 'lubbock' 'texas'], predicted=texas
question=['tucson' 'arizona' 'irvine' 'california'], predicted=california
question=['tucson' 'arizona' 'modesto' 'california'], predicted=california
question=['fresno' 'california' 'omaha' 'nebraska'], predicted=nebraska
question=['fresno' 'california' 'minneapolis' 'minnesota'], predicted=minnesota
question=['fresno' 'california' 'wichita' 'kansas'], predicted=kansas
question=['fresno' 'california' 'anchorage' 'alaska'], predicted=alaska
question=['fresno' 'california' 'lubbock' 'texas'], predicted=texas
question=['fresno' 'california' 'scottsdale' 'arizona'], predicted=arizona
question=['sacramento' 'california' 'atlanta' 'georgia'], predicted=georgia
question=['sacramento' 'california' 'omaha' 'nebraska'], predicted=nebraska
question=['sacramento' 'california' 'miami' 'florida'], predicted=florida
question=['sacramento' 'california' 'tulsa' 'oklahoma'], predicted=oklahoma
question=['sacramento' 'california' 'cleveland' 'ohio'], predicted=ohio
