question=['boy' 'girl' 'brother' 'sister'], predicted=wife
question=['father' 'mother' 'grandson' 'granddaughter'], predicted=daughter
question=['father' 'mother' 'groom' 'bride'], predicted=yucca
question=['father' 'mother' 'his' 'her'], predicted=s
question=['father' 'mother' 'nephew' 'niece'], predicted=grandson
question=['father' 'mother' 'prince' 'princess'], predicted=crown
question=['father' 'mother' 'stepfather' 'stepmother'], predicted=sister
question=['father' 'mother' 'stepson' 'stepdaughter'], predicted=granddaughter
question=['grandfather' 'grandmother' 'grandpa' 'grandma'], predicted=stringbean
question=['grandfather' 'grandmother' 'grandson' 'granddaughter'], predicted=son
question=['grandfather' 'grandmother' 'groom' 'bride'], predicted=wedding
question=['grandfather' 'grandmother' 'husband' 'wife'], predicted=her
question=['grandfather' 'grandmother' 'nephew' 'niece'], predicted=cousin
question=['grandfather' 'grandmother' 'stepfather' 'stepmother'], predicted=stepson
question=['grandfather' 'grandmother' 'stepson' 'stepdaughter'], predicted=agrippina
question=['grandfather' 'grandmother' 'uncle' 'aunt'], predicted=mother
question=['grandpa' 'grandma' 'grandson' 'granddaughter'], predicted=grandfather
question=['grandpa' 'grandma' 'groom' 'bride'], predicted=pilz
question=['grandpa' 'grandma' 'he' 'she'], predicted=his
question=['grandpa' 'grandma' 'his' 'her'], predicted=he
question=['grandpa' 'grandma' 'king' 'queen'], predicted=son
question=['grandpa' 'grandma' 'man' 'woman'], predicted=hulk
question=['grandpa' 'grandma' 'nephew' 'niece'], predicted=grandfather
question=['grandpa' 'grandma' 'prince' 'princess'], predicted=crown
question=['grandpa' 'grandma' 'son' 'daughter'], predicted=father
question=['grandpa' 'grandma' 'sons' 'daughters'], predicted=son
question=['grandpa' 'grandma' 'stepfather' 'stepmother'], predicted=grandfather
question=['grandpa' 'grandma' 'stepson' 'stepdaughter'], predicted=caesar
question=['grandpa' 'grandma' 'uncle' 'aunt'], predicted=grandfather
question=['grandpa' 'grandma' 'boy' 'girl'], predicted=nintendo
question=['grandpa' 'grandma' 'brother' 'sister'], predicted=grandfather
question=['grandpa' 'grandma' 'brothers' 'sisters'], predicted=brother
question=['grandpa' 'grandma' 'dad' 'mom'], predicted=scrooge
question=['grandpa' 'grandma' 'father' 'mother'], predicted=grandfather
question=['grandson' 'granddaughter' 'groom' 'bride'], predicted=wedding
question=['grandson' 'granddaughter' 'husband' 'wife'], predicted=her
question=['grandson' 'granddaughter' 'nephew' 'niece'], predicted=deposed
question=['grandson' 'granddaughter' 'stepfather' 'stepmother'], predicted=conjoined
question=['grandson' 'granddaughter' 'stepson' 'stepdaughter'], predicted=abercorn
question=['grandson' 'granddaughter' 'dad' 'mom'], predicted=rudin
question=['grandson' 'granddaughter' 'grandfather' 'grandmother'], predicted=paternal
question=['grandson' 'granddaughter' 'grandpa' 'grandma'], predicted=tapp
question=['groom' 'bride' 'king' 'queen'], predicted=son
question=['groom' 'bride' 'nephew' 'niece'], predicted=son
question=['groom' 'bride' 'son' 'daughter'], predicted=father
question=['groom' 'bride' 'sons' 'daughters'], predicted=son
question=['groom' 'bride' 'stepfather' 'stepmother'], predicted=princess
question=['groom' 'bride' 'stepson' 'stepdaughter'], predicted=heir
question=['groom' 'bride' 'uncle' 'aunt'], predicted=father
question=['groom' 'bride' 'brother' 'sister'], predicted=son
question=['groom' 'bride' 'brothers' 'sisters'], predicted=brother
question=['groom' 'bride' 'dad' 'mom'], predicted=mother
question=['groom' 'bride' 'grandfather' 'grandmother'], predicted=father
question=['groom' 'bride' 'grandpa' 'grandma'], predicted=helen
question=['groom' 'bride' 'grandson' 'granddaughter'], predicted=son
question=['he' 'she' 'husband' 'wife'], predicted=her
question=['he' 'she' 'nephew' 'niece'], predicted=brother
question=['he' 'she' 'stepfather' 'stepmother'], predicted=husband
question=['he' 'she' 'stepson' 'stepdaughter'], predicted=husband
question=['he' 'she' 'uncle' 'aunt'], predicted=brother
question=['he' 'she' 'dad' 'mom'], predicted=her
question=['he' 'she' 'grandpa' 'grandma'], predicted=her
question=['he' 'she' 'grandson' 'granddaughter'], predicted=eldest
question=['he' 'she' 'groom' 'bride'], predicted=wedding
question=['his' 'her' 'husband' 'wife'], predicted=herself
question=['his' 'her' 'nephew' 'niece'], predicted=husband
question=['his' 'her' 'stepfather' 'stepmother'], predicted=husband
question=['his' 'her' 'stepson' 'stepdaughter'], predicted=husband
question=['his' 'her' 'brother' 'sister'], predicted=husband
question=['his' 'her' 'grandfather' 'grandmother'], predicted=mother
question=['his' 'her' 'grandpa' 'grandma'], predicted=scarlett
question=['his' 'her' 'grandson' 'granddaughter'], predicted=daughter
question=['husband' 'wife' 'king' 'queen'], predicted=son
question=['husband' 'wife' 'man' 'woman'], predicted=son
question=['husband' 'wife' 'nephew' 'niece'], predicted=son
question=['husband' 'wife' 'prince' 'princess'], predicted=son
question=['husband' 'wife' 'sons' 'daughters'], predicted=son
question=['husband' 'wife' 'stepfather' 'stepmother'], predicted=son
question=['husband' 'wife' 'stepson' 'stepdaughter'], predicted=son
question=['husband' 'wife' 'uncle' 'aunt'], predicted=grandfather
question=['husband' 'wife' 'brother' 'sister'], predicted=son
question=['husband' 'wife' 'brothers' 'sisters'], predicted=sons
question=['husband' 'wife' 'dad' 'mom'], predicted=grandfather
question=['husband' 'wife' 'father' 'mother'], predicted=son
question=['husband' 'wife' 'grandfather' 'grandmother'], predicted=grandson
question=['husband' 'wife' 'grandpa' 'grandma'], predicted=tapp
question=['husband' 'wife' 'grandson' 'granddaughter'], predicted=son
question=['husband' 'wife' 'groom' 'bride'], predicted=desert
question=['husband' 'wife' 'he' 'she'], predicted=his
question=['husband' 'wife' 'his' 'her'], predicted=s
question=['king' 'queen' 'nephew' 'niece'], predicted=elizabeth
question=['king' 'queen' 'stepfather' 'stepmother'], predicted=elizabeth
question=['king' 'queen' 'stepson' 'stepdaughter'], predicted=elizabeth
question=['king' 'queen' 'dad' 'mom'], predicted=earrings
question=['king' 'queen' 'grandpa' 'grandma'], predicted=hallowicked
question=['king' 'queen' 'grandson' 'granddaughter'], predicted=elizabeth
question=['king' 'queen' 'groom' 'bride'], predicted=victoria
question=['king' 'queen' 'husband' 'wife'], predicted=elizabeth
question=['man' 'woman' 'nephew' 'niece'], predicted=daughter
question=['man' 'woman' 'stepfather' 'stepmother'], predicted=marriage
question=['man' 'woman' 'stepson' 'stepdaughter'], predicted=marriage
question=['man' 'woman' 'uncle' 'aunt'], predicted=daughter
question=['man' 'woman' 'dad' 'mom'], predicted=parents
question=['man' 'woman' 'grandpa' 'grandma'], predicted=materialize
question=['man' 'woman' 'grandson' 'granddaughter'], predicted=daughter
question=['man' 'woman' 'groom' 'bride'], predicted=divorce
question=['nephew' 'niece' 'prince' 'princess'], predicted=crown
question=['nephew' 'niece' 'stepfather' 'stepmother'], predicted=decedent
question=['nephew' 'niece' 'stepson' 'stepdaughter'], predicted=agrippina
question=['nephew' 'niece' 'uncle' 'aunt'], predicted=grandmother
question=['nephew' 'niece' 'grandpa' 'grandma'], predicted=tapp
question=['nephew' 'niece' 'grandson' 'granddaughter'], predicted=grandmother
question=['nephew' 'niece' 'groom' 'bride'], predicted=wedding
question=['prince' 'princess' 'stepfather' 'stepmother'], predicted=iole
question=['prince' 'princess' 'stepson' 'stepdaughter'], predicted=agrippina
question=['prince' 'princess' 'uncle' 'aunt'], predicted=mother
question=['prince' 'princess' 'brother' 'sister'], predicted=wife
question=['prince' 'princess' 'dad' 'mom'], predicted=girl
question=['prince' 'princess' 'grandfather' 'grandmother'], predicted=wife
question=['prince' 'princess' 'grandpa' 'grandma'], predicted=wogan
question=['prince' 'princess' 'grandson' 'granddaughter'], predicted=wife
question=['prince' 'princess' 'nephew' 'niece'], predicted=wife
question=['son' 'daughter' 'stepfather' 'stepmother'], predicted=sister
question=['son' 'daughter' 'stepson' 'stepdaughter'], predicted=widow
question=['son' 'daughter' 'dad' 'mom'], predicted=widowed
question=['son' 'daughter' 'grandfather' 'grandmother'], predicted=maternal
question=['son' 'daughter' 'grandpa' 'grandma'], predicted=schoolteacher
question=['son' 'daughter' 'grandson' 'granddaughter'], predicted=daughters
question=['son' 'daughter' 'groom' 'bride'], predicted=wedding
question=['son' 'daughter' 'nephew' 'niece'], predicted=cousin
question=['sons' 'daughters' 'stepfather' 'stepmother'], predicted=perks
question=['sons' 'daughters' 'stepson' 'stepdaughter'], predicted=widow
question=['sons' 'daughters' 'grandpa' 'grandma'], predicted=tapp
question=['sons' 'daughters' 'grandson' 'granddaughter'], predicted=cousin
question=['sons' 'daughters' 'groom' 'bride'], predicted=yucca
question=['sons' 'daughters' 'nephew' 'niece'], predicted=cousin
question=['stepfather' 'stepmother' 'stepson' 'stepdaughter'], predicted=calcul
question=['stepfather' 'stepmother' 'uncle' 'aunt'], predicted=mother
question=['stepfather' 'stepmother' 'brother' 'sister'], predicted=father
question=['stepfather' 'stepmother' 'grandfather' 'grandmother'], predicted=father
question=['stepfather' 'stepmother' 'grandpa' 'grandma'], predicted=baley
question=['stepfather' 'stepmother' 'grandson' 'granddaughter'], predicted=son
question=['stepfather' 'stepmother' 'groom' 'bride'], predicted=uplifted
question=['stepfather' 'stepmother' 'his' 'her'], predicted=their
question=['stepfather' 'stepmother' 'king' 'queen'], predicted=vii
question=['stepfather' 'stepmother' 'man' 'woman'], predicted=girl
question=['stepfather' 'stepmother' 'nephew' 'niece'], predicted=son
question=['stepfather' 'stepmother' 'prince' 'princess'], predicted=grand
question=['stepfather' 'stepmother' 'son' 'daughter'], predicted=father
question=['stepfather' 'stepmother' 'sons' 'daughters'], predicted=son
question=['stepson' 'stepdaughter' 'uncle' 'aunt'], predicted=grandfather
question=['stepson' 'stepdaughter' 'brother' 'sister'], predicted=son
question=['stepson' 'stepdaughter' 'dad' 'mom'], predicted=bofh
question=['stepson' 'stepdaughter' 'father' 'mother'], predicted=grandfather
question=['stepson' 'stepdaughter' 'grandfather' 'grandmother'], predicted=father
question=['stepson' 'stepdaughter' 'grandpa' 'grandma'], predicted=captioned
question=['stepson' 'stepdaughter' 'grandson' 'granddaughter'], predicted=grandfather
question=['stepson' 'stepdaughter' 'groom' 'bride'], predicted=vacations
question=['stepson' 'stepdaughter' 'he' 'she'], predicted=also
question=['stepson' 'stepdaughter' 'his' 'her'], predicted=this
question=['stepson' 'stepdaughter' 'king' 'queen'], predicted=kings
question=['stepson' 'stepdaughter' 'nephew' 'niece'], predicted=grandfather
question=['stepson' 'stepdaughter' 'prince' 'princess'], predicted=bentheim
question=['stepson' 'stepdaughter' 'son' 'daughter'], predicted=father
question=['stepson' 'stepdaughter' 'stepfather' 'stepmother'], predicted=gottorp
question=['uncle' 'aunt' 'dad' 'mom'], predicted=astaire
question=['uncle' 'aunt' 'grandfather' 'grandmother'], predicted=paternal
question=['uncle' 'aunt' 'grandpa' 'grandma'], predicted=eels
question=['uncle' 'aunt' 'grandson' 'granddaughter'], predicted=daughters
question=['uncle' 'aunt' 'groom' 'bride'], predicted=interceptor
question=['uncle' 'aunt' 'his' 'her'], predicted=their
question=['uncle' 'aunt' 'husband' 'wife'], predicted=herself
question=['uncle' 'aunt' 'nephew' 'niece'], predicted=grandson
question=['uncle' 'aunt' 'stepfather' 'stepmother'], predicted=nieces
question=['uncle' 'aunt' 'stepson' 'stepdaughter'], predicted=heirs
