question=['albania' 'albanian' 'australia' 'australian'], predicted=australian
question=['australia' 'australian' 'brazil' 'brazilian'], predicted=brazilian
question=['australia' 'australian' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['australia' 'australian' 'chile' 'chilean'], predicted=chilean
question=['australia' 'australian' 'china' 'chinese'], predicted=chinese
question=['australia' 'australian' 'croatia' 'croatian'], predicted=croatian
question=['australia' 'australian' 'denmark' 'danish'], predicted=danish
question=['australia' 'australian' 'egypt' 'egyptian'], predicted=egyptian
question=['australia' 'australian' 'france' 'french'], predicted=french
question=['australia' 'australian' 'germany' 'german'], predicted=german
question=['australia' 'australian' 'iceland' 'icelandic'], predicted=icelandic
question=['australia' 'australian' 'india' 'indian'], predicted=indian
question=['australia' 'australian' 'ireland' 'irish'], predicted=irish
question=['australia' 'australian' 'israel' 'israeli'], predicted=israeli
question=['australia' 'australian' 'italy' 'italian'], predicted=italian
question=['australia' 'australian' 'japan' 'japanese'], predicted=japanese
question=['australia' 'australian' 'korea' 'korean'], predicted=korean
question=['australia' 'australian' 'malta' 'maltese'], predicted=maltese
question=['australia' 'australian' 'mexico' 'mexican'], predicted=mexican
question=['australia' 'australian' 'netherlands' 'dutch'], predicted=dutch
question=['australia' 'australian' 'norway' 'norwegian'], predicted=norwegian
question=['australia' 'australian' 'poland' 'polish'], predicted=polish
question=['australia' 'australian' 'portugal' 'portuguese'], predicted=portuguese
question=['australia' 'australian' 'russia' 'russian'], predicted=russian
question=['australia' 'australian' 'spain' 'spanish'], predicted=spanish
question=['australia' 'australian' 'sweden' 'swedish'], predicted=swedish
question=['australia' 'australian' 'switzerland' 'swiss'], predicted=swiss
question=['australia' 'australian' 'albania' 'albanian'], predicted=albanian
question=['austria' 'austrian' 'brazil' 'brazilian'], predicted=brazilian
question=['austria' 'austrian' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['austria' 'austrian' 'cambodia' 'cambodian'], predicted=cambodian
question=['austria' 'austrian' 'chile' 'chilean'], predicted=chilean
question=['austria' 'austrian' 'china' 'chinese'], predicted=chinese
question=['austria' 'austrian' 'colombia' 'colombian'], predicted=colombian
question=['austria' 'austrian' 'croatia' 'croatian'], predicted=croatian
question=['austria' 'austrian' 'denmark' 'danish'], predicted=danish
question=['austria' 'austrian' 'egypt' 'egyptian'], predicted=egyptian
question=['austria' 'austrian' 'france' 'french'], predicted=french
question=['austria' 'austrian' 'germany' 'german'], predicted=german
question=['austria' 'austrian' 'greece' 'greek'], predicted=greek
question=['austria' 'austrian' 'iceland' 'icelandic'], predicted=icelandic
question=['austria' 'austrian' 'india' 'indian'], predicted=indian
question=['austria' 'austrian' 'ireland' 'irish'], predicted=irish
question=['austria' 'austrian' 'israel' 'israeli'], predicted=israeli
question=['austria' 'austrian' 'italy' 'italian'], predicted=italian
question=['austria' 'austrian' 'japan' 'japanese'], predicted=japanese
question=['austria' 'austrian' 'korea' 'korean'], predicted=korean
question=['austria' 'austrian' 'malta' 'maltese'], predicted=maltese
question=['austria' 'austrian' 'mexico' 'mexican'], predicted=mexican
question=['austria' 'austrian' 'netherlands' 'dutch'], predicted=dutch
question=['austria' 'austrian' 'norway' 'norwegian'], predicted=norwegian
question=['austria' 'austrian' 'peru' 'peruvian'], predicted=peruvian
question=['austria' 'austrian' 'poland' 'polish'], predicted=polish
question=['austria' 'austrian' 'portugal' 'portuguese'], predicted=portuguese
question=['austria' 'austrian' 'russia' 'russian'], predicted=russian
question=['austria' 'austrian' 'spain' 'spanish'], predicted=spanish
question=['austria' 'austrian' 'sweden' 'swedish'], predicted=swedish
question=['austria' 'austrian' 'switzerland' 'swiss'], predicted=swiss
question=['austria' 'austrian' 'ukraine' 'ukrainian'], predicted=ukrainian
question=['austria' 'austrian' 'albania' 'albanian'], predicted=albanian
question=['brazil' 'brazilian' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['brazil' 'brazilian' 'chile' 'chilean'], predicted=chilean
question=['brazil' 'brazilian' 'china' 'chinese'], predicted=chinese
question=['brazil' 'brazilian' 'colombia' 'colombian'], predicted=colombian
question=['brazil' 'brazilian' 'croatia' 'croatian'], predicted=croatian
question=['brazil' 'brazilian' 'denmark' 'danish'], predicted=danish
question=['brazil' 'brazilian' 'egypt' 'egyptian'], predicted=egyptian
question=['brazil' 'brazilian' 'france' 'french'], predicted=french
question=['brazil' 'brazilian' 'germany' 'german'], predicted=german
question=['brazil' 'brazilian' 'greece' 'greek'], predicted=greek
question=['brazil' 'brazilian' 'iceland' 'icelandic'], predicted=icelandic
question=['brazil' 'brazilian' 'india' 'indian'], predicted=indian
question=['brazil' 'brazilian' 'ireland' 'irish'], predicted=irish
question=['brazil' 'brazilian' 'israel' 'israeli'], predicted=israeli
question=['brazil' 'brazilian' 'italy' 'italian'], predicted=italian
question=['brazil' 'brazilian' 'japan' 'japanese'], predicted=japanese
question=['brazil' 'brazilian' 'korea' 'korean'], predicted=korean
question=['brazil' 'brazilian' 'macedonia' 'macedonian'], predicted=macedonian
question=['brazil' 'brazilian' 'malta' 'maltese'], predicted=maltese
question=['brazil' 'brazilian' 'mexico' 'mexican'], predicted=mexican
question=['brazil' 'brazilian' 'netherlands' 'dutch'], predicted=dutch
question=['brazil' 'brazilian' 'norway' 'norwegian'], predicted=norwegian
question=['brazil' 'brazilian' 'peru' 'peruvian'], predicted=peruvian
question=['brazil' 'brazilian' 'poland' 'polish'], predicted=polish
question=['brazil' 'brazilian' 'portugal' 'portuguese'], predicted=portuguese
question=['brazil' 'brazilian' 'russia' 'russian'], predicted=russian
question=['brazil' 'brazilian' 'spain' 'spanish'], predicted=spanish
question=['brazil' 'brazilian' 'sweden' 'swedish'], predicted=swedish
question=['brazil' 'brazilian' 'switzerland' 'swiss'], predicted=swiss
question=['brazil' 'brazilian' 'thailand' 'thai'], predicted=thai
question=['brazil' 'brazilian' 'ukraine' 'ukrainian'], predicted=ukrainian
question=['brazil' 'brazilian' 'albania' 'albanian'], predicted=albanian
question=['brazil' 'brazilian' 'australia' 'australian'], predicted=australian
question=['brazil' 'brazilian' 'austria' 'austrian'], predicted=austrian
question=['bulgaria' 'bulgarian' 'china' 'chinese'], predicted=chinese
question=['bulgaria' 'bulgarian' 'colombia' 'colombian'], predicted=colombian
question=['bulgaria' 'bulgarian' 'croatia' 'croatian'], predicted=croatian
question=['bulgaria' 'bulgarian' 'denmark' 'danish'], predicted=danish
question=['bulgaria' 'bulgarian' 'egypt' 'egyptian'], predicted=egyptian
question=['bulgaria' 'bulgarian' 'france' 'french'], predicted=french
question=['bulgaria' 'bulgarian' 'germany' 'german'], predicted=german
question=['bulgaria' 'bulgarian' 'iceland' 'icelandic'], predicted=icelandic
question=['bulgaria' 'bulgarian' 'india' 'indian'], predicted=indian
question=['bulgaria' 'bulgarian' 'ireland' 'irish'], predicted=irish
question=['bulgaria' 'bulgarian' 'israel' 'israeli'], predicted=israeli
question=['bulgaria' 'bulgarian' 'italy' 'italian'], predicted=italian
question=['bulgaria' 'bulgarian' 'japan' 'japanese'], predicted=japanese
question=['bulgaria' 'bulgarian' 'korea' 'korean'], predicted=korean
question=['bulgaria' 'bulgarian' 'macedonia' 'macedonian'], predicted=macedonian
question=['bulgaria' 'bulgarian' 'malta' 'maltese'], predicted=maltese
question=['bulgaria' 'bulgarian' 'mexico' 'mexican'], predicted=mexican
question=['bulgaria' 'bulgarian' 'netherlands' 'dutch'], predicted=dutch
question=['bulgaria' 'bulgarian' 'norway' 'norwegian'], predicted=norwegian
question=['bulgaria' 'bulgarian' 'peru' 'peruvian'], predicted=peruvian
question=['bulgaria' 'bulgarian' 'poland' 'polish'], predicted=polish
question=['bulgaria' 'bulgarian' 'portugal' 'portuguese'], predicted=portuguese
question=['bulgaria' 'bulgarian' 'russia' 'russian'], predicted=russian
question=['bulgaria' 'bulgarian' 'spain' 'spanish'], predicted=spanish
question=['bulgaria' 'bulgarian' 'sweden' 'swedish'], predicted=swedish
question=['bulgaria' 'bulgarian' 'switzerland' 'swiss'], predicted=swiss
question=['bulgaria' 'bulgarian' 'albania' 'albanian'], predicted=albanian
question=['bulgaria' 'bulgarian' 'australia' 'australian'], predicted=australian
question=['bulgaria' 'bulgarian' 'austria' 'austrian'], predicted=austrian
question=['cambodia' 'cambodian' 'chile' 'chilean'], predicted=chilean
question=['cambodia' 'cambodian' 'china' 'chinese'], predicted=chinese
question=['cambodia' 'cambodian' 'croatia' 'croatian'], predicted=croatian
question=['cambodia' 'cambodian' 'denmark' 'danish'], predicted=danish
question=['cambodia' 'cambodian' 'egypt' 'egyptian'], predicted=egyptian
question=['cambodia' 'cambodian' 'germany' 'german'], predicted=german
question=['cambodia' 'cambodian' 'india' 'indian'], predicted=indian
question=['cambodia' 'cambodian' 'ireland' 'irish'], predicted=irish
question=['cambodia' 'cambodian' 'israel' 'israeli'], predicted=israeli
question=['cambodia' 'cambodian' 'japan' 'japanese'], predicted=japanese
question=['cambodia' 'cambodian' 'korea' 'korean'], predicted=korean
question=['cambodia' 'cambodian' 'mexico' 'mexican'], predicted=mexican
question=['cambodia' 'cambodian' 'netherlands' 'dutch'], predicted=dutch
question=['cambodia' 'cambodian' 'norway' 'norwegian'], predicted=norwegian
question=['cambodia' 'cambodian' 'poland' 'polish'], predicted=polish
question=['cambodia' 'cambodian' 'russia' 'russian'], predicted=russian
question=['cambodia' 'cambodian' 'spain' 'spanish'], predicted=spanish
question=['cambodia' 'cambodian' 'sweden' 'swedish'], predicted=swedish
question=['cambodia' 'cambodian' 'switzerland' 'swiss'], predicted=swiss
question=['cambodia' 'cambodian' 'ukraine' 'ukrainian'], predicted=ukrainian
question=['cambodia' 'cambodian' 'albania' 'albanian'], predicted=albanian
question=['cambodia' 'cambodian' 'australia' 'australian'], predicted=australian
question=['cambodia' 'cambodian' 'brazil' 'brazilian'], predicted=brazilian
question=['chile' 'chilean' 'china' 'chinese'], predicted=chinese
question=['chile' 'chilean' 'denmark' 'danish'], predicted=danish
question=['chile' 'chilean' 'egypt' 'egyptian'], predicted=egyptian
question=['chile' 'chilean' 'france' 'french'], predicted=french
question=['chile' 'chilean' 'germany' 'german'], predicted=german
question=['chile' 'chilean' 'greece' 'greek'], predicted=greek
question=['chile' 'chilean' 'india' 'indian'], predicted=indian
question=['chile' 'chilean' 'ireland' 'irish'], predicted=irish
question=['chile' 'chilean' 'israel' 'israeli'], predicted=israeli
question=['chile' 'chilean' 'italy' 'italian'], predicted=italian
question=['chile' 'chilean' 'japan' 'japanese'], predicted=japanese
question=['chile' 'chilean' 'korea' 'korean'], predicted=korean
question=['chile' 'chilean' 'macedonia' 'macedonian'], predicted=macedonian
question=['chile' 'chilean' 'malta' 'maltese'], predicted=maltese
question=['chile' 'chilean' 'mexico' 'mexican'], predicted=mexican
question=['chile' 'chilean' 'netherlands' 'dutch'], predicted=dutch
question=['chile' 'chilean' 'norway' 'norwegian'], predicted=norwegian
question=['chile' 'chilean' 'peru' 'peruvian'], predicted=peruvian
question=['chile' 'chilean' 'poland' 'polish'], predicted=polish
question=['chile' 'chilean' 'portugal' 'portuguese'], predicted=portuguese
question=['chile' 'chilean' 'russia' 'russian'], predicted=russian
question=['chile' 'chilean' 'spain' 'spanish'], predicted=spanish
question=['chile' 'chilean' 'sweden' 'swedish'], predicted=swedish
question=['chile' 'chilean' 'switzerland' 'swiss'], predicted=swiss
question=['chile' 'chilean' 'albania' 'albanian'], predicted=albanian
question=['chile' 'chilean' 'australia' 'australian'], predicted=australian
question=['chile' 'chilean' 'brazil' 'brazilian'], predicted=brazilian
question=['chile' 'chilean' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['china' 'chinese' 'croatia' 'croatian'], predicted=croatian
question=['china' 'chinese' 'denmark' 'danish'], predicted=danish
question=['china' 'chinese' 'egypt' 'egyptian'], predicted=egyptian
question=['china' 'chinese' 'england' 'english'], predicted=english
question=['china' 'chinese' 'france' 'french'], predicted=french
question=['china' 'chinese' 'germany' 'german'], predicted=german
question=['china' 'chinese' 'greece' 'greek'], predicted=greek
question=['china' 'chinese' 'iceland' 'icelandic'], predicted=icelandic
question=['china' 'chinese' 'india' 'indian'], predicted=indian
question=['china' 'chinese' 'ireland' 'irish'], predicted=irish
question=['china' 'chinese' 'israel' 'israeli'], predicted=israeli
question=['china' 'chinese' 'italy' 'italian'], predicted=italian
question=['china' 'chinese' 'japan' 'japanese'], predicted=japanese
question=['china' 'chinese' 'korea' 'korean'], predicted=korean
question=['china' 'chinese' 'malta' 'maltese'], predicted=maltese
question=['china' 'chinese' 'mexico' 'mexican'], predicted=mexican
question=['china' 'chinese' 'netherlands' 'dutch'], predicted=dutch
question=['china' 'chinese' 'norway' 'norwegian'], predicted=norwegian
question=['china' 'chinese' 'poland' 'polish'], predicted=polish
question=['china' 'chinese' 'portugal' 'portuguese'], predicted=portuguese
question=['china' 'chinese' 'russia' 'russian'], predicted=russian
question=['china' 'chinese' 'spain' 'spanish'], predicted=spanish
question=['china' 'chinese' 'sweden' 'swedish'], predicted=swedish
question=['china' 'chinese' 'switzerland' 'swiss'], predicted=swiss
question=['china' 'chinese' 'thailand' 'thai'], predicted=thai
question=['china' 'chinese' 'ukraine' 'ukrainian'], predicted=ukrainian
question=['china' 'chinese' 'albania' 'albanian'], predicted=albanian
question=['china' 'chinese' 'australia' 'australian'], predicted=australian
question=['china' 'chinese' 'brazil' 'brazilian'], predicted=brazilian
question=['china' 'chinese' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['colombia' 'colombian' 'croatia' 'croatian'], predicted=croatian
question=['colombia' 'colombian' 'denmark' 'danish'], predicted=danish
question=['colombia' 'colombian' 'egypt' 'egyptian'], predicted=egyptian
question=['colombia' 'colombian' 'france' 'french'], predicted=french
question=['colombia' 'colombian' 'germany' 'german'], predicted=german
question=['colombia' 'colombian' 'greece' 'greek'], predicted=greek
question=['colombia' 'colombian' 'iceland' 'icelandic'], predicted=icelandic
question=['colombia' 'colombian' 'india' 'indian'], predicted=indian
question=['colombia' 'colombian' 'ireland' 'irish'], predicted=irish
question=['colombia' 'colombian' 'israel' 'israeli'], predicted=israeli
question=['colombia' 'colombian' 'italy' 'italian'], predicted=italian
question=['colombia' 'colombian' 'japan' 'japanese'], predicted=japanese
question=['colombia' 'colombian' 'korea' 'korean'], predicted=korean
question=['colombia' 'colombian' 'malta' 'maltese'], predicted=maltese
question=['colombia' 'colombian' 'mexico' 'mexican'], predicted=mexican
question=['colombia' 'colombian' 'netherlands' 'dutch'], predicted=dutch
question=['colombia' 'colombian' 'norway' 'norwegian'], predicted=norwegian
question=['colombia' 'colombian' 'peru' 'peruvian'], predicted=peruvian
question=['colombia' 'colombian' 'poland' 'polish'], predicted=polish
question=['colombia' 'colombian' 'portugal' 'portuguese'], predicted=portuguese
question=['colombia' 'colombian' 'russia' 'russian'], predicted=russian
question=['colombia' 'colombian' 'spain' 'spanish'], predicted=spanish
question=['colombia' 'colombian' 'sweden' 'swedish'], predicted=swedish
question=['colombia' 'colombian' 'switzerland' 'swiss'], predicted=swiss
question=['colombia' 'colombian' 'ukraine' 'ukrainian'], predicted=ukrainian
question=['colombia' 'colombian' 'albania' 'albanian'], predicted=albanian
question=['colombia' 'colombian' 'australia' 'australian'], predicted=australian
question=['colombia' 'colombian' 'austria' 'austrian'], predicted=austrian
question=['colombia' 'colombian' 'brazil' 'brazilian'], predicted=brazilian
question=['colombia' 'colombian' 'cambodia' 'cambodian'], predicted=cambodian
question=['colombia' 'colombian' 'chile' 'chilean'], predicted=chilean
question=['croatia' 'croatian' 'denmark' 'danish'], predicted=danish
question=['croatia' 'croatian' 'egypt' 'egyptian'], predicted=egyptian
question=['croatia' 'croatian' 'england' 'english'], predicted=english
question=['croatia' 'croatian' 'france' 'french'], predicted=french
question=['croatia' 'croatian' 'germany' 'german'], predicted=german
question=['croatia' 'croatian' 'greece' 'greek'], predicted=greek
question=['croatia' 'croatian' 'iceland' 'icelandic'], predicted=icelandic
question=['croatia' 'croatian' 'india' 'indian'], predicted=indian
question=['croatia' 'croatian' 'ireland' 'irish'], predicted=irish
question=['croatia' 'croatian' 'israel' 'israeli'], predicted=israeli
question=['croatia' 'croatian' 'italy' 'italian'], predicted=italian
question=['croatia' 'croatian' 'japan' 'japanese'], predicted=japanese
question=['croatia' 'croatian' 'korea' 'korean'], predicted=korean
question=['croatia' 'croatian' 'macedonia' 'macedonian'], predicted=macedonian
question=['croatia' 'croatian' 'malta' 'maltese'], predicted=maltese
question=['croatia' 'croatian' 'mexico' 'mexican'], predicted=mexican
question=['croatia' 'croatian' 'netherlands' 'dutch'], predicted=dutch
question=['croatia' 'croatian' 'norway' 'norwegian'], predicted=norwegian
question=['croatia' 'croatian' 'poland' 'polish'], predicted=polish
question=['croatia' 'croatian' 'portugal' 'portuguese'], predicted=portuguese
question=['croatia' 'croatian' 'russia' 'russian'], predicted=russian
question=['croatia' 'croatian' 'spain' 'spanish'], predicted=spanish
question=['croatia' 'croatian' 'sweden' 'swedish'], predicted=swedish
question=['croatia' 'croatian' 'switzerland' 'swiss'], predicted=swiss
question=['croatia' 'croatian' 'ukraine' 'ukrainian'], predicted=ukrainian
question=['croatia' 'croatian' 'albania' 'albanian'], predicted=albanian
question=['croatia' 'croatian' 'australia' 'australian'], predicted=australian
question=['croatia' 'croatian' 'austria' 'austrian'], predicted=austrian
question=['croatia' 'croatian' 'brazil' 'brazilian'], predicted=brazilian
question=['croatia' 'croatian' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['croatia' 'croatian' 'chile' 'chilean'], predicted=chilean
question=['croatia' 'croatian' 'china' 'chinese'], predicted=chinese
question=['denmark' 'danish' 'egypt' 'egyptian'], predicted=egyptian
question=['denmark' 'danish' 'england' 'english'], predicted=english
question=['denmark' 'danish' 'france' 'french'], predicted=french
question=['denmark' 'danish' 'germany' 'german'], predicted=german
question=['denmark' 'danish' 'greece' 'greek'], predicted=greek
question=['denmark' 'danish' 'iceland' 'icelandic'], predicted=icelandic
question=['denmark' 'danish' 'india' 'indian'], predicted=indian
question=['denmark' 'danish' 'ireland' 'irish'], predicted=irish
question=['denmark' 'danish' 'israel' 'israeli'], predicted=israeli
question=['denmark' 'danish' 'italy' 'italian'], predicted=italian
question=['denmark' 'danish' 'japan' 'japanese'], predicted=japanese
question=['denmark' 'danish' 'korea' 'korean'], predicted=korean
question=['denmark' 'danish' 'malta' 'maltese'], predicted=maltese
question=['denmark' 'danish' 'mexico' 'mexican'], predicted=mexican
question=['denmark' 'danish' 'netherlands' 'dutch'], predicted=dutch
question=['denmark' 'danish' 'norway' 'norwegian'], predicted=norwegian
question=['denmark' 'danish' 'peru' 'peruvian'], predicted=peruvian
question=['denmark' 'danish' 'poland' 'polish'], predicted=polish
question=['denmark' 'danish' 'portugal' 'portuguese'], predicted=portuguese
question=['denmark' 'danish' 'russia' 'russian'], predicted=russian
question=['denmark' 'danish' 'spain' 'spanish'], predicted=spanish
question=['denmark' 'danish' 'sweden' 'swedish'], predicted=swedish
question=['denmark' 'danish' 'switzerland' 'swiss'], predicted=swiss
question=['denmark' 'danish' 'albania' 'albanian'], predicted=albanian
question=['denmark' 'danish' 'australia' 'australian'], predicted=australian
question=['denmark' 'danish' 'austria' 'austrian'], predicted=austrian
question=['denmark' 'danish' 'brazil' 'brazilian'], predicted=brazilian
question=['denmark' 'danish' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['denmark' 'danish' 'chile' 'chilean'], predicted=chilean
question=['denmark' 'danish' 'china' 'chinese'], predicted=chinese
question=['denmark' 'danish' 'colombia' 'colombian'], predicted=colombian
question=['egypt' 'egyptian' 'france' 'french'], predicted=french
question=['egypt' 'egyptian' 'germany' 'german'], predicted=german
question=['egypt' 'egyptian' 'greece' 'greek'], predicted=greek
question=['egypt' 'egyptian' 'iceland' 'icelandic'], predicted=icelandic
question=['egypt' 'egyptian' 'india' 'indian'], predicted=indian
question=['egypt' 'egyptian' 'ireland' 'irish'], predicted=irish
question=['egypt' 'egyptian' 'israel' 'israeli'], predicted=israeli
question=['egypt' 'egyptian' 'italy' 'italian'], predicted=italian
question=['egypt' 'egyptian' 'japan' 'japanese'], predicted=japanese
question=['egypt' 'egyptian' 'korea' 'korean'], predicted=korean
question=['egypt' 'egyptian' 'macedonia' 'macedonian'], predicted=macedonian
question=['egypt' 'egyptian' 'malta' 'maltese'], predicted=maltese
question=['egypt' 'egyptian' 'mexico' 'mexican'], predicted=mexican
question=['egypt' 'egyptian' 'moldova' 'moldovan'], predicted=moldovan
question=['egypt' 'egyptian' 'netherlands' 'dutch'], predicted=dutch
question=['egypt' 'egyptian' 'norway' 'norwegian'], predicted=norwegian
question=['egypt' 'egyptian' 'poland' 'polish'], predicted=polish
question=['egypt' 'egyptian' 'portugal' 'portuguese'], predicted=portuguese
question=['egypt' 'egyptian' 'russia' 'russian'], predicted=russian
question=['egypt' 'egyptian' 'spain' 'spanish'], predicted=spanish
question=['egypt' 'egyptian' 'sweden' 'swedish'], predicted=swedish
question=['egypt' 'egyptian' 'switzerland' 'swiss'], predicted=swiss
question=['egypt' 'egyptian' 'albania' 'albanian'], predicted=albanian
question=['egypt' 'egyptian' 'australia' 'australian'], predicted=australian
question=['egypt' 'egyptian' 'austria' 'austrian'], predicted=austrian
question=['egypt' 'egyptian' 'brazil' 'brazilian'], predicted=brazilian
question=['egypt' 'egyptian' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['egypt' 'egyptian' 'chile' 'chilean'], predicted=chilean
question=['egypt' 'egyptian' 'china' 'chinese'], predicted=chinese
question=['egypt' 'egyptian' 'croatia' 'croatian'], predicted=croatian
question=['england' 'english' 'france' 'french'], predicted=french
question=['england' 'english' 'germany' 'german'], predicted=german
question=['england' 'english' 'greece' 'greek'], predicted=greek
question=['england' 'english' 'iceland' 'icelandic'], predicted=icelandic
question=['england' 'english' 'ireland' 'irish'], predicted=irish
question=['england' 'english' 'israel' 'israeli'], predicted=israeli
question=['england' 'english' 'italy' 'italian'], predicted=italian
question=['england' 'english' 'japan' 'japanese'], predicted=japanese
question=['england' 'english' 'korea' 'korean'], predicted=korean
question=['england' 'english' 'malta' 'maltese'], predicted=maltese
question=['england' 'english' 'mexico' 'mexican'], predicted=mexican
question=['england' 'english' 'netherlands' 'dutch'], predicted=dutch
question=['england' 'english' 'norway' 'norwegian'], predicted=norwegian
question=['england' 'english' 'peru' 'peruvian'], predicted=peruvian
question=['england' 'english' 'poland' 'polish'], predicted=polish
question=['england' 'english' 'portugal' 'portuguese'], predicted=portuguese
question=['england' 'english' 'russia' 'russian'], predicted=russian
question=['england' 'english' 'spain' 'spanish'], predicted=spanish
question=['england' 'english' 'sweden' 'swedish'], predicted=swedish
question=['england' 'english' 'switzerland' 'swiss'], predicted=swiss
question=['england' 'english' 'albania' 'albanian'], predicted=albanian
question=['england' 'english' 'australia' 'australian'], predicted=australian
question=['england' 'english' 'brazil' 'brazilian'], predicted=brazilian
question=['england' 'english' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['england' 'english' 'china' 'chinese'], predicted=chinese
question=['england' 'english' 'croatia' 'croatian'], predicted=croatian
question=['england' 'english' 'denmark' 'danish'], predicted=danish
question=['france' 'french' 'germany' 'german'], predicted=german
question=['france' 'french' 'greece' 'greek'], predicted=greek
question=['france' 'french' 'iceland' 'icelandic'], predicted=icelandic
question=['france' 'french' 'india' 'indian'], predicted=indian
question=['france' 'french' 'ireland' 'irish'], predicted=irish
question=['france' 'french' 'israel' 'israeli'], predicted=israeli
question=['france' 'french' 'italy' 'italian'], predicted=italian
question=['france' 'french' 'japan' 'japanese'], predicted=japanese
question=['france' 'french' 'korea' 'korean'], predicted=korean
question=['france' 'french' 'macedonia' 'macedonian'], predicted=macedonian
question=['france' 'french' 'malta' 'maltese'], predicted=maltese
question=['france' 'french' 'mexico' 'mexican'], predicted=mexican
question=['france' 'french' 'netherlands' 'dutch'], predicted=dutch
question=['france' 'french' 'norway' 'norwegian'], predicted=norwegian
question=['france' 'french' 'peru' 'peruvian'], predicted=peruvian
question=['france' 'french' 'poland' 'polish'], predicted=polish
question=['france' 'french' 'portugal' 'portuguese'], predicted=portuguese
question=['france' 'french' 'russia' 'russian'], predicted=russian
question=['france' 'french' 'spain' 'spanish'], predicted=spanish
question=['france' 'french' 'sweden' 'swedish'], predicted=swedish
question=['france' 'french' 'switzerland' 'swiss'], predicted=swiss
question=['france' 'french' 'albania' 'albanian'], predicted=albanian
question=['france' 'french' 'australia' 'australian'], predicted=australian
question=['france' 'french' 'austria' 'austrian'], predicted=austrian
question=['france' 'french' 'brazil' 'brazilian'], predicted=brazilian
question=['france' 'french' 'bulgaria' 'bulgarian'], predicted=bulgarian
question=['france' 'french' 'chile' 'chilean'], predicted=chilean
question=['france' 'french' 'china' 'chinese'], predicted=chinese
question=['france' 'french' 'colombia' 'colombian'], predicted=colombian
question=['france' 'french' 'croatia' 'croatian'], predicted=croatian
question=['france' 'french' 'denmark' 'danish'], predicted=danish
question=['france' 'french' 'egypt' 'egyptian'], predicted=egyptian
question=['germany' 'german' 'greece' 'greek'], predicted=greek
question=['germany' 'german' 'iceland' 'icelandic'], predicted=icelandic
question=['germany' 'german' 'india' 'indian'], predicted=indian
question=['germany' 'german' 'ireland' 'irish'], predicted=irish
question=['germany' 'german' 'israel' 'israeli'], predicted=israeli
question=['germany' 'german' 'italy' 'italian'], predicted=italian
question=['germany' 'german' 'japan' 'japanese'], predicted=japanese
question=['germany' 'german' 'korea' 'korean'], predicted=korean
