question=['bad' 'worst' 'big' 'biggest'], predicted=bang
question=['cold' 'coldest' 'young' 'youngest'], predicted=younger
question=['cold' 'coldest' 'bad' 'worst'], predicted=good
question=['cold' 'coldest' 'bright' 'brightest'], predicted=brighter
question=['cool' 'coolest' 'dark' 'darkest'], predicted=grey
question=['cool' 'coolest' 'easy' 'easiest'], predicted=unnecessary
question=['cool' 'coolest' 'fast' 'fastest'], predicted=klia
question=['cool' 'coolest' 'good' 'best'], predicted=fact
question=['cool' 'coolest' 'great' 'greatest'], predicted=goethe
question=['cool' 'coolest' 'hot' 'hottest'], predicted=spots
question=['cool' 'coolest' 'large' 'largest'], predicted=small
question=['cool' 'coolest' 'low' 'lowest'], predicted=high
question=['cool' 'coolest' 'lucky' 'luckiest'], predicted=keitel
question=['cool' 'coolest' 'old' 'oldest'], predicted=cker
question=['cool' 'coolest' 'quick' 'quickest'], predicted=cancellation
question=['cool' 'coolest' 'sharp' 'sharpest'], predicted=recognisable
question=['cool' 'coolest' 'simple' 'simplest'], predicted=complicated
question=['cool' 'coolest' 'short' 'shortest'], predicted=long
question=['cool' 'coolest' 'slow' 'slowest'], predicted=peacemaker
question=['cool' 'coolest' 'small' 'smallest'], predicted=large
question=['cool' 'coolest' 'smart' 'smartest'], predicted=valentino
question=['cool' 'coolest' 'strange' 'strangest'], predicted=crittenden
question=['cool' 'coolest' 'strong' 'strongest'], predicted=significant
question=['cool' 'coolest' 'sweet' 'sweetest'], predicted=sorrowful
question=['cool' 'coolest' 'tall' 'tallest'], predicted=slender
question=['cool' 'coolest' 'warm' 'warmest'], predicted=lifespans
question=['cool' 'coolest' 'weak' 'weakest'], predicted=regressed
question=['cool' 'coolest' 'wide' 'widest'], predicted=range
question=['cool' 'coolest' 'young' 'youngest'], predicted=adolescent
question=['cool' 'coolest' 'bad' 'worst'], predicted=bentheim
question=['cool' 'coolest' 'big' 'biggest'], predicted=walkways
question=['cool' 'coolest' 'bright' 'brightest'], predicted=brighter
question=['cool' 'coolest' 'cold' 'coldest'], predicted=volkssturm
question=['dark' 'darkest' 'easy' 'easiest'], predicted=hour
question=['dark' 'darkest' 'fast' 'fastest'], predicted=hour
question=['dark' 'darkest' 'good' 'best'], predicted=bad
question=['dark' 'darkest' 'great' 'greatest'], predicted=considerable
question=['dark' 'darkest' 'high' 'highest'], predicted=low
question=['dark' 'darkest' 'hot' 'hottest'], predicted=humid
question=['dark' 'darkest' 'large' 'largest'], predicted=huge
question=['dark' 'darkest' 'long' 'longest'], predicted=hour
question=['dark' 'darkest' 'low' 'lowest'], predicted=high
question=['dark' 'darkest' 'lucky' 'luckiest'], predicted=hour
question=['dark' 'darkest' 'old' 'oldest'], predicted=hour
question=['dark' 'darkest' 'quick' 'quickest'], predicted=stopgap
question=['dark' 'darkest' 'sharp' 'sharpest'], predicted=farel
question=['dark' 'darkest' 'simple' 'simplest'], predicted=routines
question=['dark' 'darkest' 'short' 'shortest'], predicted=hour
question=['dark' 'darkest' 'slow' 'slowest'], predicted=slower
question=['dark' 'darkest' 'small' 'smallest'], predicted=large
question=['dark' 'darkest' 'smart' 'smartest'], predicted=cst
question=['dark' 'darkest' 'strange' 'strangest'], predicted=rambling
question=['dark' 'darkest' 'strong' 'strongest'], predicted=palpable
question=['dark' 'darkest' 'sweet' 'sweetest'], predicted=hangovers
question=['dark' 'darkest' 'tall' 'tallest'], predicted=feet
question=['dark' 'darkest' 'warm' 'warmest'], predicted=subtropical
question=['dark' 'darkest' 'weak' 'weakest'], predicted=mismanagement
question=['dark' 'darkest' 'wide' 'widest'], predicted=holbrook
question=['dark' 'darkest' 'young' 'youngest'], predicted=hour
question=['dark' 'darkest' 'bad' 'worst'], predicted=suffered
question=['dark' 'darkest' 'bright' 'brightest'], predicted=sturdy
question=['dark' 'darkest' 'cold' 'coldest'], predicted=worsening
question=['dark' 'darkest' 'cool' 'coolest'], predicted=winters
question=['easy' 'easiest' 'fast' 'fastest'], predicted=leg
question=['easy' 'easiest' 'good' 'best'], predicted=bad
question=['easy' 'easiest' 'great' 'greatest'], predicted=considerable
question=['easy' 'easiest' 'high' 'highest'], predicted=low
question=['easy' 'easiest' 'hot' 'hottest'], predicted=harmattan
question=['easy' 'easiest' 'large' 'largest'], predicted=huge
question=['easy' 'easiest' 'long' 'longest'], predicted=short
question=['easy' 'easiest' 'low' 'lowest'], predicted=high
question=['easy' 'easiest' 'lucky' 'luckiest'], predicted=scrooge
question=['easy' 'easiest' 'old' 'oldest'], predicted=thousand
question=['easy' 'easiest' 'quick' 'quickest'], predicted=brownian
question=['easy' 'easiest' 'sharp' 'sharpest'], predicted=signature
question=['easy' 'easiest' 'simple' 'simplest'], predicted=combination
question=['easy' 'easiest' 'short' 'shortest'], predicted=long
question=['easy' 'easiest' 'slow' 'slowest'], predicted=process
question=['easy' 'easiest' 'small' 'smallest'], predicted=large
question=['easy' 'easiest' 'smart' 'smartest'], predicted=ris
question=['easy' 'easiest' 'strange' 'strangest'], predicted=fate
question=['easy' 'easiest' 'sweet' 'sweetest'], predicted=fruits
question=['easy' 'easiest' 'tall' 'tallest'], predicted=ft
question=['easy' 'easiest' 'warm' 'warmest'], predicted=humid
question=['easy' 'easiest' 'wide' 'widest'], predicted=variety
question=['easy' 'easiest' 'young' 'youngest'], predicted=daughters
question=['easy' 'easiest' 'bad' 'worst'], predicted=good
question=['easy' 'easiest' 'big' 'biggest'], predicted=bang
question=['easy' 'easiest' 'bright' 'brightest'], predicted=brightness
question=['easy' 'easiest' 'cold' 'coldest'], predicted=wet
question=['easy' 'easiest' 'cool' 'coolest'], predicted=wet
question=['easy' 'easiest' 'dark' 'darkest'], predicted=matter
question=['fast' 'fastest' 'good' 'best'], predicted=poorest
question=['fast' 'fastest' 'great' 'greatest'], predicted=largest
question=['fast' 'fastest' 'hot' 'hottest'], predicted=temperate
question=['fast' 'fastest' 'low' 'lowest'], predicted=highest
question=['fast' 'fastest' 'lucky' 'luckiest'], predicted=biggest
question=['fast' 'fastest' 'quick' 'quickest'], predicted=profitable
question=['fast' 'fastest' 'sharp' 'sharpest'], predicted=strongest
question=['fast' 'fastest' 'short' 'shortest'], predicted=long
question=['fast' 'fastest' 'slow' 'slowest'], predicted=growth
question=['fast' 'fastest' 'small' 'smallest'], predicted=largest
question=['fast' 'fastest' 'smart' 'smartest'], predicted=stora
question=['fast' 'fastest' 'strange' 'strangest'], predicted=kwaidan
question=['fast' 'fastest' 'sweet' 'sweetest'], predicted=eurythmics
question=['fast' 'fastest' 'tall' 'tallest'], predicted=ft
question=['fast' 'fastest' 'warm' 'warmest'], predicted=temperate
question=['fast' 'fastest' 'weak' 'weakest'], predicted=strongest
question=['fast' 'fastest' 'wide' 'widest'], predicted=largest
question=['fast' 'fastest' 'young' 'youngest'], predicted=younger
question=['fast' 'fastest' 'bad' 'worst'], predicted=biggest
question=['fast' 'fastest' 'bright' 'brightest'], predicted=brighter
question=['fast' 'fastest' 'cold' 'coldest'], predicted=temperate
question=['fast' 'fastest' 'cool' 'coolest'], predicted=temperate
question=['fast' 'fastest' 'dark' 'darkest'], predicted=trellis
question=['fast' 'fastest' 'easy' 'easiest'], predicted=profitable
question=['good' 'best' 'hot' 'hottest'], predicted=oscar
question=['good' 'best' 'large' 'largest'], predicted=huge
question=['good' 'best' 'long' 'longest'], predicted=short
question=['good' 'best' 'low' 'lowest'], predicted=high
question=['good' 'best' 'lucky' 'luckiest'], predicted=award
question=['good' 'best' 'old' 'oldest'], predicted=oscar
question=['good' 'best' 'quick' 'quickest'], predicted=fastest
question=['good' 'best' 'sharp' 'sharpest'], predicted=dramatic
question=['good' 'best' 'short' 'shortest'], predicted=long
question=['good' 'best' 'slow' 'slowest'], predicted=fastest
question=['good' 'best' 'small' 'smallest'], predicted=large
question=['good' 'best' 'smart' 'smartest'], predicted=oscar
question=['good' 'best' 'strange' 'strangest'], predicted=worst
question=['good' 'best' 'sweet' 'sweetest'], predicted=nominated
question=['good' 'best' 'tall' 'tallest'], predicted=meters
question=['good' 'best' 'warm' 'warmest'], predicted=dry
question=['good' 'best' 'weak' 'weakest'], predicted=strongest
question=['good' 'best' 'wide' 'widest'], predicted=variety
question=['good' 'best' 'young' 'youngest'], predicted=award
question=['good' 'best' 'big' 'biggest'], predicted=bang
question=['good' 'best' 'bright' 'brightest'], predicted=colors
question=['good' 'best' 'cold' 'coldest'], predicted=oscar
question=['good' 'best' 'cool' 'coolest'], predicted=oscar
question=['good' 'best' 'dark' 'darkest'], predicted=award
question=['good' 'best' 'easy' 'easiest'], predicted=oscar
question=['great' 'greatest' 'high' 'highest'], predicted=low
question=['great' 'greatest' 'hot' 'hottest'], predicted=hits
question=['great' 'greatest' 'large' 'largest'], predicted=proportion
question=['great' 'greatest' 'long' 'longest'], predicted=short
question=['great' 'greatest' 'low' 'lowest'], predicted=high
question=['great' 'greatest' 'lucky' 'luckiest'], predicted=finest
question=['great' 'greatest' 'old' 'oldest'], predicted=finest
question=['great' 'greatest' 'quick' 'quickest'], predicted=latest
question=['great' 'greatest' 'sharp' 'sharpest'], predicted=milestones
question=['great' 'greatest' 'short' 'shortest'], predicted=best
question=['great' 'greatest' 'slow' 'slowest'], predicted=fastest
question=['great' 'greatest' 'small' 'smallest'], predicted=larger
question=['great' 'greatest' 'smart' 'smartest'], predicted=finest
question=['great' 'greatest' 'strange' 'strangest'], predicted=sexiest
question=['great' 'greatest' 'strong' 'strongest'], predicted=sizable
question=['great' 'greatest' 'sweet' 'sweetest'], predicted=manioc
question=['great' 'greatest' 'tall' 'tallest'], predicted=finest
question=['great' 'greatest' 'warm' 'warmest'], predicted=dry
question=['great' 'greatest' 'wide' 'widest'], predicted=finest
question=['great' 'greatest' 'young' 'youngest'], predicted=youth
question=['great' 'greatest' 'bad' 'worst'], predicted=finest
question=['great' 'greatest' 'bright' 'brightest'], predicted=stars
question=['great' 'greatest' 'cold' 'coldest'], predicted=warm
question=['great' 'greatest' 'cool' 'coolest'], predicted=dry
question=['great' 'greatest' 'dark' 'darkest'], predicted=finest
question=['great' 'greatest' 'easy' 'easiest'], predicted=useful
question=['great' 'greatest' 'good' 'best'], predicted=bad
question=['high' 'highest' 'hot' 'hottest'], predicted=billboard
question=['high' 'highest' 'lucky' 'luckiest'], predicted=lowest
question=['high' 'highest' 'quick' 'quickest'], predicted=longest
question=['high' 'highest' 'sharp' 'sharpest'], predicted=lowest
question=['high' 'highest' 'simple' 'simplest'], predicted=lowest
question=['high' 'highest' 'short' 'shortest'], predicted=longest
question=['high' 'highest' 'slow' 'slowest'], predicted=fastest
question=['high' 'highest' 'small' 'smallest'], predicted=largest
question=['high' 'highest' 'smart' 'smartest'], predicted=edwardian
question=['high' 'highest' 'strange' 'strangest'], predicted=lowest
question=['high' 'highest' 'sweet' 'sweetest'], predicted=lowest
question=['high' 'highest' 'tall' 'tallest'], predicted=ft
question=['high' 'highest' 'warm' 'warmest'], predicted=temperate
question=['high' 'highest' 'weak' 'weakest'], predicted=lowest
question=['high' 'highest' 'wide' 'widest'], predicted=largest
question=['high' 'highest' 'young' 'youngest'], predicted=woman
question=['high' 'highest' 'bad' 'worst'], predicted=lowest
question=['high' 'highest' 'big' 'biggest'], predicted=lowest
question=['high' 'highest' 'bright' 'brightest'], predicted=lowest
question=['high' 'highest' 'cold' 'coldest'], predicted=warm
question=['high' 'highest' 'cool' 'coolest'], predicted=lowest
question=['high' 'highest' 'dark' 'darkest'], predicted=coldest
question=['high' 'highest' 'easy' 'easiest'], predicted=easier
question=['high' 'highest' 'good' 'best'], predicted=bad
question=['hot' 'hottest' 'large' 'largest'], predicted=small
question=['hot' 'hottest' 'long' 'longest'], predicted=short
question=['hot' 'hottest' 'low' 'lowest'], predicted=high
question=['hot' 'hottest' 'lucky' 'luckiest'], predicted=sergius
question=['hot' 'hottest' 'old' 'oldest'], predicted=testament
question=['hot' 'hottest' 'quick' 'quickest'], predicted=mediocre
question=['hot' 'hottest' 'sharp' 'sharpest'], predicted=treble
question=['hot' 'hottest' 'simple' 'simplest'], predicted=algorithm
question=['hot' 'hottest' 'short' 'shortest'], predicted=tolkien
question=['hot' 'hottest' 'slow' 'slowest'], predicted=rate
question=['hot' 'hottest' 'small' 'smallest'], predicted=large
question=['hot' 'hottest' 'smart' 'smartest'], predicted=upload
question=['hot' 'hottest' 'strange' 'strangest'], predicted=fantastic
question=['hot' 'hottest' 'strong' 'strongest'], predicted=weak
question=['hot' 'hottest' 'sweet' 'sweetest'], predicted=poignant
question=['hot' 'hottest' 'tall' 'tallest'], predicted=taller
question=['hot' 'hottest' 'warm' 'warmest'], predicted=rainfall
question=['hot' 'hottest' 'weak' 'weakest'], predicted=speculatively
question=['hot' 'hottest' 'wide' 'widest'], predicted=wider
question=['hot' 'hottest' 'young' 'youngest'], predicted=adult
question=['hot' 'hottest' 'bad' 'worst'], predicted=good
question=['hot' 'hottest' 'big' 'biggest'], predicted=abrasax
question=['hot' 'hottest' 'bright' 'brightest'], predicted=brighter
question=['hot' 'hottest' 'cold' 'coldest'], predicted=mato
question=['hot' 'hottest' 'cool' 'coolest'], predicted=humidity
question=['hot' 'hottest' 'dark' 'darkest'], predicted=kult
question=['hot' 'hottest' 'easy' 'easiest'], predicted=impossible
question=['hot' 'hottest' 'fast' 'fastest'], predicted=postponed
question=['hot' 'hottest' 'good' 'best'], predicted=bad
question=['hot' 'hottest' 'great' 'greatest'], predicted=cameroons
question=['hot' 'hottest' 'high' 'highest'], predicted=low
question=['large' 'largest' 'low' 'lowest'], predicted=highest
question=['large' 'largest' 'lucky' 'luckiest'], predicted=corry
question=['large' 'largest' 'quick' 'quickest'], predicted=longest
question=['large' 'largest' 'sharp' 'sharpest'], predicted=seventh
question=['large' 'largest' 'simple' 'simplest'], predicted=oldest
question=['large' 'largest' 'short' 'shortest'], predicted=longest
question=['large' 'largest' 'slow' 'slowest'], predicted=fastest
question=['large' 'largest' 'small' 'smallest'], predicted=biggest
question=['large' 'largest' 'smart' 'smartest'], predicted=oldest
question=['large' 'largest' 'strange' 'strangest'], predicted=fourth
question=['large' 'largest' 'sweet' 'sweetest'], predicted=honey
question=['large' 'largest' 'warm' 'warmest'], predicted=humid
question=['large' 'largest' 'weak' 'weakest'], predicted=populous
question=['large' 'largest' 'wide' 'widest'], predicted=oldest
question=['large' 'largest' 'bad' 'worst'], predicted=biggest
question=['large' 'largest' 'bright' 'brightest'], predicted=blue
question=['large' 'largest' 'cold' 'coldest'], predicted=gulf
question=['large' 'largest' 'cool' 'coolest'], predicted=winters
question=['large' 'largest' 'dark' 'darkest'], predicted=fourth
question=['large' 'largest' 'easy' 'easiest'], predicted=impossible
question=['large' 'largest' 'good' 'best'], predicted=bad
question=['large' 'largest' 'great' 'greatest'], predicted=longest
question=['large' 'largest' 'hot' 'hottest'], predicted=biggest
question=['long' 'longest' 'low' 'lowest'], predicted=highest
question=['long' 'longest' 'lucky' 'luckiest'], predicted=alive
question=['long' 'longest' 'quick' 'quickest'], predicted=thumbnails
question=['long' 'longest' 'sharp' 'sharpest'], predicted=steepest
question=['long' 'longest' 'slow' 'slowest'], predicted=fastest
question=['long' 'longest' 'small' 'smallest'], predicted=largest
question=['long' 'longest' 'smart' 'smartest'], predicted=spaceflights
question=['long' 'longest' 'strange' 'strangest'], predicted=wonder
question=['long' 'longest' 'sweet' 'sweetest'], predicted=breadfruit
question=['long' 'longest' 'warm' 'warmest'], predicted=cooler
question=['long' 'longest' 'weak' 'weakest'], predicted=cti
question=['long' 'longest' 'wide' 'widest'], predicted=largest
question=['long' 'longest' 'bad' 'worst'], predicted=ugly
question=['long' 'longest' 'bright' 'brightest'], predicted=brighter
question=['long' 'longest' 'cold' 'coldest'], predicted=warm
question=['long' 'longest' 'cool' 'coolest'], predicted=coldest
question=['long' 'longest' 'dark' 'darkest'], predicted=coldest
question=['long' 'longest' 'easy' 'easiest'], predicted=easier
question=['long' 'longest' 'good' 'best'], predicted=bad
question=['long' 'longest' 'hot' 'hottest'], predicted=coldest
question=['low' 'lowest' 'lucky' 'luckiest'], predicted=dont
question=['low' 'lowest' 'quick' 'quickest'], predicted=lagenorhynchus
question=['low' 'lowest' 'sharp' 'sharpest'], predicted=signature
question=['low' 'lowest' 'slow' 'slowest'], predicted=slowed
question=['low' 'lowest' 'smart' 'smartest'], predicted=ronan
question=['low' 'lowest' 'strange' 'strangest'], predicted=weird
question=['low' 'lowest' 'strong' 'strongest'], predicted=dominant
question=['low' 'lowest' 'sweet' 'sweetest'], predicted=fruit
question=['low' 'lowest' 'tall' 'tallest'], predicted=feet
question=['low' 'lowest' 'warm' 'warmest'], predicted=extremes
question=['low' 'lowest' 'weak' 'weakest'], predicted=eh
question=['low' 'lowest' 'wide' 'widest'], predicted=highest
question=['low' 'lowest' 'young' 'youngest'], predicted=women
question=['low' 'lowest' 'bad' 'worst'], predicted=luck
question=['low' 'lowest' 'big' 'biggest'], predicted=bang
question=['low' 'lowest' 'bright' 'brightest'], predicted=canis
question=['low' 'lowest' 'cold' 'coldest'], predicted=extremes
question=['low' 'lowest' 'cool' 'coolest'], predicted=hottest
question=['low' 'lowest' 'dark' 'darkest'], predicted=coldest
question=['low' 'lowest' 'easy' 'easiest'], predicted=convenient
question=['low' 'lowest' 'fast' 'fastest'], predicted=extremes
question=['low' 'lowest' 'good' 'best'], predicted=temperament
question=['low' 'lowest' 'great' 'greatest'], predicted=highest
question=['low' 'lowest' 'hot' 'hottest'], predicted=extremes
question=['lucky' 'luckiest' 'old' 'oldest'], predicted=malm
question=['lucky' 'luckiest' 'quick' 'quickest'], predicted=clu
question=['lucky' 'luckiest' 'sharp' 'sharpest'], predicted=fissures
question=['lucky' 'luckiest' 'simple' 'simplest'], predicted=applications
question=['lucky' 'luckiest' 'short' 'shortest'], predicted=third
question=['lucky' 'luckiest' 'slow' 'slowest'], predicted=pace
question=['lucky' 'luckiest' 'small' 'smallest'], predicted=large
question=['lucky' 'luckiest' 'smart' 'smartest'], predicted=tees
question=['lucky' 'luckiest' 'strange' 'strangest'], predicted=inexplicable
question=['lucky' 'luckiest' 'strong' 'strongest'], predicted=presence
question=['lucky' 'luckiest' 'sweet' 'sweetest'], predicted=pickles
question=['lucky' 'luckiest' 'tall' 'tallest'], predicted=taller
question=['lucky' 'luckiest' 'warm' 'warmest'], predicted=blooded
question=['lucky' 'luckiest' 'weak' 'weakest'], predicted=interaction
question=['lucky' 'luckiest' 'wide' 'widest'], predicted=variety
question=['lucky' 'luckiest' 'young' 'youngest'], predicted=rugby
question=['lucky' 'luckiest' 'bad' 'worst'], predicted=justifies
question=['lucky' 'luckiest' 'big' 'biggest'], predicted=crunch
question=['lucky' 'luckiest' 'bright' 'brightest'], predicted=sky
question=['lucky' 'luckiest' 'cold' 'coldest'], predicted=subarctic
question=['lucky' 'luckiest' 'cool' 'coolest'], predicted=summers
question=['lucky' 'luckiest' 'dark' 'darkest'], predicted=mordor
question=['lucky' 'luckiest' 'easy' 'easiest'], predicted=clu
question=['lucky' 'luckiest' 'fast' 'fastest'], predicted=cricket
question=['lucky' 'luckiest' 'good' 'best'], predicted=affectation
question=['lucky' 'luckiest' 'great' 'greatest'], predicted=footballing
question=['lucky' 'luckiest' 'high' 'highest'], predicted=low
question=['lucky' 'luckiest' 'hot' 'hottest'], predicted=seeps
question=['lucky' 'luckiest' 'large' 'largest'], predicted=small
question=['lucky' 'luckiest' 'long' 'longest'], predicted=cotswold
question=['lucky' 'luckiest' 'low' 'lowest'], predicted=high
question=['old' 'oldest' 'quick' 'quickest'], predicted=fastest
question=['old' 'oldest' 'sharp' 'sharpest'], predicted=gmsk
question=['old' 'oldest' 'short' 'shortest'], predicted=longest
question=['old' 'oldest' 'slow' 'slowest'], predicted=fastest
question=['old' 'oldest' 'small' 'smallest'], predicted=largest
question=['old' 'oldest' 'smart' 'smartest'], predicted=brook
question=['old' 'oldest' 'strange' 'strangest'], predicted=hailstones
question=['old' 'oldest' 'sweet' 'sweetest'], predicted=honey
question=['old' 'oldest' 'warm' 'warmest'], predicted=humid
question=['old' 'oldest' 'weak' 'weakest'], predicted=strong
question=['old' 'oldest' 'wide' 'widest'], predicted=largest
question=['old' 'oldest' 'bad' 'worst'], predicted=biggest
question=['old' 'oldest' 'bright' 'brightest'], predicted=chewy
question=['old' 'oldest' 'cold' 'coldest'], predicted=drying
question=['old' 'oldest' 'cool' 'coolest'], predicted=humid
question=['old' 'oldest' 'dark' 'darkest'], predicted=cosmic
question=['old' 'oldest' 'easy' 'easiest'], predicted=impossible
question=['old' 'oldest' 'good' 'best'], predicted=greatest
question=['old' 'oldest' 'high' 'highest'], predicted=low
question=['old' 'oldest' 'hot' 'hottest'], predicted=humid
question=['old' 'oldest' 'low' 'lowest'], predicted=lower
question=['old' 'oldest' 'lucky' 'luckiest'], predicted=famed
question=['quick' 'quickest' 'sharp' 'sharpest'], predicted=corwin
question=['quick' 'quickest' 'simple' 'simplest'], predicted=straightforward
question=['quick' 'quickest' 'short' 'shortest'], predicted=long
question=['quick' 'quickest' 'slow' 'slowest'], predicted=rate
question=['quick' 'quickest' 'small' 'smallest'], predicted=around
question=['quick' 'quickest' 'smart' 'smartest'], predicted=trove
question=['quick' 'quickest' 'strange' 'strangest'], predicted=enchanting
question=['quick' 'quickest' 'sweet' 'sweetest'], predicted=malts
question=['quick' 'quickest' 'warm' 'warmest'], predicted=dry
question=['quick' 'quickest' 'weak' 'weakest'], predicted=hbr
question=['quick' 'quickest' 'wide' 'widest'], predicted=range
question=['quick' 'quickest' 'young' 'youngest'], predicted=adults
question=['quick' 'quickest' 'bad' 'worst'], predicted=good
