question=['banana' 'bananas' 'bird' 'birds'], predicted=birds
question=['bottle' 'bottles' 'dog' 'dogs'], predicted=dogs
question=['bottle' 'bottles' 'elephant' 'elephants'], predicted=elephants
question=['bottle' 'bottles' 'goat' 'goats'], predicted=goats
question=['bottle' 'bottles' 'horse' 'horses'], predicted=horses
question=['bottle' 'bottles' 'machine' 'machines'], predicted=machines
question=['bottle' 'bottles' 'man' 'men'], predicted=men
question=['bottle' 'bottles' 'road' 'roads'], predicted=roads
question=['bottle' 'bottles' 'bird' 'birds'], predicted=birds
question=['building' 'buildings' 'car' 'cars'], predicted=cars
question=['building' 'buildings' 'cat' 'cats'], predicted=cats
question=['building' 'buildings' 'child' 'children'], predicted=children
question=['building' 'buildings' 'cloud' 'clouds'], predicted=clouds
question=['building' 'buildings' 'color' 'colors'], predicted=colors
question=['building' 'buildings' 'computer' 'computers'], predicted=computers
question=['building' 'buildings' 'dog' 'dogs'], predicted=dogs
question=['building' 'buildings' 'dollar' 'dollars'], predicted=dollars
question=['building' 'buildings' 'dream' 'dreams'], predicted=dreams
question=['building' 'buildings' 'elephant' 'elephants'], predicted=elephants
question=['building' 'buildings' 'eye' 'eyes'], predicted=eyes
question=['building' 'buildings' 'finger' 'fingers'], predicted=fingers
question=['building' 'buildings' 'goat' 'goats'], predicted=goats
question=['building' 'buildings' 'hand' 'hands'], predicted=hands
question=['building' 'buildings' 'horse' 'horses'], predicted=horses
question=['building' 'buildings' 'man' 'men'], predicted=men
question=['building' 'buildings' 'mouse' 'mice'], predicted=mice
question=['building' 'buildings' 'rat' 'rats'], predicted=rats
question=['building' 'buildings' 'road' 'roads'], predicted=roads
question=['building' 'buildings' 'bird' 'birds'], predicted=birds
question=['car' 'cars' 'cat' 'cats'], predicted=cats
question=['car' 'cars' 'child' 'children'], predicted=children
question=['car' 'cars' 'cloud' 'clouds'], predicted=clouds
question=['car' 'cars' 'color' 'colors'], predicted=colors
question=['car' 'cars' 'computer' 'computers'], predicted=computers
question=['car' 'cars' 'dog' 'dogs'], predicted=dogs
question=['car' 'cars' 'dollar' 'dollars'], predicted=dollars
question=['car' 'cars' 'dream' 'dreams'], predicted=dreams
question=['car' 'cars' 'elephant' 'elephants'], predicted=elephants
question=['car' 'cars' 'eye' 'eyes'], predicted=eyes
question=['car' 'cars' 'finger' 'fingers'], predicted=fingers
question=['car' 'cars' 'goat' 'goats'], predicted=goats
question=['car' 'cars' 'hand' 'hands'], predicted=hands
question=['car' 'cars' 'horse' 'horses'], predicted=horses
question=['car' 'cars' 'man' 'men'], predicted=men
question=['car' 'cars' 'mouse' 'mice'], predicted=mice
question=['car' 'cars' 'road' 'roads'], predicted=roads
question=['car' 'cars' 'woman' 'women'], predicted=women
question=['car' 'cars' 'bird' 'birds'], predicted=birds
question=['car' 'cars' 'building' 'buildings'], predicted=buildings
question=['cat' 'cats' 'child' 'children'], predicted=children
question=['cat' 'cats' 'cloud' 'clouds'], predicted=clouds
question=['cat' 'cats' 'color' 'colors'], predicted=colors
question=['cat' 'cats' 'computer' 'computers'], predicted=computers
question=['cat' 'cats' 'dog' 'dogs'], predicted=dogs
question=['cat' 'cats' 'dollar' 'dollars'], predicted=dollars
question=['cat' 'cats' 'dream' 'dreams'], predicted=dreams
question=['cat' 'cats' 'elephant' 'elephants'], predicted=elephants
question=['cat' 'cats' 'finger' 'fingers'], predicted=fingers
question=['cat' 'cats' 'goat' 'goats'], predicted=goats
question=['cat' 'cats' 'horse' 'horses'], predicted=horses
question=['cat' 'cats' 'lion' 'lions'], predicted=lions
question=['cat' 'cats' 'man' 'men'], predicted=men
question=['cat' 'cats' 'mouse' 'mice'], predicted=mice
question=['cat' 'cats' 'pig' 'pigs'], predicted=pigs
question=['cat' 'cats' 'road' 'roads'], predicted=roads
question=['cat' 'cats' 'bird' 'birds'], predicted=birds
question=['cat' 'cats' 'building' 'buildings'], predicted=buildings
question=['cat' 'cats' 'car' 'cars'], predicted=cars
question=['child' 'children' 'cloud' 'clouds'], predicted=clouds
question=['child' 'children' 'color' 'colors'], predicted=colors
question=['child' 'children' 'computer' 'computers'], predicted=computers
question=['child' 'children' 'dog' 'dogs'], predicted=dogs
question=['child' 'children' 'dollar' 'dollars'], predicted=dollars
question=['child' 'children' 'dream' 'dreams'], predicted=dreams
question=['child' 'children' 'elephant' 'elephants'], predicted=elephants
question=['child' 'children' 'eye' 'eyes'], predicted=eyes
question=['child' 'children' 'finger' 'fingers'], predicted=fingers
question=['child' 'children' 'goat' 'goats'], predicted=goats
question=['child' 'children' 'horse' 'horses'], predicted=horses
question=['child' 'children' 'machine' 'machines'], predicted=machines
question=['child' 'children' 'man' 'men'], predicted=men
question=['child' 'children' 'road' 'roads'], predicted=roads
question=['child' 'children' 'woman' 'women'], predicted=women
question=['child' 'children' 'bird' 'birds'], predicted=birds
question=['child' 'children' 'bottle' 'bottles'], predicted=bottles
question=['child' 'children' 'building' 'buildings'], predicted=buildings
question=['child' 'children' 'car' 'cars'], predicted=cars
question=['child' 'children' 'cat' 'cats'], predicted=cats
question=['cloud' 'clouds' 'color' 'colors'], predicted=colors
question=['cloud' 'clouds' 'computer' 'computers'], predicted=computers
question=['cloud' 'clouds' 'dog' 'dogs'], predicted=dogs
question=['cloud' 'clouds' 'dream' 'dreams'], predicted=dreams
question=['cloud' 'clouds' 'elephant' 'elephants'], predicted=elephants
question=['cloud' 'clouds' 'finger' 'fingers'], predicted=fingers
question=['cloud' 'clouds' 'goat' 'goats'], predicted=goats
question=['cloud' 'clouds' 'horse' 'horses'], predicted=horses
question=['cloud' 'clouds' 'machine' 'machines'], predicted=machines
question=['cloud' 'clouds' 'man' 'men'], predicted=men
question=['cloud' 'clouds' 'road' 'roads'], predicted=roads
question=['cloud' 'clouds' 'bird' 'birds'], predicted=birds
question=['cloud' 'clouds' 'building' 'buildings'], predicted=buildings
question=['cloud' 'clouds' 'cat' 'cats'], predicted=cats
question=['cloud' 'clouds' 'child' 'children'], predicted=children
question=['color' 'colors' 'computer' 'computers'], predicted=computers
question=['color' 'colors' 'dollar' 'dollars'], predicted=dollars
question=['color' 'colors' 'dream' 'dreams'], predicted=dreams
question=['color' 'colors' 'elephant' 'elephants'], predicted=elephants
question=['color' 'colors' 'eye' 'eyes'], predicted=eyes
question=['color' 'colors' 'finger' 'fingers'], predicted=fingers
question=['color' 'colors' 'goat' 'goats'], predicted=goats
question=['color' 'colors' 'horse' 'horses'], predicted=horses
question=['color' 'colors' 'machine' 'machines'], predicted=machines
question=['color' 'colors' 'man' 'men'], predicted=men
question=['color' 'colors' 'mouse' 'mice'], predicted=mice
question=['color' 'colors' 'pig' 'pigs'], predicted=pigs
question=['color' 'colors' 'road' 'roads'], predicted=roads
question=['color' 'colors' 'woman' 'women'], predicted=women
question=['color' 'colors' 'bird' 'birds'], predicted=birds
question=['color' 'colors' 'bottle' 'bottles'], predicted=bottles
question=['color' 'colors' 'building' 'buildings'], predicted=buildings
question=['color' 'colors' 'car' 'cars'], predicted=cars
question=['color' 'colors' 'child' 'children'], predicted=children
question=['color' 'colors' 'cloud' 'clouds'], predicted=clouds
question=['computer' 'computers' 'dog' 'dogs'], predicted=dogs
question=['computer' 'computers' 'dollar' 'dollars'], predicted=dollars
question=['computer' 'computers' 'dream' 'dreams'], predicted=dreams
question=['computer' 'computers' 'elephant' 'elephants'], predicted=elephants
question=['computer' 'computers' 'eye' 'eyes'], predicted=eyes
question=['computer' 'computers' 'finger' 'fingers'], predicted=fingers
question=['computer' 'computers' 'goat' 'goats'], predicted=goats
question=['computer' 'computers' 'hand' 'hands'], predicted=hands
question=['computer' 'computers' 'horse' 'horses'], predicted=horses
question=['computer' 'computers' 'machine' 'machines'], predicted=machines
question=['computer' 'computers' 'man' 'men'], predicted=men
question=['computer' 'computers' 'mouse' 'mice'], predicted=mice
question=['computer' 'computers' 'road' 'roads'], predicted=roads
question=['computer' 'computers' 'bird' 'birds'], predicted=birds
question=['computer' 'computers' 'bottle' 'bottles'], predicted=bottles
question=['computer' 'computers' 'building' 'buildings'], predicted=buildings
question=['computer' 'computers' 'car' 'cars'], predicted=cars
question=['computer' 'computers' 'cat' 'cats'], predicted=cats
question=['computer' 'computers' 'child' 'children'], predicted=children
question=['computer' 'computers' 'cloud' 'clouds'], predicted=clouds
question=['computer' 'computers' 'color' 'colors'], predicted=colors
question=['cow' 'cows' 'dog' 'dogs'], predicted=dogs
question=['cow' 'cows' 'dollar' 'dollars'], predicted=dollars
question=['cow' 'cows' 'dream' 'dreams'], predicted=dreams
question=['cow' 'cows' 'elephant' 'elephants'], predicted=elephants
question=['cow' 'cows' 'eye' 'eyes'], predicted=eyes
question=['cow' 'cows' 'goat' 'goats'], predicted=goats
question=['cow' 'cows' 'horse' 'horses'], predicted=horses
question=['cow' 'cows' 'man' 'men'], predicted=men
question=['cow' 'cows' 'mouse' 'mice'], predicted=mice
question=['cow' 'cows' 'road' 'roads'], predicted=roads
question=['cow' 'cows' 'woman' 'women'], predicted=women
question=['cow' 'cows' 'bird' 'birds'], predicted=birds
question=['cow' 'cows' 'building' 'buildings'], predicted=buildings
question=['cow' 'cows' 'car' 'cars'], predicted=cars
question=['cow' 'cows' 'cat' 'cats'], predicted=cats
question=['cow' 'cows' 'child' 'children'], predicted=children
question=['cow' 'cows' 'cloud' 'clouds'], predicted=clouds
question=['cow' 'cows' 'computer' 'computers'], predicted=computers
question=['dog' 'dogs' 'dollar' 'dollars'], predicted=dollars
question=['dog' 'dogs' 'dream' 'dreams'], predicted=dreams
question=['dog' 'dogs' 'elephant' 'elephants'], predicted=elephants
question=['dog' 'dogs' 'finger' 'fingers'], predicted=fingers
question=['dog' 'dogs' 'goat' 'goats'], predicted=goats
question=['dog' 'dogs' 'horse' 'horses'], predicted=horses
question=['dog' 'dogs' 'man' 'men'], predicted=men
question=['dog' 'dogs' 'mouse' 'mice'], predicted=mice
question=['dog' 'dogs' 'pig' 'pigs'], predicted=pigs
question=['dog' 'dogs' 'pineapple' 'pineapples'], predicted=pineapples
question=['dog' 'dogs' 'rat' 'rats'], predicted=rats
question=['dog' 'dogs' 'road' 'roads'], predicted=roads
question=['dog' 'dogs' 'woman' 'women'], predicted=women
question=['dog' 'dogs' 'bird' 'birds'], predicted=birds
question=['dog' 'dogs' 'bottle' 'bottles'], predicted=bottles
question=['dog' 'dogs' 'building' 'buildings'], predicted=buildings
question=['dog' 'dogs' 'car' 'cars'], predicted=cars
question=['dog' 'dogs' 'cat' 'cats'], predicted=cats
question=['dog' 'dogs' 'child' 'children'], predicted=children
question=['dog' 'dogs' 'cloud' 'clouds'], predicted=clouds
question=['dog' 'dogs' 'computer' 'computers'], predicted=computers
question=['dollar' 'dollars' 'dream' 'dreams'], predicted=dreams
question=['dollar' 'dollars' 'elephant' 'elephants'], predicted=elephants
question=['dollar' 'dollars' 'goat' 'goats'], predicted=goats
question=['dollar' 'dollars' 'horse' 'horses'], predicted=horses
question=['dollar' 'dollars' 'machine' 'machines'], predicted=machines
question=['dollar' 'dollars' 'man' 'men'], predicted=men
question=['dollar' 'dollars' 'mouse' 'mice'], predicted=mice
question=['dollar' 'dollars' 'road' 'roads'], predicted=roads
question=['dollar' 'dollars' 'woman' 'women'], predicted=women
question=['dollar' 'dollars' 'bird' 'birds'], predicted=birds
question=['dollar' 'dollars' 'building' 'buildings'], predicted=buildings
question=['dollar' 'dollars' 'car' 'cars'], predicted=cars
question=['dollar' 'dollars' 'cat' 'cats'], predicted=cats
question=['dollar' 'dollars' 'child' 'children'], predicted=children
question=['dollar' 'dollars' 'cloud' 'clouds'], predicted=clouds
question=['dollar' 'dollars' 'computer' 'computers'], predicted=computers
question=['dollar' 'dollars' 'dog' 'dogs'], predicted=dogs
question=['donkey' 'donkeys' 'dream' 'dreams'], predicted=dreams
question=['donkey' 'donkeys' 'elephant' 'elephants'], predicted=elephants
question=['donkey' 'donkeys' 'goat' 'goats'], predicted=goats
question=['donkey' 'donkeys' 'horse' 'horses'], predicted=horses
question=['donkey' 'donkeys' 'man' 'men'], predicted=men
question=['donkey' 'donkeys' 'mouse' 'mice'], predicted=mice
question=['donkey' 'donkeys' 'woman' 'women'], predicted=women
question=['donkey' 'donkeys' 'bird' 'birds'], predicted=birds
question=['donkey' 'donkeys' 'car' 'cars'], predicted=cars
question=['donkey' 'donkeys' 'computer' 'computers'], predicted=computers
question=['donkey' 'donkeys' 'dog' 'dogs'], predicted=dogs
question=['dream' 'dreams' 'elephant' 'elephants'], predicted=elephants
question=['dream' 'dreams' 'finger' 'fingers'], predicted=fingers
question=['dream' 'dreams' 'goat' 'goats'], predicted=goats
question=['dream' 'dreams' 'horse' 'horses'], predicted=horses
question=['dream' 'dreams' 'machine' 'machines'], predicted=machines
question=['dream' 'dreams' 'man' 'men'], predicted=men
question=['dream' 'dreams' 'road' 'roads'], predicted=roads
question=['dream' 'dreams' 'bird' 'birds'], predicted=birds
question=['dream' 'dreams' 'building' 'buildings'], predicted=buildings
question=['dream' 'dreams' 'car' 'cars'], predicted=cars
question=['dream' 'dreams' 'cat' 'cats'], predicted=cats
question=['dream' 'dreams' 'child' 'children'], predicted=children
question=['dream' 'dreams' 'cloud' 'clouds'], predicted=clouds
question=['dream' 'dreams' 'computer' 'computers'], predicted=computers
question=['dream' 'dreams' 'dog' 'dogs'], predicted=dogs
question=['eagle' 'eagles' 'elephant' 'elephants'], predicted=elephants
question=['eagle' 'eagles' 'eye' 'eyes'], predicted=eyes
question=['eagle' 'eagles' 'finger' 'fingers'], predicted=fingers
question=['eagle' 'eagles' 'horse' 'horses'], predicted=horses
question=['eagle' 'eagles' 'lion' 'lions'], predicted=lions
question=['eagle' 'eagles' 'machine' 'machines'], predicted=machines
question=['eagle' 'eagles' 'man' 'men'], predicted=men
question=['eagle' 'eagles' 'mouse' 'mice'], predicted=mice
question=['eagle' 'eagles' 'road' 'roads'], predicted=roads
question=['eagle' 'eagles' 'woman' 'women'], predicted=women
question=['eagle' 'eagles' 'bird' 'birds'], predicted=birds
question=['eagle' 'eagles' 'building' 'buildings'], predicted=buildings
question=['eagle' 'eagles' 'car' 'cars'], predicted=cars
question=['eagle' 'eagles' 'cat' 'cats'], predicted=cats
question=['eagle' 'eagles' 'computer' 'computers'], predicted=computers
question=['eagle' 'eagles' 'cow' 'cows'], predicted=cows
question=['eagle' 'eagles' 'dog' 'dogs'], predicted=dogs
question=['eagle' 'eagles' 'dollar' 'dollars'], predicted=dollars
question=['eagle' 'eagles' 'dream' 'dreams'], predicted=dreams
question=['elephant' 'elephants' 'eye' 'eyes'], predicted=eyes
question=['elephant' 'elephants' 'finger' 'fingers'], predicted=fingers
question=['elephant' 'elephants' 'goat' 'goats'], predicted=goats
question=['elephant' 'elephants' 'horse' 'horses'], predicted=horses
question=['elephant' 'elephants' 'man' 'men'], predicted=men
question=['elephant' 'elephants' 'mouse' 'mice'], predicted=mice
question=['elephant' 'elephants' 'bird' 'birds'], predicted=birds
question=['elephant' 'elephants' 'building' 'buildings'], predicted=buildings
question=['elephant' 'elephants' 'car' 'cars'], predicted=cars
question=['elephant' 'elephants' 'child' 'children'], predicted=children
question=['elephant' 'elephants' 'cloud' 'clouds'], predicted=clouds
question=['elephant' 'elephants' 'computer' 'computers'], predicted=computers
question=['elephant' 'elephants' 'dog' 'dogs'], predicted=dogs
question=['elephant' 'elephants' 'dollar' 'dollars'], predicted=dollars
question=['elephant' 'elephants' 'dream' 'dreams'], predicted=dreams
question=['eye' 'eyes' 'finger' 'fingers'], predicted=fingers
question=['eye' 'eyes' 'goat' 'goats'], predicted=goats
question=['eye' 'eyes' 'hand' 'hands'], predicted=hands
question=['eye' 'eyes' 'horse' 'horses'], predicted=horses
question=['eye' 'eyes' 'man' 'men'], predicted=men
question=['eye' 'eyes' 'mouse' 'mice'], predicted=mice
question=['eye' 'eyes' 'car' 'cars'], predicted=cars
question=['eye' 'eyes' 'child' 'children'], predicted=children
question=['eye' 'eyes' 'cloud' 'clouds'], predicted=clouds
question=['eye' 'eyes' 'computer' 'computers'], predicted=computers
question=['eye' 'eyes' 'dog' 'dogs'], predicted=dogs
question=['eye' 'eyes' 'dollar' 'dollars'], predicted=dollars
question=['eye' 'eyes' 'dream' 'dreams'], predicted=dreams
question=['eye' 'eyes' 'elephant' 'elephants'], predicted=elephants
question=['finger' 'fingers' 'hand' 'hands'], predicted=hands
question=['finger' 'fingers' 'horse' 'horses'], predicted=horses
question=['finger' 'fingers' 'machine' 'machines'], predicted=machines
question=['finger' 'fingers' 'mouse' 'mice'], predicted=mice
question=['finger' 'fingers' 'pig' 'pigs'], predicted=pigs
question=['finger' 'fingers' 'bird' 'birds'], predicted=birds
question=['finger' 'fingers' 'building' 'buildings'], predicted=buildings
question=['finger' 'fingers' 'car' 'cars'], predicted=cars
question=['finger' 'fingers' 'cat' 'cats'], predicted=cats
question=['finger' 'fingers' 'child' 'children'], predicted=children
question=['finger' 'fingers' 'cloud' 'clouds'], predicted=clouds
question=['finger' 'fingers' 'color' 'colors'], predicted=colors
question=['finger' 'fingers' 'computer' 'computers'], predicted=computers
question=['finger' 'fingers' 'dog' 'dogs'], predicted=dogs
question=['finger' 'fingers' 'dream' 'dreams'], predicted=dreams
question=['finger' 'fingers' 'elephant' 'elephants'], predicted=elephants
question=['finger' 'fingers' 'eye' 'eyes'], predicted=eyes
question=['goat' 'goats' 'horse' 'horses'], predicted=horses
question=['goat' 'goats' 'machine' 'machines'], predicted=machines
question=['goat' 'goats' 'man' 'men'], predicted=men
question=['goat' 'goats' 'mouse' 'mice'], predicted=mice
question=['goat' 'goats' 'pig' 'pigs'], predicted=pigs
question=['goat' 'goats' 'road' 'roads'], predicted=roads
question=['goat' 'goats' 'bird' 'birds'], predicted=birds
question=['goat' 'goats' 'building' 'buildings'], predicted=buildings
question=['goat' 'goats' 'car' 'cars'], predicted=cars
question=['goat' 'goats' 'cat' 'cats'], predicted=cats
question=['goat' 'goats' 'child' 'children'], predicted=children
question=['goat' 'goats' 'cloud' 'clouds'], predicted=clouds
question=['goat' 'goats' 'color' 'colors'], predicted=colors
question=['goat' 'goats' 'computer' 'computers'], predicted=computers
question=['goat' 'goats' 'dog' 'dogs'], predicted=dogs
question=['goat' 'goats' 'dollar' 'dollars'], predicted=dollars
question=['goat' 'goats' 'dream' 'dreams'], predicted=dreams
question=['goat' 'goats' 'elephant' 'elephants'], predicted=elephants
question=['goat' 'goats' 'eye' 'eyes'], predicted=eyes
question=['goat' 'goats' 'finger' 'fingers'], predicted=fingers
question=['hand' 'hands' 'horse' 'horses'], predicted=horses
question=['hand' 'hands' 'man' 'men'], predicted=men
question=['hand' 'hands' 'mouse' 'mice'], predicted=mice
question=['hand' 'hands' 'road' 'roads'], predicted=roads
question=['hand' 'hands' 'bird' 'birds'], predicted=birds
question=['hand' 'hands' 'building' 'buildings'], predicted=buildings
question=['hand' 'hands' 'car' 'cars'], predicted=cars
question=['hand' 'hands' 'cat' 'cats'], predicted=cats
question=['hand' 'hands' 'cloud' 'clouds'], predicted=clouds
question=['hand' 'hands' 'computer' 'computers'], predicted=computers
question=['hand' 'hands' 'dream' 'dreams'], predicted=dreams
question=['hand' 'hands' 'elephant' 'elephants'], predicted=elephants
question=['hand' 'hands' 'eye' 'eyes'], predicted=eyes
question=['hand' 'hands' 'finger' 'fingers'], predicted=fingers
question=['hand' 'hands' 'goat' 'goats'], predicted=goats
question=['horse' 'horses' 'machine' 'machines'], predicted=machines
question=['horse' 'horses' 'man' 'men'], predicted=men
question=['horse' 'horses' 'mouse' 'mice'], predicted=mice
question=['horse' 'horses' 'pig' 'pigs'], predicted=pigs
question=['horse' 'horses' 'road' 'roads'], predicted=roads
question=['horse' 'horses' 'woman' 'women'], predicted=women
question=['horse' 'horses' 'bird' 'birds'], predicted=birds
question=['horse' 'horses' 'bottle' 'bottles'], predicted=bottles
question=['horse' 'horses' 'building' 'buildings'], predicted=buildings
question=['horse' 'horses' 'car' 'cars'], predicted=cars
question=['horse' 'horses' 'cat' 'cats'], predicted=cats
question=['horse' 'horses' 'child' 'children'], predicted=children
question=['horse' 'horses' 'cloud' 'clouds'], predicted=clouds
question=['horse' 'horses' 'color' 'colors'], predicted=colors
question=['horse' 'horses' 'computer' 'computers'], predicted=computers
question=['horse' 'horses' 'dog' 'dogs'], predicted=dogs
question=['horse' 'horses' 'dollar' 'dollars'], predicted=dollars
question=['horse' 'horses' 'dream' 'dreams'], predicted=dreams
question=['horse' 'horses' 'elephant' 'elephants'], predicted=elephants
question=['horse' 'horses' 'eye' 'eyes'], predicted=eyes
question=['horse' 'horses' 'finger' 'fingers'], predicted=fingers
question=['horse' 'horses' 'goat' 'goats'], predicted=goats
question=['lion' 'lions' 'mouse' 'mice'], predicted=mice
question=['lion' 'lions' 'bird' 'birds'], predicted=birds
question=['lion' 'lions' 'building' 'buildings'], predicted=buildings
question=['lion' 'lions' 'car' 'cars'], predicted=cars
question=['lion' 'lions' 'cat' 'cats'], predicted=cats
question=['lion' 'lions' 'color' 'colors'], predicted=colors
question=['lion' 'lions' 'cow' 'cows'], predicted=cows
question=['lion' 'lions' 'dog' 'dogs'], predicted=dogs
question=['lion' 'lions' 'eagle' 'eagles'], predicted=eagles
question=['machine' 'machines' 'mouse' 'mice'], predicted=mice
question=['machine' 'machines' 'road' 'roads'], predicted=roads
question=['machine' 'machines' 'bird' 'birds'], predicted=birds
question=['machine' 'machines' 'building' 'buildings'], predicted=buildings
question=['machine' 'machines' 'car' 'cars'], predicted=cars
question=['machine' 'machines' 'cat' 'cats'], predicted=cats
question=['machine' 'machines' 'child' 'children'], predicted=children
question=['machine' 'machines' 'cloud' 'clouds'], predicted=clouds
question=['machine' 'machines' 'color' 'colors'], predicted=colors
question=['machine' 'machines' 'computer' 'computers'], predicted=computers
question=['machine' 'machines' 'dog' 'dogs'], predicted=dogs
question=['machine' 'machines' 'dollar' 'dollars'], predicted=dollars
question=['machine' 'machines' 'dream' 'dreams'], predicted=dreams
question=['machine' 'machines' 'elephant' 'elephants'], predicted=elephants
question=['machine' 'machines' 'eye' 'eyes'], predicted=eyes
question=['machine' 'machines' 'finger' 'fingers'], predicted=fingers
question=['machine' 'machines' 'goat' 'goats'], predicted=goats
question=['machine' 'machines' 'hand' 'hands'], predicted=hands
question=['machine' 'machines' 'horse' 'horses'], predicted=horses
question=['mango' 'mangoes' 'man' 'men'], predicted=men
question=['mango' 'mangoes' 'mouse' 'mice'], predicted=mice
question=['mango' 'mangoes' 'pig' 'pigs'], predicted=pigs
question=['mango' 'mangoes' 'road' 'roads'], predicted=roads
question=['mango' 'mangoes' 'bird' 'birds'], predicted=birds
question=['mango' 'mangoes' 'car' 'cars'], predicted=cars
question=['mango' 'mangoes' 'cat' 'cats'], predicted=cats
question=['mango' 'mangoes' 'child' 'children'], predicted=children
question=['mango' 'mangoes' 'cloud' 'clouds'], predicted=clouds
question=['mango' 'mangoes' 'color' 'colors'], predicted=colors
question=['mango' 'mangoes' 'computer' 'computers'], predicted=computers
question=['mango' 'mangoes' 'dog' 'dogs'], predicted=dogs
question=['mango' 'mangoes' 'dollar' 'dollars'], predicted=dollars
question=['mango' 'mangoes' 'dream' 'dreams'], predicted=dreams
question=['mango' 'mangoes' 'elephant' 'elephants'], predicted=elephants
question=['mango' 'mangoes' 'goat' 'goats'], predicted=goats
question=['mango' 'mangoes' 'horse' 'horses'], predicted=horses
question=['mango' 'mangoes' 'machine' 'machines'], predicted=machines
question=['man' 'men' 'mouse' 'mice'], predicted=mice
question=['man' 'men' 'pig' 'pigs'], predicted=pigs
question=['man' 'men' 'road' 'roads'], predicted=roads
question=['man' 'men' 'woman' 'women'], predicted=women
question=['man' 'men' 'bird' 'birds'], predicted=birds
question=['man' 'men' 'building' 'buildings'], predicted=buildings
question=['man' 'men' 'car' 'cars'], predicted=cars
question=['man' 'men' 'cat' 'cats'], predicted=cats
question=['man' 'men' 'child' 'children'], predicted=children
question=['man' 'men' 'cloud' 'clouds'], predicted=clouds
question=['man' 'men' 'color' 'colors'], predicted=colors
question=['man' 'men' 'computer' 'computers'], predicted=computers
question=['man' 'men' 'dog' 'dogs'], predicted=dogs
question=['man' 'men' 'dollar' 'dollars'], predicted=dollars
question=['man' 'men' 'dream' 'dreams'], predicted=dreams
question=['man' 'men' 'elephant' 'elephants'], predicted=elephants
question=['man' 'men' 'eye' 'eyes'], predicted=eyes
question=['man' 'men' 'finger' 'fingers'], predicted=fingers
question=['man' 'men' 'goat' 'goats'], predicted=goats
question=['man' 'men' 'horse' 'horses'], predicted=horses
question=['melon' 'melons' 'road' 'roads'], predicted=roads
question=['melon' 'melons' 'woman' 'women'], predicted=women
question=['melon' 'melons' 'bird' 'birds'], predicted=birds
question=['melon' 'melons' 'car' 'cars'], predicted=cars
question=['melon' 'melons' 'child' 'children'], predicted=children
question=['melon' 'melons' 'computer' 'computers'], predicted=computers
question=['melon' 'melons' 'dog' 'dogs'], predicted=dogs
question=['melon' 'melons' 'dream' 'dreams'], predicted=dreams
question=['melon' 'melons' 'elephant' 'elephants'], predicted=elephants
question=['melon' 'melons' 'goat' 'goats'], predicted=goats
question=['melon' 'melons' 'horse' 'horses'], predicted=horses
question=['monkey' 'monkeys' 'mouse' 'mice'], predicted=mice
question=['monkey' 'monkeys' 'rat' 'rats'], predicted=rats
question=['monkey' 'monkeys' 'road' 'roads'], predicted=roads
question=['monkey' 'monkeys' 'bird' 'birds'], predicted=birds
