question=['code' 'coding' 'describe' 'describing'], predicted=describing
question=['invent' 'inventing' 'discover' 'discovering'], predicted=discovering
question=['invent' 'inventing' 'enhance' 'enhancing'], predicted=enhancing
question=['jump' 'jumping' 'look' 'looking'], predicted=looking
question=['jump' 'jumping' 'move' 'moving'], predicted=moving
question=['jump' 'jumping' 'play' 'playing'], predicted=playing
question=['jump' 'jumping' 'run' 'running'], predicted=running
question=['jump' 'jumping' 'say' 'saying'], predicted=saying
question=['jump' 'jumping' 'sing' 'singing'], predicted=singing
question=['jump' 'jumping' 'dance' 'dancing'], predicted=dancing
question=['jump' 'jumping' 'describe' 'describing'], predicted=describing
question=['jump' 'jumping' 'fly' 'flying'], predicted=flying
question=['listen' 'listening' 'look' 'looking'], predicted=looking
question=['listen' 'listening' 'move' 'moving'], predicted=moving
question=['listen' 'listening' 'play' 'playing'], predicted=playing
question=['listen' 'listening' 'run' 'running'], predicted=running
question=['listen' 'listening' 'sit' 'sitting'], predicted=sitting
question=['listen' 'listening' 'write' 'writing'], predicted=writing
question=['listen' 'listening' 'describe' 'describing'], predicted=describing
question=['listen' 'listening' 'discover' 'discovering'], predicted=discovering
question=['listen' 'listening' 'fly' 'flying'], predicted=flying
question=['look' 'looking' 'move' 'moving'], predicted=moving
question=['look' 'looking' 'run' 'running'], predicted=running
question=['look' 'looking' 'sit' 'sitting'], predicted=sitting
question=['look' 'looking' 'swim' 'swimming'], predicted=swimming
question=['look' 'looking' 'write' 'writing'], predicted=writing
question=['look' 'looking' 'dance' 'dancing'], predicted=dancing
question=['look' 'looking' 'describe' 'describing'], predicted=describing
question=['look' 'looking' 'discover' 'discovering'], predicted=discovering
question=['look' 'looking' 'enhance' 'enhancing'], predicted=enhancing
question=['look' 'looking' 'go' 'going'], predicted=going
question=['look' 'looking' 'jump' 'jumping'], predicted=jumping
question=['look' 'looking' 'listen' 'listening'], predicted=listening
question=['move' 'moving' 'play' 'playing'], predicted=playing
question=['move' 'moving' 'run' 'running'], predicted=running
question=['move' 'moving' 'sit' 'sitting'], predicted=sitting
question=['move' 'moving' 'dance' 'dancing'], predicted=dancing
question=['move' 'moving' 'describe' 'describing'], predicted=describing
question=['move' 'moving' 'discover' 'discovering'], predicted=discovering
question=['move' 'moving' 'enhance' 'enhancing'], predicted=enhancing
question=['move' 'moving' 'increase' 'increasing'], predicted=increasing
question=['move' 'moving' 'look' 'looking'], predicted=looking
question=['play' 'playing' 'run' 'running'], predicted=running
question=['play' 'playing' 'say' 'saying'], predicted=saying
question=['play' 'playing' 'sing' 'singing'], predicted=singing
question=['play' 'playing' 'sit' 'sitting'], predicted=sitting
question=['play' 'playing' 'walk' 'walking'], predicted=walking
question=['play' 'playing' 'dance' 'dancing'], predicted=dancing
question=['play' 'playing' 'describe' 'describing'], predicted=describing
question=['play' 'playing' 'enhance' 'enhancing'], predicted=enhancing
question=['play' 'playing' 'fly' 'flying'], predicted=flying
question=['play' 'playing' 'generate' 'generating'], predicted=generating
question=['play' 'playing' 'increase' 'increasing'], predicted=increasing
question=['play' 'playing' 'look' 'looking'], predicted=looking
question=['play' 'playing' 'move' 'moving'], predicted=moving
question=['predict' 'predicting' 'run' 'running'], predicted=running
question=['predict' 'predicting' 'say' 'saying'], predicted=saying
question=['predict' 'predicting' 'sit' 'sitting'], predicted=sitting
question=['predict' 'predicting' 'walk' 'walking'], predicted=walking
question=['predict' 'predicting' 'dance' 'dancing'], predicted=dancing
question=['predict' 'predicting' 'debug' 'debugging'], predicted=debugging
question=['predict' 'predicting' 'enhance' 'enhancing'], predicted=enhancing
question=['predict' 'predicting' 'generate' 'generating'], predicted=generating
question=['predict' 'predicting' 'go' 'going'], predicted=going
question=['read' 'reading' 'run' 'running'], predicted=running
question=['read' 'reading' 'sing' 'singing'], predicted=singing
question=['read' 'reading' 'walk' 'walking'], predicted=walking
question=['read' 'reading' 'write' 'writing'], predicted=writing
question=['read' 'reading' 'dance' 'dancing'], predicted=dancing
question=['read' 'reading' 'enhance' 'enhancing'], predicted=enhancing
question=['read' 'reading' 'look' 'looking'], predicted=looking
question=['read' 'reading' 'move' 'moving'], predicted=moving
question=['run' 'running' 'say' 'saying'], predicted=saying
question=['run' 'running' 'dance' 'dancing'], predicted=dancing
question=['run' 'running' 'debug' 'debugging'], predicted=debugging
question=['run' 'running' 'discover' 'discovering'], predicted=discovering
question=['run' 'running' 'enhance' 'enhancing'], predicted=enhancing
question=['run' 'running' 'go' 'going'], predicted=going
question=['run' 'running' 'play' 'playing'], predicted=playing
question=['say' 'saying' 'sit' 'sitting'], predicted=sitting
question=['say' 'saying' 'dance' 'dancing'], predicted=dancing
question=['say' 'saying' 'describe' 'describing'], predicted=describing
question=['say' 'saying' 'discover' 'discovering'], predicted=discovering
question=['say' 'saying' 'enhance' 'enhancing'], predicted=enhancing
question=['say' 'saying' 'go' 'going'], predicted=going
question=['say' 'saying' 'look' 'looking'], predicted=looking
question=['say' 'saying' 'move' 'moving'], predicted=moving
question=['say' 'saying' 'play' 'playing'], predicted=playing
question=['say' 'saying' 'predict' 'predicting'], predicted=predicting
question=['say' 'saying' 'run' 'running'], predicted=running
question=['scream' 'screaming' 'sit' 'sitting'], predicted=sitting
question=['scream' 'screaming' 'swim' 'swimming'], predicted=swimming
question=['scream' 'screaming' 'enhance' 'enhancing'], predicted=enhancing
question=['scream' 'screaming' 'go' 'going'], predicted=going
question=['scream' 'screaming' 'jump' 'jumping'], predicted=jumping
question=['scream' 'screaming' 'look' 'looking'], predicted=looking
question=['scream' 'screaming' 'move' 'moving'], predicted=moving
question=['scream' 'screaming' 'play' 'playing'], predicted=playing
question=['scream' 'screaming' 'run' 'running'], predicted=running
question=['see' 'seeing' 'sit' 'sitting'], predicted=sitting
question=['see' 'seeing' 'dance' 'dancing'], predicted=dancing
question=['see' 'seeing' 'discover' 'discovering'], predicted=discovering
question=['see' 'seeing' 'fly' 'flying'], predicted=flying
question=['see' 'seeing' 'go' 'going'], predicted=going
question=['see' 'seeing' 'play' 'playing'], predicted=playing
question=['see' 'seeing' 'run' 'running'], predicted=running
question=['see' 'seeing' 'say' 'saying'], predicted=saying
question=['shuffle' 'shuffling' 'dance' 'dancing'], predicted=dancing
question=['shuffle' 'shuffling' 'jump' 'jumping'], predicted=jumping
question=['shuffle' 'shuffling' 'look' 'looking'], predicted=looking
question=['shuffle' 'shuffling' 'play' 'playing'], predicted=playing
question=['shuffle' 'shuffling' 'run' 'running'], predicted=running
question=['sing' 'singing' 'sit' 'sitting'], predicted=sitting
question=['sing' 'singing' 'swim' 'swimming'], predicted=swimming
question=['sing' 'singing' 'think' 'thinking'], predicted=thinking
question=['sing' 'singing' 'walk' 'walking'], predicted=walking
question=['sing' 'singing' 'write' 'writing'], predicted=writing
question=['sing' 'singing' 'dance' 'dancing'], predicted=dancing
question=['sing' 'singing' 'describe' 'describing'], predicted=describing
question=['sing' 'singing' 'discover' 'discovering'], predicted=discovering
question=['sing' 'singing' 'enhance' 'enhancing'], predicted=enhancing
question=['sing' 'singing' 'fly' 'flying'], predicted=flying
question=['sing' 'singing' 'increase' 'increasing'], predicted=increasing
question=['sing' 'singing' 'look' 'looking'], predicted=looking
question=['sing' 'singing' 'move' 'moving'], predicted=moving
question=['sing' 'singing' 'play' 'playing'], predicted=playing
question=['sing' 'singing' 'read' 'reading'], predicted=reading
question=['sing' 'singing' 'run' 'running'], predicted=running
question=['sit' 'sitting' 'describe' 'describing'], predicted=describing
question=['sit' 'sitting' 'enhance' 'enhancing'], predicted=enhancing
question=['sit' 'sitting' 'go' 'going'], predicted=going
question=['sit' 'sitting' 'implement' 'implementing'], predicted=implementing
question=['sit' 'sitting' 'look' 'looking'], predicted=looking
question=['sit' 'sitting' 'move' 'moving'], predicted=moving
question=['sit' 'sitting' 'play' 'playing'], predicted=playing
question=['sit' 'sitting' 'run' 'running'], predicted=running
question=['sit' 'sitting' 'say' 'saying'], predicted=saying
question=['sit' 'sitting' 'sing' 'singing'], predicted=singing
question=['slow' 'slowing' 'generate' 'generating'], predicted=generating
question=['slow' 'slowing' 'look' 'looking'], predicted=looking
question=['slow' 'slowing' 'play' 'playing'], predicted=playing
question=['swim' 'swimming' 'enhance' 'enhancing'], predicted=enhancing
question=['swim' 'swimming' 'generate' 'generating'], predicted=generating
question=['swim' 'swimming' 'run' 'running'], predicted=running
question=['think' 'thinking' 'walk' 'walking'], predicted=walking
question=['think' 'thinking' 'write' 'writing'], predicted=writing
question=['think' 'thinking' 'look' 'looking'], predicted=looking
question=['think' 'thinking' 'play' 'playing'], predicted=playing
question=['think' 'thinking' 'run' 'running'], predicted=running
question=['think' 'thinking' 'sing' 'singing'], predicted=singing
question=['think' 'thinking' 'swim' 'swimming'], predicted=swimming
question=['vanish' 'vanishing' 'enhance' 'enhancing'], predicted=enhancing
question=['vanish' 'vanishing' 'go' 'going'], predicted=going
question=['vanish' 'vanishing' 'implement' 'implementing'], predicted=implementing
question=['walk' 'walking' 'write' 'writing'], predicted=writing
question=['walk' 'walking' 'dance' 'dancing'], predicted=dancing
question=['walk' 'walking' 'describe' 'describing'], predicted=describing
question=['walk' 'walking' 'enhance' 'enhancing'], predicted=enhancing
question=['walk' 'walking' 'generate' 'generating'], predicted=generating
question=['walk' 'walking' 'go' 'going'], predicted=going
question=['walk' 'walking' 'move' 'moving'], predicted=moving
question=['walk' 'walking' 'play' 'playing'], predicted=playing
question=['walk' 'walking' 'read' 'reading'], predicted=reading
question=['walk' 'walking' 'run' 'running'], predicted=running
question=['walk' 'walking' 'sing' 'singing'], predicted=singing
question=['walk' 'walking' 'sit' 'sitting'], predicted=sitting
question=['write' 'writing' 'dance' 'dancing'], predicted=dancing
question=['write' 'writing' 'describe' 'describing'], predicted=describing
question=['write' 'writing' 'go' 'going'], predicted=going
question=['write' 'writing' 'look' 'looking'], predicted=looking
question=['write' 'writing' 'move' 'moving'], predicted=moving
question=['write' 'writing' 'play' 'playing'], predicted=playing
question=['write' 'writing' 'read' 'reading'], predicted=reading
question=['write' 'writing' 'run' 'running'], predicted=running
question=['write' 'writing' 'sing' 'singing'], predicted=singing
question=['write' 'writing' 'sit' 'sitting'], predicted=sitting
question=['write' 'writing' 'walk' 'walking'], predicted=walking
