question=['dance%2:36:00::' 'dance%2:36:00::' 'fall%2:30:08::' 'fell%2:35:00::'], predicted=fall%2:41:01::
question=['sleep%2:29:00::' 'sleep%2:29:00::' 'see%2:39:00::' 'saw%2:35:00::'], predicted=see%1:15:00::
question=['slow%2:30:01::' 'slow%2:30:01::' 'fall%2:30:08::' 'fell%2:35:00::'], predicted=fall%2:41:01::
question=['slow%2:30:01::' 'slow%2:30:01::' 'see%2:39:00::' 'saw%2:35:00::'], predicted=see%1:15:00::
question=['spend%2:42:00::' 'spend%2:42:00::' 'fall%2:30:08::' 'fell%2:35:00::'], predicted=fall%2:41:01::
question=['spend%2:42:00::' 'spend%2:42:00::' 'see%2:39:00::' 'saw%2:35:00::'], predicted=see%1:15:00::
question=['strike%2:35:00::' 'strike%2:35:00::' 'fall%2:30:08::' 'fell%2:35:00::'], predicted=fall%2:41:01::
question=['strike%2:35:00::' 'strike%2:35:00::' 'see%2:39:00::' 'saw%2:35:00::'], predicted=see%1:15:00::
question=['swim%2:38:00::' 'swim%2:38:00::' 'fall%2:30:08::' 'fell%2:35:00::'], predicted=fall%2:41:01::
question=['swim%2:38:00::' 'swim%2:38:00::' 'see%2:39:00::' 'saw%2:35:00::'], predicted=see%1:15:00::
question=['take%2:41:00::' 'take%2:41:00::' 'fall%2:30:00::' 'fell%2:35:00::'], predicted=notre
question=['take%2:41:00::' 'take%2:41:00::' 'see%2:35:09::' 'saw%2:35:00::'], predicted=have%2:30:00::
question=['think%2:31:00::' 'think%2:31:00::' 'fall%2:30:08::' 'fell%2:35:00::'], predicted=fall%2:41:01::
question=['think%2:31:00::' 'think%2:31:00::' 'see%2:31:08::' 'saw%2:35:00::'], predicted=about
question=['vanish%2:30:00::' 'vanish%2:30:00::' 'fall%2:30:08::' 'fell%2:35:00::'], predicted=fall%2:41:01::
question=['vanish' 'vanish' 'see%2:39:00::' 'saw%2:35:00::'], predicted=see%1:15:00::
question=['walk%2:38:00::' 'walk%2:38:00::' 'fall%2:30:08::' 'fell%2:35:00::'], predicted=fall%2:41:01::
question=['walk%2:38:00::' 'walk%2:38:00::' 'see%2:39:00::' 'saw%2:35:00::'], predicted=see%1:15:00::
question=['write%2:36:04::' 'write%2:36:04::' 'fall%2:30:08::' 'fell%2:35:00::'], predicted=fall%2:41:01::
question=['write%2:36:04::' 'write%2:36:04::' 'see%2:39:00::' 'saw%2:35:00::'], predicted=see%1:15:00::
