question=['dancing' 'danced' 'falling' 'fell'], predicted=fell
question=['feeding' 'fed' 'decreasing' 'decreased'], predicted=decreased
question=['feeding' 'fed' 'falling' 'fell'], predicted=fell
question=['flying' 'flew' 'going' 'went'], predicted=went
question=['flying' 'flew' 'increasing' 'increased'], predicted=increased
question=['flying' 'flew' 'knowing' 'knew'], predicted=knew
question=['flying' 'flew' 'looking' 'looked'], predicted=looked
question=['flying' 'flew' 'playing' 'played'], predicted=played
question=['flying' 'flew' 'singing' 'sang'], predicted=sang
question=['flying' 'flew' 'spending' 'spent'], predicted=spent
question=['flying' 'flew' 'taking' 'took'], predicted=took
question=['flying' 'flew' 'falling' 'fell'], predicted=fell
question=['generating' 'generated' 'hitting' 'hit'], predicted=hit
question=['generating' 'generated' 'implementing' 'implemented'], predicted=implemented
question=['generating' 'generated' 'increasing' 'increased'], predicted=increased
question=['generating' 'generated' 'knowing' 'knew'], predicted=knew
question=['generating' 'generated' 'looking' 'looked'], predicted=looked
question=['generating' 'generated' 'paying' 'paid'], predicted=paid
question=['generating' 'generated' 'playing' 'played'], predicted=played
question=['generating' 'generated' 'saying' 'said'], predicted=said
question=['generating' 'generated' 'decreasing' 'decreased'], predicted=decreased
question=['generating' 'generated' 'feeding' 'fed'], predicted=fed
question=['going' 'went' 'increasing' 'increased'], predicted=increased
question=['going' 'went' 'knowing' 'knew'], predicted=knew
question=['going' 'went' 'looking' 'looked'], predicted=looked
question=['going' 'went' 'playing' 'played'], predicted=played
question=['going' 'went' 'running' 'ran'], predicted=ran
question=['going' 'went' 'spending' 'spent'], predicted=spent
question=['going' 'went' 'taking' 'took'], predicted=took
question=['going' 'went' 'writing' 'wrote'], predicted=wrote
question=['going' 'went' 'decreasing' 'decreased'], predicted=decreased
question=['going' 'went' 'falling' 'fell'], predicted=fell
question=['going' 'went' 'flying' 'flew'], predicted=flew
question=['hiding' 'hid' 'increasing' 'increased'], predicted=increased
question=['hiding' 'hid' 'knowing' 'knew'], predicted=knew
question=['hiding' 'hid' 'paying' 'paid'], predicted=paid
question=['hiding' 'hid' 'selling' 'sold'], predicted=sold
question=['hiding' 'hid' 'singing' 'sang'], predicted=sang
question=['hiding' 'hid' 'slowing' 'slowed'], predicted=slowed
question=['hiding' 'hid' 'taking' 'took'], predicted=took
question=['hiding' 'hid' 'writing' 'wrote'], predicted=wrote
question=['hiding' 'hid' 'falling' 'fell'], predicted=fell
question=['hitting' 'hit' 'implementing' 'implemented'], predicted=implemented
question=['hitting' 'hit' 'increasing' 'increased'], predicted=increased
question=['hitting' 'hit' 'moving' 'moved'], predicted=moved
question=['hitting' 'hit' 'playing' 'played'], predicted=played
question=['hitting' 'hit' 'saying' 'said'], predicted=said
question=['hitting' 'hit' 'selling' 'sold'], predicted=sold
question=['hitting' 'hit' 'spending' 'spent'], predicted=spent
question=['hitting' 'hit' 'striking' 'struck'], predicted=struck
question=['hitting' 'hit' 'falling' 'fell'], predicted=fell
question=['hitting' 'hit' 'generating' 'generated'], predicted=generated
question=['hitting' 'hit' 'going' 'went'], predicted=went
question=['implementing' 'implemented' 'increasing' 'increased'], predicted=increased
question=['implementing' 'implemented' 'looking' 'looked'], predicted=looked
question=['implementing' 'implemented' 'paying' 'paid'], predicted=paid
question=['implementing' 'implemented' 'playing' 'played'], predicted=played
question=['implementing' 'implemented' 'selling' 'sold'], predicted=sold
question=['implementing' 'implemented' 'spending' 'spent'], predicted=spent
question=['implementing' 'implemented' 'striking' 'struck'], predicted=struck
question=['implementing' 'implemented' 'thinking' 'thought'], predicted=thought
question=['implementing' 'implemented' 'describing' 'described'], predicted=described
question=['implementing' 'implemented' 'generating' 'generated'], predicted=generated
question=['implementing' 'implemented' 'hitting' 'hit'], predicted=hit
question=['increasing' 'increased' 'knowing' 'knew'], predicted=knew
question=['increasing' 'increased' 'looking' 'looked'], predicted=looked
question=['increasing' 'increased' 'paying' 'paid'], predicted=paid
question=['increasing' 'increased' 'playing' 'played'], predicted=played
question=['increasing' 'increased' 'selling' 'sold'], predicted=sold
question=['increasing' 'increased' 'slowing' 'slowed'], predicted=slowed
question=['increasing' 'increased' 'spending' 'spent'], predicted=spent
question=['increasing' 'increased' 'taking' 'took'], predicted=took
question=['increasing' 'increased' 'thinking' 'thought'], predicted=thought
question=['increasing' 'increased' 'writing' 'wrote'], predicted=wrote
question=['increasing' 'increased' 'decreasing' 'decreased'], predicted=decreased
question=['increasing' 'increased' 'enhancing' 'enhanced'], predicted=enhanced
question=['increasing' 'increased' 'falling' 'fell'], predicted=fell
question=['increasing' 'increased' 'flying' 'flew'], predicted=flew
question=['increasing' 'increased' 'generating' 'generated'], predicted=generated
question=['increasing' 'increased' 'going' 'went'], predicted=went
question=['increasing' 'increased' 'hitting' 'hit'], predicted=hit
question=['increasing' 'increased' 'implementing' 'implemented'], predicted=implemented
question=['jumping' 'jumped' 'knowing' 'knew'], predicted=knew
question=['jumping' 'jumped' 'paying' 'paid'], predicted=paid
question=['jumping' 'jumped' 'running' 'ran'], predicted=ran
question=['jumping' 'jumped' 'selling' 'sold'], predicted=sold
question=['jumping' 'jumped' 'spending' 'spent'], predicted=spent
question=['jumping' 'jumped' 'decreasing' 'decreased'], predicted=decreased
question=['jumping' 'jumped' 'generating' 'generated'], predicted=generated
question=['jumping' 'jumped' 'increasing' 'increased'], predicted=increased
question=['knowing' 'knew' 'looking' 'looked'], predicted=looked
question=['knowing' 'knew' 'moving' 'moved'], predicted=moved
question=['knowing' 'knew' 'paying' 'paid'], predicted=paid
question=['knowing' 'knew' 'playing' 'played'], predicted=played
question=['knowing' 'knew' 'predicting' 'predicted'], predicted=predicted
question=['knowing' 'knew' 'running' 'ran'], predicted=ran
question=['knowing' 'knew' 'selling' 'sold'], predicted=sold
question=['knowing' 'knew' 'slowing' 'slowed'], predicted=slowed
question=['knowing' 'knew' 'spending' 'spent'], predicted=spent
question=['knowing' 'knew' 'taking' 'took'], predicted=took
question=['knowing' 'knew' 'writing' 'wrote'], predicted=wrote
question=['knowing' 'knew' 'decreasing' 'decreased'], predicted=decreased
question=['knowing' 'knew' 'falling' 'fell'], predicted=fell
question=['knowing' 'knew' 'flying' 'flew'], predicted=flew
question=['knowing' 'knew' 'generating' 'generated'], predicted=generated
question=['knowing' 'knew' 'going' 'went'], predicted=went
question=['knowing' 'knew' 'increasing' 'increased'], predicted=increased
question=['listening' 'listened' 'looking' 'looked'], predicted=looked
question=['listening' 'listened' 'playing' 'played'], predicted=played
question=['listening' 'listened' 'reading' 'read'], predicted=read
question=['listening' 'listened' 'selling' 'sold'], predicted=sold
question=['listening' 'listened' 'striking' 'struck'], predicted=struck
question=['listening' 'listened' 'decreasing' 'decreased'], predicted=decreased
question=['listening' 'listened' 'falling' 'fell'], predicted=fell
question=['listening' 'listened' 'going' 'went'], predicted=went
question=['listening' 'listened' 'hitting' 'hit'], predicted=hit
question=['listening' 'listened' 'increasing' 'increased'], predicted=increased
question=['looking' 'looked' 'paying' 'paid'], predicted=paid
question=['looking' 'looked' 'playing' 'played'], predicted=played
question=['looking' 'looked' 'reading' 'read'], predicted=read
question=['looking' 'looked' 'selling' 'sold'], predicted=sold
question=['looking' 'looked' 'slowing' 'slowed'], predicted=slowed
question=['looking' 'looked' 'spending' 'spent'], predicted=spent
question=['looking' 'looked' 'taking' 'took'], predicted=took
question=['looking' 'looked' 'decreasing' 'decreased'], predicted=decreased
question=['looking' 'looked' 'falling' 'fell'], predicted=fell
question=['looking' 'looked' 'flying' 'flew'], predicted=flew
question=['looking' 'looked' 'hitting' 'hit'], predicted=hit
question=['looking' 'looked' 'implementing' 'implemented'], predicted=implemented
question=['looking' 'looked' 'increasing' 'increased'], predicted=increased
question=['looking' 'looked' 'knowing' 'knew'], predicted=knew
question=['moving' 'moved' 'running' 'ran'], predicted=ran
question=['moving' 'moved' 'selling' 'sold'], predicted=sold
question=['moving' 'moved' 'singing' 'sang'], predicted=sang
question=['moving' 'moved' 'spending' 'spent'], predicted=spent
question=['moving' 'moved' 'thinking' 'thought'], predicted=thought
question=['moving' 'moved' 'writing' 'wrote'], predicted=wrote
question=['moving' 'moved' 'falling' 'fell'], predicted=fell
question=['moving' 'moved' 'increasing' 'increased'], predicted=increased
question=['paying' 'paid' 'playing' 'played'], predicted=played
question=['paying' 'paid' 'selling' 'sold'], predicted=sold
question=['paying' 'paid' 'thinking' 'thought'], predicted=thought
question=['paying' 'paid' 'falling' 'fell'], predicted=fell
question=['paying' 'paid' 'generating' 'generated'], predicted=generated
question=['paying' 'paid' 'increasing' 'increased'], predicted=increased
question=['paying' 'paid' 'knowing' 'knew'], predicted=knew
question=['paying' 'paid' 'looking' 'looked'], predicted=looked
question=['playing' 'played' 'predicting' 'predicted'], predicted=predicted
question=['playing' 'played' 'saying' 'said'], predicted=said
question=['playing' 'played' 'selling' 'sold'], predicted=sold
question=['playing' 'played' 'spending' 'spent'], predicted=spent
question=['playing' 'played' 'striking' 'struck'], predicted=struck
question=['playing' 'played' 'thinking' 'thought'], predicted=thought
question=['playing' 'played' 'decreasing' 'decreased'], predicted=decreased
question=['playing' 'played' 'describing' 'described'], predicted=described
question=['playing' 'played' 'generating' 'generated'], predicted=generated
question=['playing' 'played' 'hitting' 'hit'], predicted=hit
question=['playing' 'played' 'implementing' 'implemented'], predicted=implemented
question=['playing' 'played' 'increasing' 'increased'], predicted=increased
question=['playing' 'played' 'looking' 'looked'], predicted=looked
question=['playing' 'played' 'moving' 'moved'], predicted=moved
question=['playing' 'played' 'paying' 'paid'], predicted=paid
question=['predicting' 'predicted' 'saying' 'said'], predicted=said
question=['predicting' 'predicted' 'selling' 'sold'], predicted=sold
question=['predicting' 'predicted' 'slowing' 'slowed'], predicted=slowed
question=['predicting' 'predicted' 'spending' 'spent'], predicted=spent
question=['predicting' 'predicted' 'striking' 'struck'], predicted=struck
question=['predicting' 'predicted' 'thinking' 'thought'], predicted=thought
question=['predicting' 'predicted' 'generating' 'generated'], predicted=generated
question=['predicting' 'predicted' 'increasing' 'increased'], predicted=increased
question=['predicting' 'predicted' 'paying' 'paid'], predicted=paid
question=['predicting' 'predicted' 'playing' 'played'], predicted=played
question=['reading' 'read' 'decreasing' 'decreased'], predicted=decreased
question=['reading' 'read' 'hitting' 'hit'], predicted=hit
question=['reading' 'read' 'increasing' 'increased'], predicted=increased
question=['reading' 'read' 'paying' 'paid'], predicted=paid
question=['running' 'ran' 'spending' 'spent'], predicted=spent
question=['running' 'ran' 'taking' 'took'], predicted=took
question=['running' 'ran' 'writing' 'wrote'], predicted=wrote
question=['running' 'ran' 'decreasing' 'decreased'], predicted=decreased
question=['running' 'ran' 'falling' 'fell'], predicted=fell
question=['running' 'ran' 'flying' 'flew'], predicted=flew
question=['running' 'ran' 'going' 'went'], predicted=went
question=['running' 'ran' 'hitting' 'hit'], predicted=hit
question=['running' 'ran' 'increasing' 'increased'], predicted=increased
question=['running' 'ran' 'knowing' 'knew'], predicted=knew
question=['running' 'ran' 'paying' 'paid'], predicted=paid
question=['running' 'ran' 'playing' 'played'], predicted=played
question=['saying' 'said' 'selling' 'sold'], predicted=sold
question=['saying' 'said' 'spending' 'spent'], predicted=spent
question=['saying' 'said' 'thinking' 'thought'], predicted=thought
question=['saying' 'said' 'falling' 'fell'], predicted=fell
question=['saying' 'said' 'hitting' 'hit'], predicted=hit
question=['saying' 'said' 'increasing' 'increased'], predicted=increased
question=['saying' 'said' 'moving' 'moved'], predicted=moved
question=['saying' 'said' 'paying' 'paid'], predicted=paid
question=['saying' 'said' 'playing' 'played'], predicted=played
question=['screaming' 'screamed' 'falling' 'fell'], predicted=fell
question=['screaming' 'screamed' 'increasing' 'increased'], predicted=increased
question=['screaming' 'screamed' 'paying' 'paid'], predicted=paid
question=['seeing' 'saw' 'selling' 'sold'], predicted=sold
question=['seeing' 'saw' 'slowing' 'slowed'], predicted=slowed
question=['seeing' 'saw' 'spending' 'spent'], predicted=spent
question=['seeing' 'saw' 'taking' 'took'], predicted=took
question=['seeing' 'saw' 'thinking' 'thought'], predicted=thought
question=['seeing' 'saw' 'writing' 'wrote'], predicted=wrote
question=['seeing' 'saw' 'enhancing' 'enhanced'], predicted=enhanced
question=['seeing' 'saw' 'falling' 'fell'], predicted=fell
question=['seeing' 'saw' 'flying' 'flew'], predicted=flew
question=['seeing' 'saw' 'going' 'went'], predicted=went
question=['seeing' 'saw' 'implementing' 'implemented'], predicted=implemented
question=['seeing' 'saw' 'increasing' 'increased'], predicted=increased
question=['seeing' 'saw' 'knowing' 'knew'], predicted=knew
question=['seeing' 'saw' 'paying' 'paid'], predicted=paid
question=['seeing' 'saw' 'playing' 'played'], predicted=played
question=['seeing' 'saw' 'running' 'ran'], predicted=ran
question=['selling' 'sold' 'spending' 'spent'], predicted=spent
question=['selling' 'sold' 'thinking' 'thought'], predicted=thought
question=['selling' 'sold' 'falling' 'fell'], predicted=fell
question=['selling' 'sold' 'implementing' 'implemented'], predicted=implemented
question=['selling' 'sold' 'increasing' 'increased'], predicted=increased
question=['selling' 'sold' 'looking' 'looked'], predicted=looked
question=['selling' 'sold' 'moving' 'moved'], predicted=moved
question=['selling' 'sold' 'paying' 'paid'], predicted=paid
question=['selling' 'sold' 'playing' 'played'], predicted=played
question=['selling' 'sold' 'predicting' 'predicted'], predicted=predicted
question=['shrinking' 'shrank' 'spending' 'spent'], predicted=spent
question=['shrinking' 'shrank' 'falling' 'fell'], predicted=fell
question=['shrinking' 'shrank' 'going' 'went'], predicted=went
question=['shrinking' 'shrank' 'increasing' 'increased'], predicted=increased
question=['shrinking' 'shrank' 'moving' 'moved'], predicted=moved
question=['shrinking' 'shrank' 'selling' 'sold'], predicted=sold
question=['singing' 'sang' 'spending' 'spent'], predicted=spent
question=['singing' 'sang' 'striking' 'struck'], predicted=struck
question=['singing' 'sang' 'taking' 'took'], predicted=took
question=['singing' 'sang' 'writing' 'wrote'], predicted=wrote
question=['singing' 'sang' 'dancing' 'danced'], predicted=danced
question=['singing' 'sang' 'falling' 'fell'], predicted=fell
question=['singing' 'sang' 'flying' 'flew'], predicted=flew
question=['singing' 'sang' 'increasing' 'increased'], predicted=increased
question=['singing' 'sang' 'knowing' 'knew'], predicted=knew
question=['singing' 'sang' 'paying' 'paid'], predicted=paid
question=['singing' 'sang' 'playing' 'played'], predicted=played
question=['sitting' 'sat' 'spending' 'spent'], predicted=spent
question=['sitting' 'sat' 'taking' 'took'], predicted=took
question=['sitting' 'sat' 'decreasing' 'decreased'], predicted=decreased
question=['sitting' 'sat' 'going' 'went'], predicted=went
question=['sitting' 'sat' 'increasing' 'increased'], predicted=increased
question=['sitting' 'sat' 'selling' 'sold'], predicted=sold
question=['sleeping' 'slept' 'taking' 'took'], predicted=took
question=['sleeping' 'slept' 'writing' 'wrote'], predicted=wrote
question=['sleeping' 'slept' 'going' 'went'], predicted=went
question=['sleeping' 'slept' 'hitting' 'hit'], predicted=hit
question=['sleeping' 'slept' 'increasing' 'increased'], predicted=increased
question=['sleeping' 'slept' 'knowing' 'knew'], predicted=knew
question=['sleeping' 'slept' 'paying' 'paid'], predicted=paid
question=['sleeping' 'slept' 'playing' 'played'], predicted=played
question=['slowing' 'slowed' 'spending' 'spent'], predicted=spent
question=['slowing' 'slowed' 'taking' 'took'], predicted=took
question=['slowing' 'slowed' 'decreasing' 'decreased'], predicted=decreased
question=['slowing' 'slowed' 'falling' 'fell'], predicted=fell
question=['slowing' 'slowed' 'going' 'went'], predicted=went
question=['slowing' 'slowed' 'hiding' 'hid'], predicted=hid
question=['slowing' 'slowed' 'hitting' 'hit'], predicted=hit
question=['slowing' 'slowed' 'increasing' 'increased'], predicted=increased
question=['slowing' 'slowed' 'looking' 'looked'], predicted=looked
question=['slowing' 'slowed' 'moving' 'moved'], predicted=moved
question=['slowing' 'slowed' 'paying' 'paid'], predicted=paid
question=['slowing' 'slowed' 'playing' 'played'], predicted=played
question=['spending' 'spent' 'taking' 'took'], predicted=took
question=['spending' 'spent' 'writing' 'wrote'], predicted=wrote
question=['spending' 'spent' 'flying' 'flew'], predicted=flew
question=['spending' 'spent' 'generating' 'generated'], predicted=generated
question=['spending' 'spent' 'going' 'went'], predicted=went
question=['spending' 'spent' 'hitting' 'hit'], predicted=hit
question=['spending' 'spent' 'increasing' 'increased'], predicted=increased
question=['spending' 'spent' 'knowing' 'knew'], predicted=knew
question=['spending' 'spent' 'looking' 'looked'], predicted=looked
question=['spending' 'spent' 'paying' 'paid'], predicted=paid
question=['spending' 'spent' 'playing' 'played'], predicted=played
question=['spending' 'spent' 'selling' 'sold'], predicted=sold
question=['striking' 'struck' 'flying' 'flew'], predicted=flew
question=['striking' 'struck' 'generating' 'generated'], predicted=generated
question=['striking' 'struck' 'hitting' 'hit'], predicted=hit
question=['striking' 'struck' 'implementing' 'implemented'], predicted=implemented
question=['striking' 'struck' 'increasing' 'increased'], predicted=increased
question=['striking' 'struck' 'paying' 'paid'], predicted=paid
question=['striking' 'struck' 'playing' 'played'], predicted=played
question=['striking' 'struck' 'selling' 'sold'], predicted=sold
question=['striking' 'struck' 'singing' 'sang'], predicted=sang
question=['swimming' 'swam' 'going' 'went'], predicted=went
question=['swimming' 'swam' 'hitting' 'hit'], predicted=hit
question=['swimming' 'swam' 'paying' 'paid'], predicted=paid
question=['taking' 'took' 'thinking' 'thought'], predicted=thought
question=['taking' 'took' 'writing' 'wrote'], predicted=wrote
question=['taking' 'took' 'decreasing' 'decreased'], predicted=decreased
question=['taking' 'took' 'falling' 'fell'], predicted=fell
question=['taking' 'took' 'flying' 'flew'], predicted=flew
question=['taking' 'took' 'going' 'went'], predicted=went
question=['taking' 'took' 'increasing' 'increased'], predicted=increased
question=['taking' 'took' 'knowing' 'knew'], predicted=knew
question=['taking' 'took' 'looking' 'looked'], predicted=looked
question=['taking' 'took' 'moving' 'moved'], predicted=moved
question=['taking' 'took' 'paying' 'paid'], predicted=paid
question=['taking' 'took' 'playing' 'played'], predicted=played
question=['taking' 'took' 'running' 'ran'], predicted=ran
question=['taking' 'took' 'seeing' 'saw'], predicted=saw
question=['taking' 'took' 'slowing' 'slowed'], predicted=slowed
question=['taking' 'took' 'spending' 'spent'], predicted=spent
question=['thinking' 'thought' 'increasing' 'increased'], predicted=increased
question=['thinking' 'thought' 'paying' 'paid'], predicted=paid
question=['thinking' 'thought' 'playing' 'played'], predicted=played
question=['thinking' 'thought' 'predicting' 'predicted'], predicted=predicted
question=['thinking' 'thought' 'saying' 'said'], predicted=said
question=['thinking' 'thought' 'selling' 'sold'], predicted=sold
question=['thinking' 'thought' 'spending' 'spent'], predicted=spent
question=['vanishing' 'vanished' 'going' 'went'], predicted=went
question=['vanishing' 'vanished' 'increasing' 'increased'], predicted=increased
question=['vanishing' 'vanished' 'knowing' 'knew'], predicted=knew
question=['vanishing' 'vanished' 'paying' 'paid'], predicted=paid
question=['vanishing' 'vanished' 'running' 'ran'], predicted=ran
question=['vanishing' 'vanished' 'taking' 'took'], predicted=took
question=['walking' 'walked' 'writing' 'wrote'], predicted=wrote
question=['walking' 'walked' 'decreasing' 'decreased'], predicted=decreased
question=['walking' 'walked' 'falling' 'fell'], predicted=fell
question=['walking' 'walked' 'flying' 'flew'], predicted=flew
question=['walking' 'walked' 'hitting' 'hit'], predicted=hit
question=['walking' 'walked' 'increasing' 'increased'], predicted=increased
question=['walking' 'walked' 'looking' 'looked'], predicted=looked
question=['walking' 'walked' 'moving' 'moved'], predicted=moved
question=['walking' 'walked' 'paying' 'paid'], predicted=paid
question=['walking' 'walked' 'playing' 'played'], predicted=played
question=['walking' 'walked' 'reading' 'read'], predicted=read
question=['walking' 'walked' 'running' 'ran'], predicted=ran
question=['walking' 'walked' 'selling' 'sold'], predicted=sold
question=['walking' 'walked' 'striking' 'struck'], predicted=struck
question=['walking' 'walked' 'taking' 'took'], predicted=took
question=['writing' 'wrote' 'decreasing' 'decreased'], predicted=decreased
question=['writing' 'wrote' 'falling' 'fell'], predicted=fell
question=['writing' 'wrote' 'going' 'went'], predicted=went
question=['writing' 'wrote' 'hiding' 'hid'], predicted=hid
question=['writing' 'wrote' 'hitting' 'hit'], predicted=hit
question=['writing' 'wrote' 'increasing' 'increased'], predicted=increased
question=['writing' 'wrote' 'knowing' 'knew'], predicted=knew
question=['writing' 'wrote' 'looking' 'looked'], predicted=looked
question=['writing' 'wrote' 'paying' 'paid'], predicted=paid
question=['writing' 'wrote' 'playing' 'played'], predicted=played
question=['writing' 'wrote' 'running' 'ran'], predicted=ran
question=['writing' 'wrote' 'slowing' 'slowed'], predicted=slowed
question=['writing' 'wrote' 'spending' 'spent'], predicted=spent
question=['writing' 'wrote' 'striking' 'struck'], predicted=struck
question=['writing' 'wrote' 'taking' 'took'], predicted=took
question=['writing' 'wrote' 'thinking' 'thought'], predicted=thought
